# CORDOVA_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,6.50,12.50,4.33,3.00,8.50,0.50,0.00,0.00,16.50,0.00,8.00,6.50,0.00,8.00,11.00,0.00,0.00,0.00,0.00,6.50,12.00,8.00,7.00,13.50,9.50,11.50,0.00,0.00,8.50,2.00,18.50,0.00,3.00,10.50,2.50,10.00,12.50,0.00,0.00,4.00,13.00,5.50,9.50,3.50
1,19.00,21.00,4.33,4.00,14.50,5.00,0.00,0.00,28.00,0.50,19.00,8.50,0.00,11.50,19.50,1.00,3.00,0.00,0.00,6.50,23.00,12.00,16.00,23.50,20.50,23.00,0.00,0.00,21.00,2.00,31.00,0.00,12.50,19.00,4.50,21.00,20.50,0.00,0.00,15.00,21.00,11.00,16.00,6.00
2,32.00,25.00,4.33,5.00,26.50,5.00,0.00,0.00,37.00,3.50,32.50,9.50,0.00,15.00,23.00,5.00,4.00,0.00,0.00,6.50,36.00,16.50,22.00,37.00,32.00,37.50,0.00,0.00,29.50,2.00,40.50,0.00,16.50,29.50,7.50,35.00,27.50,0.00,0.50,25.00,24.50,11.00,29.00,6.00
3,44.50,31.50,4.33,11.50,38.50,5.00,0.00,0.00,45.00,5.50,41.00,9.50,0.00,29.50,23.00,6.00,9.50,0.50,0.00,6.50,43.50,22.00,24.50,49.50,39.50,48.50,0.00,0.00,44.00,2.00,48.00,0.00,18.50,36.00,15.50,50.00,38.00,0.00,1.50,29.00,24.50,11.00,41.50,6.00
4,57.00,45.50,8.83,14.50,52.00,5.00,0.00,0.00,50.50,5.50,50.50,10.50,0.00,38.00,23.00,6.00,22.50,11.00,0.00,6.50,48.00,35.00,24.50,60.50,44.50,64.50,4.50,0.00,61.50,7.50,56.00,0.00,19.50,40.50,20.50,64.00,50.50,0.00,1.50,30.50,26.00,11.00,53.50,6.00
5,69.50,55.50,15.33,17.50,68.00,12.00,0.00,0.00,61.50,5.50,60.50,16.50,8.50,45.00,28.00,7.00,25.00,19.00,0.50,6.50,50.00,48.00,24.50,65.50,49.50,81.00,12.00,0.50,74.00,11.50,62.00,8.00,19.50,43.50,21.00,77.00,60.00,0.00,1.50,31.00,26.00,11.00,65.00,6.00
6,79.00,65.00,18.93,19.50,84.00,23.50,0.50,6.50,71.00,5.50,69.00,25.50,22.00,55.00,41.50,7.00,25.00,26.00,6.50,6.50,52.00,61.00,24.50,67.00,57.50,99.00,22.00,0.50,86.50,11.50,64.50,8.00,19.50,49.50,21.00,87.50,70.50,0.00,6.00,33.50,30.00,12.50,75.50,7.50
7,92.00,81.00,22.38,23.00,101.50,31.00,0.50,12.50,83.00,5.50,76.50,32.00,35.50,66.50,57.50,7.00,25.00,34.00,7.50,6.50,56.50,73.50,24.50,67.00,63.00,116.50,28.50,0.50,99.00,11.50,71.50,8.00,19.50,59.50,21.00,92.50,82.50,0.00,8.00,47.00,37.00,12.50,80.50,12.00
8,100.50,97.00,26.50,27.00,123.00,41.50,11.00,18.00,94.50,5.50,82.00,34.50,48.50,75.00,70.50,7.00,29.00,34.50,8.50,6.50,56.50,87.50,24.50,67.00,69.00,134.00,31.00,4.50,111.50,13.50,74.50,8.00,22.50,66.50,24.50,92.50,93.50,0.00,15.50,59.00,44.50,12.50,90.00,23.50
9,106.50,113.50,30.17,42.00,145.00,50.50,18.00,27.00,108.00,5.50,84.00,34.50,62.00,85.00,84.00,7.00,40.50,34.50,14.50,9.50,57.50,99.50,24.50,67.00,81.50,152.50,31.00,4.50,118.00,15.50,74.50,8.00,26.50,71.00,35.50,92.50,105.00,0.00,21.00,71.50,49.00,22.50,102.50,34.50
10,110.50,129.50,30.17,56.00,162.00,58.00,27.50,31.50,122.50,5.50,86.50,34.50,73.50,103.00,98.50,7.00,52.00,40.50,24.50,21.00,63.00,112.50,24.50,67.00,92.50,166.00,31.00,4.50,120.50,25.50,74.50,8.00,26.50,81.00,47.50,92.50,118.50,0.00,26.50,83.00,49.00,22.50,115.50,34.50
11,111.50,140.50,30.17,72.00,174.50,64.50,38.00,37.00,136.50,5.50,96.50,34.50,83.00,118.50,113.50,7.00,61.00,45.00,35.50,33.00,75.00,124.00,24.50,67.00,104.50,181.50,31.00,4.50,126.00,32.00,74.50,8.00,26.50,88.50,57.00,92.50,132.00,0.00,39.00,93.00,49.00,22.50,126.50,34.50
12,113.00,152.50,30.17,86.00,185.50,66.00,49.00,41.00,146.00,5.50,102.50,39.50,91.00,127.50,126.00,7.00,73.00,45.00,44.00,42.50,90.50,135.50,24.50,67.00,114.50,196.00,31.00,4.50,129.00,35.00,78.50,8.00,26.50,90.00,71.00,92.50,143.50,0.00,52.00,105.50,49.00,22.50,136.50,34.50
13,113.50,167.00,30.17,100.00,194.00,66.00,58.00,44.00,155.00,6.50,114.00,45.00,101.50,135.00,141.00,7.00,81.50,45.50,58.00,50.00,102.50,148.00,24.50,68.00,125.50,208.00,31.00,4.50,130.50,35.50,93.50,8.00,30.50,94.50,81.50,92.50,151.00,3.00,67.00,118.50,49.00,22.50,142.50,37.50
14,117.00,181.50,36.67,113.00,208.50,76.50,66.50,54.00,168.50,10.50,123.50,50.50,112.50,136.50,154.00,7.00,88.00,48.50,71.00,57.00,117.00,162.00,24.50,82.50,135.50,219.00,31.00,4.50,132.50,38.00,104.00,13.00,30.50,94.50,81.50,92.50,162.50,5.50,80.50,132.50,49.00,26.00,147.00,43.00
15,123.50,197.00,42.67,127.00,221.00,87.00,70.50,64.00,182.00,14.50,131.50,50.50,122.00,136.50,164.00,20.00,100.00,49.00,84.50,59.50,132.50,171.50,24.50,98.00,143.00,228.50,31.00,4.50,140.50,49.00,112.50,23.50,30.50,99.50,81.50,104.00,173.50,9.00,93.00,148.00,50.50,26.00,161.50,47.50
16,130.50,218.00,53.67,137.00,232.50,96.00,74.00,70.50,196.00,15.00,136.50,59.00,129.00,136.50,172.00,30.00,113.50,53.50,97.50,59.50,142.50,180.50,27.50,108.50,149.00,238.00,31.00,4.50,144.50,55.50,117.50,30.50,30.50,101.00,89.50,117.00,184.50,9.00,104.00,166.50,51.00,26.00,174.00,57.00
17,133.50,241.50,65.67,145.50,241.50,104.50,80.50,75.50,209.00,25.00,143.50,66.00,140.50,136.50,174.50,33.00,125.50,65.00,111.00,61.50,153.00,184.50,27.50,116.00,150.50,247.50,34.50,6.50,154.00,55.50,128.00,34.00,30.50,101.00,97.00,131.50,196.00,9.00,114.00,183.50,65.50,26.00,189.00,68.50
18,134.50,255.00,77.17,153.50,251.00,113.50,84.50,86.00,219.00,36.00,146.50,68.00,149.50,142.00,177.50,35.50,133.50,75.50,126.00,72.50,158.50,184.50,27.50,127.00,154.50,254.50,45.00,6.50,161.00,57.00,140.50,35.50,30.50,101.00,106.00,143.50,209.50,15.00,124.00,205.00,75.50,26.00,199.50,75.50
19,136.50,268.50,86.67,161.00,262.00,123.50,98.50,92.00,232.00,46.00,146.50,68.00,159.50,144.50,177.50,35.50,139.50,85.00,140.00,84.50,168.00,184.50,27.50,137.00,156.50,262.50,57.00,6.50,167.00,57.00,148.50,36.50,30.50,101.00,112.00,154.00,227.00,16.50,135.00,232.00,88.50,26.00,209.00,81.00
20,145.50,282.50,96.17,169.00,270.50,135.00,108.50,108.00,243.50,53.00,149.50,68.00,169.00,157.50,177.50,36.50,142.00,91.50,156.50,92.50,177.00,184.50,27.50,143.00,160.00,270.50,69.00,17.50,174.50,63.00,153.00,36.50,30.50,101.00,118.50,166.50,247.50,19.00,145.00,253.50,97.50,26.00,217.50,91.00
21,153.00,296.00,105.67,174.50,278.00,147.50,115.50,127.50,253.50,64.00,154.00,68.00,177.50,169.50,180.00,36.50,149.50,97.00,171.50,100.50,185.00,187.00,27.50,144.50,170.00,280.50,84.00,24.50,180.00,72.00,161.50,45.00,30.50,101.00,121.00,178.00,269.50,21.00,155.00,274.50,109.50,26.00,232.00,102.00
22,157.00,313.50,115.67,180.50,288.50,152.50,122.00,139.50,262.50,74.50,159.00,68.00,186.50,177.00,190.50,36.50,159.50,106.00,188.00,112.50,196.00,191.00,27.50,147.00,181.00,290.50,92.50,34.50,186.00,85.50,172.00,57.00,30.50,110.00,131.00,188.00,286.00,23.50,161.00,293.50,119.00,32.00,244.00,109.50
23,172.50,331.50,127.17,188.00,301.00,154.00,126.00,151.50,267.50,88.50,165.50,73.00,196.50,186.00,201.50,36.50,170.00,117.50,199.00,125.50,208.00,203.00,31.00,158.50,191.50,298.50,100.50,36.50,196.50,97.00,184.50,69.00,39.50,121.50,139.50,198.50,304.50,25.00,167.00,311.00,128.00,36.00,258.50,114.00
24,187.00,346.00,135.67,200.50,316.00,157.50,135.50,163.50,271.00,100.00,179.00,80.50,207.00,192.50,215.00,36.50,178.50,122.00,210.00,136.50,220.50,220.50,44.00,171.00,203.50,306.00,110.50,36.50,206.00,106.50,192.00,80.00,45.50,126.00,146.00,212.50,317.00,26.50,170.00,325.00,136.50,43.00,272.50,121.50
25,197.50,360.50,140.17,216.00,329.50,157.50,139.00,173.00,274.50,109.00,193.00,91.00,214.50,197.00,227.00,47.50,188.00,122.50,218.50,143.00,234.50,236.50,54.00,179.00,213.50,318.50,118.50,36.50,210.00,117.50,199.00,89.50,55.50,126.50,149.50,229.00,331.00,34.50,177.50,342.50,143.50,53.50,284.00,125.00
26,212.00,375.00,144.67,232.50,340.50,162.50,144.50,182.50,281.00,110.50,207.00,100.00,219.00,203.00,237.50,63.00,200.00,135.00,229.00,153.00,240.50,244.00,61.00,190.00,223.00,332.00,127.00,36.50,212.50,127.00,210.50,100.00,68.00,126.50,153.50,242.50,345.00,44.00,186.00,360.50,150.50,63.50,294.00,127.50
27,223.00,390.00,151.67,246.50,349.00,163.50,149.00,194.00,293.50,111.00,217.50,109.00,224.50,219.50,249.00,78.00,210.50,144.50,238.50,159.50,248.00,250.50,66.00,203.50,233.00,341.50,131.50,36.50,216.00,132.50,222.50,113.50,86.00,129.00,158.00,260.00,358.50,55.00,195.00,373.00,151.00,66.00,307.50,134.50
28,234.50,403.00,157.17,263.00,363.50,171.50,149.00,209.00,304.50,114.00,229.00,117.50,226.50,233.50,269.00,95.00,219.50,151.50,251.00,160.50,260.00,260.50,71.50,213.00,239.50,348.00,139.50,36.50,217.50,140.50,238.00,130.00,99.50,139.50,161.00,276.50,376.50,66.50,202.50,387.00,155.00,73.00,317.50,138.50
29,246.00,418.00,160.17,275.50,379.00,171.50,149.00,221.00,316.50,123.00,239.50,123.50,230.50,247.00,285.50,115.00,226.00,160.50,261.50,161.50,270.50,270.50,74.50,219.50,240.00,356.50,144.00,36.50,223.50,147.00,251.50,144.00,109.00,150.50,164.00,291.50,390.50,77.50,212.00,402.00,157.00,84.00,328.00,148.00
30,258.50,431.50,160.17,294.00,391.50,171.50,149.00,232.00,327.50,134.50,249.00,126.50,241.00,264.50,304.00,132.00,229.50,168.50,268.00,171.00,281.00,276.50,74.50,228.00,240.00,370.50,155.50,37.00,232.50,147.00,266.00,155.50,121.00,158.00,168.50,304.00,414.00,91.50,218.50,418.00,157.00,93.50,341.50,156.00
31,273.00,443.00,160.17,308.00,403.50,171.50,149.00,240.00,337.50,145.00,256.00,132.50,251.50,282.50,322.00,144.50,234.00,180.00,278.00,182.00,292.00,281.50,74.50,229.00,240.00,377.50,164.00,37.50,245.50,147.00,281.00,165.50,127.50,163.50,174.50,318.00,435.00,104.00,228.00,434.50,158.50,101.00,357.50,164.00
32,287.00,455.00,160.17,319.50,418.50,173.00,159.50,255.00,350.50,152.00,262.50,146.50,261.00,294.00,338.00,160.00,239.00,191.00,285.00,191.50,307.50,293.50,74.50,229.50,254.00,383.00,170.50,40.00,260.00,147.00,294.00,174.00,134.00,171.00,178.50,333.00,449.50,114.00,237.00,449.00,162.00,103.50,373.50,170.00
33,303.00,465.50,160.17,333.50,435.50,184.00,166.50,272.50,361.50,161.00,274.50,163.50,272.50,306.00,354.00,178.00,246.00,201.00,295.50,200.50,320.00,304.50,75.50,233.00,267.50,389.00,179.50,46.00,273.00,152.50,305.00,190.50,138.50,178.50,183.50,348.00,462.00,125.00,241.00,462.50,172.00,108.50,387.00,175.00
34,320.50,478.00,160.17,346.00,452.00,191.50,168.00,287.00,371.50,175.50,285.00,175.00,277.50,317.00,369.00,197.00,259.00,212.50,306.50,206.50,331.00,314.00,79.50,237.50,280.50,400.00,192.50,51.50,285.50,164.00,317.50,205.00,142.50,185.00,191.50,361.00,475.50,141.00,249.00,475.00,181.50,118.50,397.00,186.50
35,341.00,487.50,169.17,358.50,465.00,199.00,176.50,299.50,382.50,186.00,295.50,188.50,281.50,329.00,386.00,209.00,270.50,227.50,321.50,213.00,343.50,323.00,80.00,244.50,297.50,418.50,206.50,61.50,295.50,175.00,330.00,215.00,153.50,187.00,204.50,374.50,492.00,160.00,255.00,492.00,192.00,128.00,409.00,197.00
36,356.00,498.00,176.17,368.50,476.50,209.00,177.50,315.50,389.50,196.50,307.50,200.00,286.50,342.00,400.50,221.50,280.50,245.00,335.50,218.50,353.50,329.00,85.00,254.50,315.50,433.00,219.50,78.50,302.50,185.50,337.50,224.50,166.00,191.00,218.00,388.50,508.00,173.00,265.00,506.50,197.50,131.00,419.00,207.00
37,368.50,509.00,188.17,378.00,489.50,222.00,177.50,331.00,400.50,205.00,323.00,212.00,293.00,355.50,409.00,237.50,292.00,263.00,350.50,224.50,364.00,335.50,90.50,270.50,331.50,448.00,231.00,94.50,307.50,196.00,342.50,231.50,176.00,196.00,230.00,403.00,521.00,186.00,280.00,522.50,199.50,131.00,429.00,216.50
38,386.50,523.50,198.17,387.50,502.00,229.50,177.50,344.50,411.50,210.50,337.00,223.50,301.00,372.50,422.00,254.50,297.50,278.00,361.50,225.50,373.50,346.50,91.50,287.50,349.00,462.50,239.00,112.00,310.00,203.00,346.00,240.50,182.50,207.00,238.50,415.00,539.50,196.00,296.50,541.00,208.00,141.50,438.50,226.00
39,405.00,533.50,211.17,395.00,522.50,234.00,177.50,363.50,426.00,219.50,350.00,234.50,310.50,390.50,436.50,268.00,308.00,290.50,372.00,230.50,381.50,356.50,93.50,303.50,365.00,480.50,253.00,125.50,316.50,212.50,351.50,251.00,187.00,212.50,244.50,426.50,556.00,206.50,316.00,557.50,212.50,141.50,448.00,239.50
