# HOMER_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,5.50,10.50,0.00,8.00,5.00,4.50,0.00,0.00,12.50,1.00,11.00,6.50,0.00,6.50,0.00,10.50,7.50,0.00,0.00,0.00,9.50,0.00,4.50,14.00,14.00,1.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,3.50,8.00,13.00,14.00,0.00,0.00,5.50,8.00,0.00,7.00,0.50
1,16.00,20.00,0.00,13.50,13.50,4.50,0.00,0.00,21.50,1.00,25.50,12.00,0.00,14.00,0.00,19.50,13.00,0.00,0.00,0.00,20.00,0.00,7.00,32.00,27.00,3.00,1.00,0.00,7.00,0.00,19.50,0.00,0.00,7.50,16.00,27.50,24.50,0.00,1.00,15.50,8.50,0.00,13.00,0.50
2,27.00,25.50,0.00,17.50,24.50,4.50,0.00,0.00,32.00,1.00,36.00,16.50,0.00,17.50,0.00,25.00,17.00,0.00,0.00,0.00,29.50,4.50,8.50,49.00,37.00,9.00,3.50,0.00,14.50,0.00,24.50,0.00,0.00,16.00,27.00,46.50,31.50,0.00,4.50,24.50,8.50,0.00,25.00,0.50
3,40.50,31.00,5.00,27.00,41.00,14.50,0.00,0.00,39.50,1.00,39.00,19.50,0.00,24.50,0.00,29.50,23.50,2.50,0.00,0.00,38.00,15.00,8.50,61.00,46.00,17.00,6.50,0.00,29.50,0.00,24.50,0.00,0.00,30.00,39.50,63.00,31.50,0.00,4.50,31.00,8.50,0.00,37.00,0.50
4,53.50,40.50,12.00,35.00,58.00,23.50,0.00,0.00,47.00,1.00,40.50,24.00,0.00,33.50,0.00,35.00,30.00,9.00,5.50,0.00,47.00,26.50,8.50,67.00,51.50,31.00,15.50,0.00,44.50,6.50,29.50,0.00,0.00,39.50,48.50,79.50,37.00,0.00,7.00,42.50,8.50,5.00,44.00,0.50
5,65.00,50.50,19.00,44.50,72.50,31.50,0.00,0.00,53.50,1.00,40.50,35.00,0.00,43.00,0.00,38.00,31.50,14.50,11.50,0.00,56.50,36.50,8.50,70.00,53.50,42.50,20.50,0.00,58.50,11.50,29.50,3.50,3.00,54.00,53.00,97.00,46.50,0.00,9.00,55.50,8.50,6.50,52.50,1.50
6,76.00,59.50,26.00,50.50,86.00,33.50,0.00,5.00,62.50,1.00,40.50,45.00,6.00,51.50,8.50,41.00,37.50,23.50,23.00,0.00,64.50,47.00,8.50,72.50,53.50,56.00,23.50,0.00,69.00,11.50,29.50,12.50,3.00,67.50,55.00,112.50,60.50,0.00,9.00,67.00,11.00,6.50,62.50,5.00
7,86.50,73.00,35.50,54.50,100.50,41.00,0.00,14.00,71.50,1.00,46.00,50.50,16.50,59.50,22.50,44.50,41.00,30.50,32.00,0.00,71.50,58.50,12.00,76.50,53.50,72.00,25.00,0.00,81.00,14.00,30.00,14.00,3.00,80.50,55.00,119.00,71.50,0.00,15.50,80.00,17.50,6.50,77.00,13.50
8,92.50,84.50,44.50,59.50,120.00,50.50,0.00,24.00,78.00,1.00,48.00,50.50,29.50,65.00,34.50,49.00,41.50,34.50,40.00,0.00,78.50,70.00,12.00,79.00,53.50,85.00,25.00,0.00,94.00,25.50,30.00,14.00,3.00,92.50,55.00,119.00,81.50,0.00,19.50,92.00,21.00,18.00,91.00,22.50
9,96.00,97.50,52.00,64.50,140.50,60.00,2.00,33.50,90.50,1.00,48.00,50.50,44.00,71.50,45.50,49.00,48.00,34.50,48.00,0.00,85.50,83.50,12.00,81.00,64.50,99.00,25.00,0.00,104.50,39.00,30.00,14.00,3.00,100.50,65.00,119.00,90.50,0.00,23.50,107.50,21.00,24.00,105.00,31.00
10,99.50,111.50,57.50,71.50,154.50,69.00,10.00,41.00,101.00,1.00,54.00,50.50,53.50,83.50,57.00,49.00,56.50,36.00,54.00,2.50,97.50,98.00,12.00,82.50,75.50,115.50,25.00,0.00,111.00,50.50,30.00,14.00,3.00,108.50,78.50,119.00,105.00,0.50,23.50,120.00,21.00,24.00,118.00,34.50
11,100.50,124.50,58.00,86.00,167.00,77.00,21.50,46.00,111.00,1.00,61.00,55.50,60.50,95.00,66.50,49.00,67.00,40.00,66.50,6.00,109.00,110.50,12.00,82.50,85.50,133.50,28.00,0.00,116.50,55.50,30.00,14.00,3.00,111.50,87.00,119.00,118.50,0.50,29.50,129.50,21.00,24.00,130.00,35.50
12,100.50,136.00,58.00,101.00,180.00,81.50,33.00,52.50,120.00,1.00,71.00,61.00,65.50,106.50,76.50,49.00,80.50,44.50,77.50,10.00,119.50,123.50,12.00,82.50,92.50,147.00,28.00,0.00,122.00,59.50,30.00,14.00,3.00,111.50,104.00,119.00,129.00,1.00,36.00,142.50,21.00,24.00,136.50,35.50
