# MCKINLEY_PARK
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
julian_day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
60,,6.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,6.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,8.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,2.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,5.50
61,0.00,13.50,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,7.50,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00
62,0.00,13.50,0.00,0.00,0.00,0.00,0.00,0.00,14.50,0.00,7.50,0.00,0.00,7.50,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,17.00,2.50,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00
63,0.00,13.50,0.00,0.00,0.00,0.00,0.00,0.00,21.00,0.00,12.50,0.00,0.00,7.50,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,22.50,9.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,2.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.50
64,3.00,13.50,0.00,0.00,1.50,0.00,0.00,0.00,23.50,0.00,12.50,0.00,0.00,7.50,0.00,0.00,4.50,0.00,0.00,0.00,2.00,0.00,0.00,22.50,9.00,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,2.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,38.00
65,6.00,16.50,0.00,0.00,11.50,0.00,0.00,0.00,23.50,0.00,12.50,0.00,0.00,7.50,0.00,0.00,4.50,0.00,0.00,0.00,3.00,3.00,0.00,22.50,9.00,4.00,0.00,0.00,8.50,0.00,6.00,0.00,0.00,0.00,2.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,47.00
66,8.00,16.50,0.00,0.00,24.50,0.00,0.00,0.00,23.50,0.00,12.50,0.00,0.00,7.50,0.00,0.00,4.50,0.00,0.00,0.00,3.00,5.00,0.00,22.50,9.00,8.00,0.00,0.00,20.50,0.00,6.00,0.00,0.00,0.00,2.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,47.00
67,8.00,16.50,0.00,0.00,35.50,0.00,0.00,0.00,24.00,0.00,12.50,0.00,0.00,7.50,0.00,0.00,4.50,0.00,0.00,0.00,3.00,5.00,0.00,22.50,9.00,15.00,0.00,0.00,31.00,0.00,6.00,0.00,0.00,0.00,2.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,6.50,0.00,47.00
68,8.00,22.00,0.00,0.00,44.50,0.00,0.00,0.00,27.50,0.00,12.50,0.00,0.00,7.50,0.00,0.00,4.50,0.00,0.00,0.00,3.00,8.50,0.00,22.50,9.00,24.00,0.00,0.00,42.00,0.00,6.00,0.00,0.00,5.50,2.00,14.00,0.00,0.00,0.00,7.00,0.00,0.00,0.50,13.50,0.00,47.00
69,8.00,25.50,0.00,0.00,56.00,0.00,0.00,0.50,30.00,0.00,12.50,0.00,6.00,7.50,4.00,0.00,4.50,0.00,0.00,0.00,3.00,11.50,0.00,22.50,9.00,32.00,0.00,0.00,45.50,0.00,6.00,0.00,0.00,7.50,2.00,14.00,0.00,0.00,0.00,13.00,0.00,0.00,0.50,13.50,0.00,47.00
70,8.00,30.50,0.00,0.00,72.00,6.00,0.00,0.50,36.50,0.00,12.50,0.00,14.50,7.50,6.00,0.00,4.50,0.00,0.00,0.00,3.00,13.50,0.00,22.50,9.00,43.00,0.00,0.00,51.50,0.00,6.00,0.00,0.00,7.50,2.00,14.00,0.00,0.00,0.00,20.00,0.00,0.00,0.50,13.50,0.00,47.00
71,8.00,40.00,0.00,0.00,72.00,6.00,0.00,0.50,44.50,0.00,12.50,0.00,23.00,7.50,7.00,0.00,4.50,0.00,0.00,0.00,3.00,24.00,0.00,22.50,9.00,50.50,0.00,0.00,51.50,0.00,6.00,0.00,0.00,7.50,5.50,14.00,0.00,0.00,0.00,23.50,0.00,0.00,0.50,13.50,0.00,47.00
72,8.00,45.00,0.00,0.00,79.00,6.00,0.00,0.50,48.50,0.00,12.50,0.00,26.00,7.50,7.00,0.00,4.50,0.00,1.00,0.00,3.00,27.50,0.00,22.50,9.00,58.50,0.00,0.00,51.50,0.00,6.00,0.00,0.00,7.50,10.50,14.00,1.00,0.00,0.00,23.50,0.00,0.00,0.50,13.50,0.00,47.00
73,8.00,50.00,0.00,0.00,82.00,6.00,0.00,0.50,53.00,0.00,12.50,0.00,26.00,7.50,7.00,0.00,4.50,0.00,3.50,0.00,3.00,29.50,0.00,22.50,9.00,63.50,0.00,0.00,51.50,0.00,6.00,0.00,0.00,7.50,20.00,14.00,1.00,0.00,5.00,24.00,0.00,0.00,0.50,13.50,0.00,47.00
74,8.00,51.00,0.00,0.00,86.50,6.00,0.00,0.50,53.00,0.00,12.50,0.00,26.00,7.50,7.00,0.00,4.50,0.00,7.00,0.00,3.00,36.00,0.00,22.50,9.00,63.50,0.00,0.00,51.50,0.00,6.00,0.00,0.00,7.50,24.50,14.00,1.00,0.00,5.00,30.00,0.00,0.00,0.50,13.50,0.00,47.00
75,8.00,53.00,0.00,0.00,90.00,6.00,0.00,0.50,53.00,0.00,12.50,0.00,26.00,7.50,7.00,0.00,8.50,0.00,13.50,0.00,3.00,36.00,0.00,22.50,9.00,66.50,0.00,0.00,51.50,0.00,6.00,0.00,0.00,7.50,24.50,14.00,1.00,0.00,5.00,37.00,0.00,0.00,0.50,13.50,0.00,47.00
76,8.00,61.00,0.00,0.00,90.00,6.00,0.00,0.50,53.00,0.00,15.50,0.00,26.50,7.50,7.00,0.00,8.50,0.00,23.00,0.00,8.00,36.00,6.00,22.50,9.00,66.50,0.00,0.00,51.50,0.00,6.00,0.00,0.00,7.50,24.50,19.50,1.00,0.00,7.50,49.50,0.00,0.00,0.50,13.50,0.00,47.00
