# SITKA_AIRPORT
# Cumulative degree days > 25 starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
julian_day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
60,,16.00,9.00,8.50,,12.50,14.00,0.00,,9.00,9.50,8.50,,13.50,17.50,9.00,,11.50,14.00,14.00,,13.50,13.50,17.50,,20.50,12.00,1.50,,9.50,18.50,0.00,,14.50,10.00,16.50,,8.50,6.00,12.00,,12.50,16.50,13.50,,19.50
61,17.00,30.00,20.00,17.50,14.50,28.00,24.50,0.50,19.00,19.00,25.50,16.50,10.50,28.00,33.00,21.50,12.00,16.50,27.00,22.50,17.50,26.50,27.50,35.50,13.00,39.50,23.00,4.50,10.50,23.00,33.50,0.00,9.00,30.00,16.00,30.50,18.00,17.50,14.00,23.50,13.00,24.50,29.00,24.00,6.50,37.50
62,32.00,40.50,28.50,24.00,27.50,42.50,40.00,0.50,31.50,25.50,43.50,23.50,19.00,47.50,49.50,36.50,27.50,19.00,37.50,32.00,34.00,38.50,37.50,54.50,23.50,55.50,33.50,6.50,26.50,31.00,45.50,3.00,19.00,42.00,17.00,48.50,34.00,21.50,22.00,34.50,25.50,36.00,41.00,34.00,6.50,54.50
63,44.00,52.50,35.50,33.00,42.00,51.00,50.50,0.50,43.00,36.00,60.50,27.00,26.50,67.00,61.00,46.50,37.50,26.00,46.50,39.50,46.50,48.00,43.50,69.00,35.50,73.00,45.00,15.50,39.50,41.50,56.00,12.50,27.00,52.50,19.00,65.00,51.50,21.50,30.50,43.50,35.00,49.00,53.50,44.50,6.50,73.50
64,53.50,64.50,48.00,39.00,61.00,58.00,60.00,0.50,60.00,45.00,75.00,39.50,35.50,86.00,68.50,58.00,45.50,38.00,54.50,46.50,56.00,60.00,44.50,79.00,47.50,88.50,58.50,31.50,52.50,50.50,66.50,26.00,29.00,62.00,22.00,80.50,71.50,21.50,37.50,53.00,43.50,63.50,70.00,46.00,6.50,96.50
65,68.00,78.00,62.00,47.00,80.00,64.00,74.00,9.50,74.50,51.50,85.50,51.00,45.00,100.50,81.50,68.00,53.00,50.00,63.50,53.50,66.00,77.50,46.00,81.00,60.00,102.50,70.50,49.50,69.00,62.50,77.50,38.00,30.00,71.00,26.00,97.50,90.50,21.50,47.50,62.50,53.50,77.50,84.00,47.50,13.50,114.00
66,82.50,98.00,75.50,60.00,100.50,76.00,89.50,22.00,88.50,57.00,94.50,64.50,54.50,115.00,99.50,76.50,60.00,60.50,73.00,58.50,74.50,94.00,46.00,81.00,73.50,122.50,81.50,61.50,87.00,65.50,84.50,48.00,39.50,81.00,38.00,116.00,110.50,21.50,58.50,72.50,61.50,95.00,98.50,56.50,25.00,131.50
67,97.50,116.50,87.00,78.00,119.00,87.50,106.50,37.00,104.00,58.50,102.00,76.00,73.50,127.00,118.50,82.50,68.00,71.50,83.00,62.00,86.00,108.00,46.00,81.00,89.50,142.00,91.00,71.00,104.00,66.50,93.50,59.50,49.00,94.00,55.00,131.00,131.00,21.50,69.50,82.50,70.00,105.00,112.00,61.50,39.50,149.50
68,112.00,135.50,98.50,95.50,137.00,101.50,121.00,54.00,117.50,58.50,116.50,87.50,92.00,138.00,136.50,89.00,80.00,81.50,93.50,73.50,95.50,121.50,46.00,81.00,105.50,162.50,101.00,76.50,118.50,66.50,105.00,72.50,61.00,107.00,69.00,143.00,149.00,22.00,82.00,98.50,81.50,114.50,123.50,65.50,56.00,165.50
69,126.00,151.50,107.00,113.00,159.00,114.00,138.00,71.00,130.00,58.50,129.50,95.50,108.00,151.00,151.00,99.00,101.50,92.00,109.50,88.50,104.50,137.50,55.00,81.00,116.50,181.50,109.00,85.50,132.00,73.50,115.00,78.50,71.50,119.00,82.50,152.00,166.00,22.00,95.50,113.00,95.00,127.50,140.00,73.00,71.00,179.50
