# ANCHORAGE_MERRILL_FIELD
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 1991, 1992, 1993, 1994, 1995, 1996, 1997
#
d_since_march1,Tavg_F,tdd
0,20.46,0.00
1,21.98,0.00
2,22.74,0.00
3,21.83,0.00
4,22.78,0.00
5,21.65,0.00
6,22.13,0.00
7,23.30,0.00
8,23.04,0.00
9,23.09,0.00
10,22.35,0.00
11,23.26,0.00
12,22.93,0.00
13,24.04,0.00
14,23.11,0.00
15,26.48,0.00
16,25.24,0.00
17,25.48,0.00
18,26.98,0.00
19,26.46,0.00
20,27.43,0.00
21,28.00,0.00
22,29.22,0.00
23,30.50,0.00
24,30.72,0.00
25,29.57,0.00
26,29.22,0.00
27,29.91,0.00
28,30.76,0.00
29,30.15,0.00
30,30.43,0.00
31,31.55,0.00
32,32.91,0.91
33,33.50,1.50
34,34.41,2.41
35,34.78,2.78
36,34.35,2.35
37,34.70,2.70
38,34.20,2.20
39,34.99,2.99
40,35.22,3.22
41,35.54,3.54
42,36.15,4.15
43,36.70,4.70
44,37.61,5.61
45,38.07,6.07
46,38.41,6.41
47,39.48,7.48
48,40.07,8.07
49,40.67,8.67
50,41.13,9.13
51,41.33,9.33
52,41.28,9.28
53,41.39,9.39
54,42.15,10.15
55,42.80,10.80
56,43.15,11.15
57,44.59,12.59
58,43.98,11.98
59,45.30,13.30
60,45.26,13.26
61,44.43,12.43
62,44.39,12.39
63,45.04,13.04
64,45.41,13.41
65,44.87,12.87
66,46.39,14.39
67,47.13,15.13
68,46.18,14.18
69,47.72,15.72
70,47.54,15.54
71,48.57,16.57
72,49.00,17.00
73,48.74,16.74
74,49.43,17.43
75,50.04,18.04
76,50.11,18.11
77,50.41,18.41
78,50.24,18.24
79,50.41,18.41
80,51.24,19.24
81,51.43,19.43
82,52.39,20.39
83,52.07,20.07
84,52.24,20.24
85,52.70,20.70
86,52.67,20.67
87,54.30,22.30
88,54.46,22.46
89,55.54,23.54
90,54.35,22.35
91,53.91,21.91
92,53.78,21.78
93,54.68,22.68
94,54.72,22.72
95,55.43,23.43
96,55.43,23.43
97,55.15,23.15
98,56.30,24.30
99,55.13,23.13
100,56.13,24.13
101,56.61,24.61
102,55.78,23.78
103,55.91,23.91
104,57.24,25.24
105,57.72,25.72
106,58.57,26.57
107,59.83,27.83
108,59.74,27.74
109,59.52,27.52
110,58.26,26.26
111,57.85,25.85
112,57.93,25.93
113,58.13,26.13
114,58.48,26.48
115,59.33,27.33
116,59.52,27.52
117,59.39,27.39
118,59.63,27.63
119,59.50,27.50
120,60.70,28.70
121,60.13,28.13
