# ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,22.05,0.00
1,21.98,0.00
2,21.58,0.00
3,21.82,0.00
4,22.65,0.00
5,22.75,0.00
6,23.45,0.00
7,24.22,0.00
8,24.28,0.00
9,23.85,0.00
10,24.22,0.00
11,24.47,0.00
12,23.68,0.00
13,23.98,0.00
14,23.75,0.00
15,25.67,0.00
16,24.78,0.00
17,25.38,0.00
18,26.65,0.00
19,25.92,0.00
20,26.68,0.00
21,27.52,0.00
22,28.27,0.00
23,29.58,0.00
24,30.45,0.00
25,29.60,0.00
26,29.35,0.00
27,30.12,0.00
28,30.82,0.00
29,30.57,0.00
30,31.20,0.00
31,31.75,0.00
32,32.57,0.57
33,32.57,0.57
34,33.85,1.85
35,34.38,2.38
36,33.75,1.75
37,33.90,1.90
38,33.87,1.87
39,34.47,2.47
40,35.07,3.07
41,34.92,2.92
42,35.18,3.18
43,36.13,4.13
44,36.73,4.73
45,37.32,5.32
46,37.27,5.27
47,37.63,5.63
48,38.70,6.70
49,39.52,7.52
50,40.35,8.35
51,40.03,8.03
52,40.58,8.58
53,40.68,8.68
54,41.57,9.57
55,41.82,9.82
56,42.30,10.30
57,43.32,11.32
58,42.37,10.37
59,43.48,11.48
60,43.83,11.83
61,43.18,11.18
62,43.17,11.17
63,43.43,11.43
64,43.58,11.58
65,43.12,11.12
66,44.97,12.97
67,45.63,13.63
68,44.72,12.72
69,46.38,14.38
70,46.32,14.32
71,46.97,14.97
72,47.83,15.83
73,47.35,15.35
74,48.07,16.07
75,48.37,16.37
76,48.00,16.00
77,47.93,15.93
78,48.20,16.20
79,48.85,16.85
80,50.03,18.03
81,49.58,17.58
82,50.65,18.65
83,51.07,19.07
84,51.13,19.13
85,51.57,19.57
86,51.42,19.42
87,52.42,20.42
88,52.63,20.63
89,53.88,21.88
90,52.73,20.73
91,52.40,20.40
92,52.48,20.48
93,53.58,21.58
94,53.67,21.67
95,53.90,21.90
96,54.47,22.47
97,53.32,21.32
98,54.45,22.45
99,53.33,21.33
100,54.55,22.55
101,55.32,23.32
102,54.95,22.95
103,54.98,22.98
104,55.43,23.43
105,56.05,24.05
106,56.33,24.33
107,57.48,25.48
108,57.40,25.40
109,57.38,25.38
110,56.60,24.60
111,56.58,24.58
112,56.68,24.68
113,56.90,24.90
114,57.07,25.07
115,57.38,25.38
116,57.63,25.63
117,57.53,25.53
118,58.12,26.12
119,58.48,26.48
120,58.93,26.93
121,58.33,26.33
