# AUKE_BAY
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 2016
#
d_since_march1,Tavg_F,tdd
0,32.10,0.10
1,32.14,0.14
2,31.41,0.00
3,30.05,0.00
4,29.90,0.00
5,29.86,0.00
6,30.09,0.00
7,30.78,0.00
8,32.12,0.12
9,32.26,0.26
10,32.09,0.09
11,31.45,0.00
12,32.09,0.09
13,32.60,0.60
14,32.66,0.66
15,33.26,1.26
16,33.79,1.79
17,33.97,1.97
18,34.18,2.18
19,34.09,2.09
20,35.32,3.32
21,35.19,3.19
22,35.41,3.41
23,35.78,3.78
24,36.61,4.61
25,37.38,5.38
26,37.19,5.19
27,37.25,5.25
28,37.08,5.08
29,37.57,5.57
30,37.67,5.67
31,36.70,4.70
32,36.97,4.97
33,37.14,5.14
34,37.64,5.64
35,38.62,6.62
36,38.62,6.62
37,39.53,7.53
38,40.45,8.45
39,39.95,7.95
40,40.40,8.40
41,40.17,8.17
42,41.04,9.04
43,41.62,9.62
44,41.52,9.52
45,41.50,9.50
46,42.41,10.41
47,42.43,10.43
48,42.24,10.24
49,42.72,10.72
50,43.34,11.34
51,43.64,11.64
52,44.57,12.57
53,44.22,12.22
54,44.86,12.86
55,45.53,13.53
56,45.42,13.42
57,45.34,13.34
58,45.60,13.60
59,44.93,12.93
60,45.24,13.24
61,45.78,13.78
62,46.47,14.47
63,46.60,14.60
64,45.79,13.79
65,45.91,13.91
66,46.67,14.67
67,46.95,14.95
68,47.07,15.07
69,48.14,16.14
70,49.07,17.07
71,49.50,17.50
72,49.16,17.16
73,49.86,17.86
74,50.40,18.40
75,49.59,17.59
76,50.02,18.02
77,50.77,18.77
78,51.07,19.07
79,51.50,19.50
80,51.95,19.95
81,52.05,20.05
82,52.40,20.40
83,52.28,20.28
84,53.17,21.17
85,52.34,20.34
86,53.69,21.69
87,53.14,21.14
88,53.78,21.78
89,54.08,22.08
90,53.60,21.60
91,54.16,22.16
92,53.52,21.52
93,53.79,21.79
94,53.67,21.67
95,54.53,22.53
96,54.38,22.38
97,54.62,22.62
98,55.16,23.16
99,55.21,23.21
100,54.93,22.93
101,55.90,23.90
102,54.93,22.93
103,55.05,23.05
104,55.34,23.34
105,55.66,23.66
106,56.03,24.03
107,56.90,24.90
108,56.67,24.67
109,55.98,23.98
110,56.03,24.03
111,57.28,25.28
112,56.67,24.67
113,57.88,25.88
114,57.43,25.43
115,58.16,26.16
116,58.00,26.00
117,57.21,25.21
118,57.26,25.26
119,57.95,25.95
120,57.70,25.70
121,56.60,24.60
