# BETTLES_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,-1.17,0.00
1,-2.57,0.00
2,-2.68,0.00
3,-2.53,0.00
4,-0.27,0.00
5,0.86,0.00
6,1.09,0.00
7,1.40,0.00
8,0.27,0.00
9,-0.52,0.00
10,0.28,0.00
11,0.47,0.00
12,1.25,0.00
13,2.98,0.00
14,2.10,0.00
15,2.05,0.00
16,3.08,0.00
17,3.28,0.00
18,4.07,0.00
19,5.73,0.00
20,5.68,0.00
21,6.25,0.00
22,7.42,0.00
23,9.03,0.00
24,10.07,0.00
25,8.02,0.00
26,6.70,0.00
27,8.47,0.00
28,10.48,0.00
29,9.93,0.00
30,11.92,0.00
31,13.97,0.00
32,14.32,0.00
33,14.45,0.00
34,16.63,0.00
35,17.08,0.00
36,17.77,0.00
37,17.27,0.00
38,17.35,0.00
39,18.28,0.00
40,20.52,0.00
41,20.52,0.00
42,21.05,0.00
43,21.95,0.00
44,22.43,0.00
45,22.43,0.00
46,24.47,0.00
47,25.55,0.00
48,27.40,0.00
49,27.53,0.00
50,28.95,0.00
51,29.22,0.00
52,30.63,0.00
53,31.48,0.00
54,32.05,0.05
55,32.45,0.45
56,33.05,1.05
57,33.75,1.75
58,34.02,2.02
59,34.83,2.83
60,35.12,3.12
61,34.65,2.65
62,34.75,2.75
63,34.65,2.65
64,34.97,2.97
65,35.55,3.55
66,37.80,5.80
67,38.57,6.57
68,40.02,8.02
69,41.10,9.10
70,41.63,9.63
71,43.57,11.57
72,43.87,11.87
73,42.88,10.88
74,43.53,11.53
75,45.12,13.12
76,44.87,12.87
77,44.82,12.82
78,45.73,13.73
79,46.92,14.92
80,48.50,16.50
81,48.25,16.25
82,50.13,18.13
83,51.40,19.40
84,51.72,19.72
85,52.50,20.50
86,51.82,19.82
87,52.20,20.20
88,52.38,20.38
89,53.57,21.57
90,53.32,21.32
91,53.32,21.32
92,52.53,20.53
93,53.18,21.18
94,54.53,22.53
95,55.23,23.23
96,56.78,24.78
97,58.17,26.17
98,58.12,26.12
99,58.38,26.38
100,57.12,25.12
101,57.32,25.32
102,57.18,25.18
103,57.52,25.52
104,58.65,26.65
105,58.12,26.12
106,58.37,26.37
107,58.92,26.92
108,59.33,27.33
109,59.58,27.58
110,60.95,28.95
111,60.67,28.67
112,60.53,28.53
113,60.33,28.33
114,60.08,28.08
115,60.77,28.77
116,60.27,28.27
117,59.58,27.58
118,59.50,27.50
119,61.37,29.37
120,62.17,30.17
121,62.45,30.45
