# GULKANA_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 1995
#
d_since_march1,Tavg_F,tdd
0,10.47,0.00
1,9.16,0.00
2,8.55,0.00
3,8.64,0.00
4,9.28,0.00
5,8.88,0.00
6,9.53,0.00
7,11.48,0.00
8,13.60,0.00
9,12.48,0.00
10,12.50,0.00
11,12.29,0.00
12,13.34,0.00
13,13.28,0.00
14,12.41,0.00
15,13.40,0.00
16,14.19,0.00
17,14.21,0.00
18,15.81,0.00
19,15.12,0.00
20,14.34,0.00
21,15.86,0.00
22,19.17,0.00
23,21.76,0.00
24,21.90,0.00
25,20.91,0.00
26,21.59,0.00
27,22.59,0.00
28,23.91,0.00
29,22.81,0.00
30,23.88,0.00
31,24.28,0.00
32,24.38,0.00
33,24.38,0.00
34,25.65,0.00
35,27.69,0.00
36,28.00,0.00
37,27.86,0.00
38,28.38,0.00
39,28.24,0.00
40,28.83,0.00
41,29.26,0.00
42,28.98,0.00
43,29.93,0.00
44,31.81,0.00
45,32.76,0.76
46,32.57,0.57
47,33.21,1.21
48,35.43,3.43
49,35.40,3.40
50,36.10,4.10
51,36.28,4.28
52,36.72,4.72
53,37.57,5.57
54,37.67,5.67
55,38.60,6.60
56,38.84,6.84
57,39.62,7.62
58,39.00,7.00
59,39.41,7.41
60,39.55,7.55
61,39.88,7.88
62,39.67,7.67
63,40.79,8.79
64,40.24,8.24
65,40.57,8.57
66,41.22,9.22
67,42.43,10.43
68,42.66,10.66
69,42.71,10.71
70,43.43,11.43
71,43.36,11.36
72,44.88,12.88
73,43.84,11.84
74,44.71,12.71
75,44.93,12.93
76,44.57,12.57
77,45.36,13.36
78,46.19,14.19
79,46.69,14.69
80,47.47,15.47
81,47.97,15.97
82,49.26,17.26
83,48.66,16.66
84,49.48,17.48
85,49.29,17.29
86,50.14,18.14
87,50.81,18.81
88,51.33,19.33
89,51.53,19.53
90,51.84,19.84
91,51.55,19.55
92,50.93,18.93
93,51.47,19.47
94,51.95,19.95
95,51.90,19.90
96,52.48,20.48
97,52.70,20.70
98,52.86,20.86
99,52.74,20.74
100,53.47,21.47
101,54.14,22.14
102,53.60,21.60
103,53.12,21.12
104,53.67,21.67
105,55.33,23.33
106,56.48,24.48
107,55.95,23.95
108,57.28,25.28
109,56.59,24.59
110,56.53,24.53
111,56.47,24.47
112,55.81,23.81
113,56.90,24.90
114,57.00,25.00
115,57.86,25.86
116,56.40,24.40
117,55.98,23.98
118,56.79,24.79
119,56.83,24.83
120,58.22,26.22
121,58.10,26.10
