# NENANA_MUN_AP
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 2003
#
d_since_march1,Tavg_F,tdd
0,1.36,0.00
1,1.93,0.00
2,3.29,0.00
3,4.77,0.00
4,8.32,0.00
5,6.91,0.00
6,6.85,0.00
7,7.66,0.00
8,7.07,0.00
9,4.52,0.00
10,6.57,0.00
11,7.57,0.00
12,8.36,0.00
13,9.71,0.00
14,7.83,0.00
15,10.69,0.00
16,8.62,0.00
17,10.83,0.00
18,10.19,0.00
19,11.88,0.00
20,12.71,0.00
21,15.05,0.00
22,18.02,0.00
23,17.48,0.00
24,18.38,0.00
25,15.67,0.00
26,13.57,0.00
27,13.79,0.00
28,15.31,0.00
29,16.40,0.00
30,19.88,0.00
31,21.62,0.00
32,19.88,0.00
33,22.52,0.00
34,25.23,0.00
35,25.76,0.00
36,24.94,0.00
37,25.31,0.00
38,24.33,0.00
39,26.60,0.00
40,27.57,0.00
41,28.40,0.00
42,28.48,0.00
43,29.79,0.00
44,31.24,0.00
45,30.48,0.00
46,31.48,0.00
47,32.71,0.71
48,33.81,1.81
49,34.96,2.96
50,36.83,4.83
51,36.62,4.62
52,38.69,6.69
53,38.67,6.67
54,38.33,6.33
55,37.57,5.57
56,38.93,6.93
57,39.05,7.05
58,39.43,7.43
59,41.24,9.24
60,41.52,9.52
61,41.31,9.31
62,40.55,8.55
63,41.83,9.83
64,42.07,10.07
65,41.44,9.44
66,42.85,10.85
67,43.55,11.55
68,45.24,13.24
69,45.26,13.26
70,46.95,14.95
71,47.17,15.17
72,48.00,16.00
73,47.45,15.45
74,49.19,17.19
75,50.24,18.24
76,50.43,18.43
77,49.31,17.31
78,49.19,17.19
79,51.33,19.33
80,52.52,20.52
81,53.10,21.10
82,53.81,21.81
83,54.24,22.24
84,54.93,22.93
85,54.93,22.93
86,55.00,23.00
87,53.76,21.76
88,53.90,21.90
89,55.60,23.60
90,56.65,24.65
91,56.24,24.24
92,55.79,23.79
93,55.57,23.57
94,55.26,23.26
95,55.50,23.50
96,57.17,25.17
97,57.43,25.43
98,58.83,26.83
99,58.62,26.62
100,58.40,26.40
101,58.93,26.93
102,57.26,25.26
103,57.69,25.69
104,59.33,27.33
105,60.00,28.00
106,60.05,28.05
107,61.69,29.69
108,62.05,30.05
109,61.86,29.86
110,60.76,28.76
111,61.43,29.43
112,61.60,29.60
113,60.79,28.79
114,61.17,29.17
115,61.64,29.64
116,62.17,30.17
117,62.00,30.00
118,60.12,28.12
119,60.45,28.45
120,62.26,30.26
121,61.07,29.07
