# NOME_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,7.13,0.00
1,8.87,0.00
2,10.53,0.00
3,10.23,0.00
4,11.42,0.00
5,10.97,0.00
6,9.77,0.00
7,9.40,0.00
8,9.03,0.00
9,7.50,0.00
10,8.28,0.00
11,8.13,0.00
12,7.27,0.00
13,6.52,0.00
14,5.65,0.00
15,6.82,0.00
16,9.08,0.00
17,8.48,0.00
18,10.67,0.00
19,11.10,0.00
20,10.22,0.00
21,9.78,0.00
22,11.92,0.00
23,11.38,0.00
24,10.70,0.00
25,8.47,0.00
26,9.83,0.00
27,10.75,0.00
28,11.28,0.00
29,11.58,0.00
30,13.53,0.00
31,15.47,0.00
32,15.05,0.00
33,18.23,0.00
34,19.15,0.00
35,16.33,0.00
36,15.22,0.00
37,17.35,0.00
38,17.68,0.00
39,18.68,0.00
40,19.65,0.00
41,19.13,0.00
42,20.77,0.00
43,21.62,0.00
44,20.35,0.00
45,20.62,0.00
46,22.25,0.00
47,23.23,0.00
48,23.68,0.00
49,24.05,0.00
50,25.07,0.00
51,25.93,0.00
52,27.97,0.00
53,28.13,0.00
54,28.38,0.00
55,28.62,0.00
56,28.78,0.00
57,28.97,0.00
58,28.67,0.00
59,29.67,0.00
60,29.92,0.00
61,29.13,0.00
62,29.15,0.00
63,28.78,0.00
64,29.13,0.00
65,31.77,0.00
66,32.13,0.13
67,32.47,0.47
68,33.17,1.17
69,34.92,2.92
70,35.55,3.55
71,35.78,3.78
72,36.15,4.15
73,36.40,4.40
74,36.47,4.47
75,37.97,5.97
76,38.20,6.20
77,38.05,6.05
78,38.03,6.03
79,39.38,7.38
80,40.47,8.47
81,39.58,7.58
82,40.02,8.02
83,39.87,7.87
84,40.28,8.28
85,41.83,9.83
86,41.95,9.95
87,41.72,9.72
88,41.92,9.92
89,44.03,12.03
90,44.65,12.65
91,45.92,13.92
92,44.57,12.57
93,44.62,12.62
94,44.17,12.17
95,45.70,13.70
96,47.53,15.53
97,47.37,15.37
98,47.85,15.85
99,47.47,15.47
100,45.13,13.13
101,45.70,13.70
102,46.17,14.17
103,47.47,15.47
104,47.28,15.28
105,46.82,14.82
106,47.43,15.43
107,49.43,17.43
108,51.97,19.97
109,52.02,20.02
110,51.37,19.37
111,50.12,18.12
112,50.73,18.73
113,50.32,18.32
114,48.47,16.47
115,49.00,17.00
116,50.67,18.67
117,50.22,18.22
118,49.93,17.93
119,49.90,17.90
120,49.35,17.35
121,49.18,17.18
