# NORTHWAY_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,1.05,0.00
1,2.12,0.00
2,1.08,0.00
3,1.83,0.00
4,1.03,0.00
5,1.07,0.00
6,2.48,0.00
7,2.32,0.00
8,4.02,0.00
9,2.55,0.00
10,3.50,0.00
11,3.18,0.00
12,3.85,0.00
13,2.85,0.00
14,4.02,0.00
15,6.53,0.00
16,6.52,0.00
17,6.88,0.00
18,7.05,0.00
19,7.80,0.00
20,8.90,0.00
21,10.20,0.00
22,13.65,0.00
23,14.67,0.00
24,14.98,0.00
25,16.10,0.00
26,15.73,0.00
27,16.98,0.00
28,16.85,0.00
29,17.53,0.00
30,18.90,0.00
31,20.53,0.00
32,20.88,0.00
33,20.03,0.00
34,21.70,0.00
35,22.85,0.00
36,23.22,0.00
37,23.87,0.00
38,24.80,0.00
39,25.30,0.00
40,26.18,0.00
41,28.08,0.00
42,28.20,0.00
43,28.05,0.00
44,28.92,0.00
45,29.68,0.00
46,29.62,0.00
47,31.08,0.00
48,32.67,0.67
49,34.53,2.53
50,34.92,2.92
51,35.08,3.08
52,35.82,3.82
53,37.02,5.02
54,36.90,4.90
55,37.83,5.83
56,38.87,6.87
57,39.80,7.80
58,39.22,7.22
59,39.40,7.40
60,39.43,7.43
61,39.18,7.18
62,38.95,6.95
63,39.72,7.72
64,39.83,7.83
65,40.98,8.98
66,41.17,9.17
67,42.23,10.23
68,42.75,10.75
69,43.53,11.53
70,44.23,12.23
71,44.17,12.17
72,45.93,13.93
73,45.33,13.33
74,46.15,14.15
75,46.42,14.42
76,46.75,14.75
77,46.40,14.40
78,46.38,14.38
79,47.77,15.77
80,48.88,16.88
81,50.05,18.05
82,51.15,19.15
83,51.12,19.12
84,51.72,19.72
85,51.72,19.72
86,52.00,20.00
87,51.77,19.77
88,51.73,19.73
89,52.98,20.98
90,52.53,20.53
91,52.08,20.08
92,51.97,19.97
93,52.23,20.23
94,52.68,20.68
95,52.87,20.87
96,54.28,22.28
97,53.52,21.52
98,54.43,22.43
99,54.20,22.20
100,55.65,23.65
101,56.33,24.33
102,56.17,24.17
103,55.90,23.90
104,55.57,23.57
105,56.00,24.00
106,56.85,24.85
107,57.45,25.45
108,57.62,25.62
109,57.90,25.90
110,58.33,26.33
111,58.87,26.87
112,58.92,26.92
113,59.07,27.07
114,57.65,25.65
115,58.50,26.50
116,58.75,26.75
117,58.03,26.03
118,58.27,26.27
119,59.23,27.23
120,59.72,27.72
121,59.53,27.53
