# NORTH_POLE
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 2008, 2007
#
d_since_march1,Tavg_F,tdd
0,6.57,0.00
1,5.21,0.00
2,5.54,0.00
3,6.32,0.00
4,6.34,0.00
5,9.21,0.00
6,10.11,0.00
7,9.62,0.00
8,8.84,0.00
9,8.14,0.00
10,7.88,0.00
11,8.62,0.00
12,9.55,0.00
13,11.41,0.00
14,11.46,0.00
15,11.30,0.00
16,12.32,0.00
17,12.12,0.00
18,12.02,0.00
19,13.80,0.00
20,14.98,0.00
21,15.00,0.00
22,18.01,0.00
23,19.25,0.00
24,21.39,0.00
25,19.53,0.00
26,18.02,0.00
27,20.27,0.00
28,19.62,0.00
29,19.38,0.00
30,21.30,0.00
31,23.29,0.00
32,21.71,0.00
33,23.05,0.00
34,26.21,0.00
35,27.29,0.00
36,28.52,0.00
37,27.60,0.00
38,27.34,0.00
39,28.89,0.00
40,30.02,0.00
41,30.73,0.00
42,30.09,0.00
43,30.93,0.00
44,32.59,0.59
45,32.54,0.54
46,32.57,0.57
47,33.93,1.93
48,35.83,3.83
49,36.11,4.11
50,37.57,5.57
51,37.77,5.77
52,39.70,7.70
53,39.71,7.71
54,38.25,6.25
55,39.48,7.48
56,40.05,8.05
57,41.41,9.41
58,40.75,8.75
59,41.55,9.55
60,42.11,10.11
61,41.35,9.35
62,39.89,7.89
63,40.71,8.71
64,40.29,8.29
65,41.80,9.80
66,42.55,10.55
67,43.68,11.68
68,44.51,12.51
69,45.71,13.71
70,47.02,15.02
71,46.86,14.86
72,47.55,15.55
73,47.34,15.34
74,47.45,15.45
75,48.18,16.18
76,48.16,16.16
77,48.16,16.16
78,48.91,16.91
79,49.82,17.82
80,50.90,18.90
81,50.89,18.89
82,52.32,20.32
83,53.04,21.04
84,52.84,20.84
85,53.20,21.20
86,54.27,22.27
87,53.91,21.91
88,54.18,22.18
89,54.89,22.89
90,54.95,22.95
91,55.05,23.05
92,53.88,21.88
93,54.43,22.43
94,54.55,22.55
95,56.00,24.00
96,56.30,24.30
97,57.00,25.00
98,57.26,25.26
99,58.48,26.48
100,57.86,25.86
101,57.86,25.86
102,57.77,25.77
103,57.04,25.04
104,58.18,26.18
105,59.14,27.14
106,58.59,26.59
107,59.38,27.38
108,60.02,28.02
109,60.09,28.09
110,60.12,28.12
111,60.76,28.76
112,61.27,29.27
113,60.50,28.50
114,60.56,28.56
115,61.02,29.02
116,61.42,29.42
117,61.47,29.47
118,60.80,28.80
119,61.83,29.83
120,62.09,30.09
121,60.82,28.82
