# SAINT_PAUL_ISLAND_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 2020
#
d_since_march1,Tavg_F,tdd
0,25.33,0.00
1,26.55,0.00
2,27.34,0.00
3,27.64,0.00
4,26.33,0.00
5,26.95,0.00
6,26.16,0.00
7,25.09,0.00
8,24.81,0.00
9,24.34,0.00
10,23.79,0.00
11,23.41,0.00
12,24.59,0.00
13,23.19,0.00
14,23.66,0.00
15,23.17,0.00
16,23.12,0.00
17,24.62,0.00
18,25.48,0.00
19,23.60,0.00
20,24.60,0.00
21,24.93,0.00
22,25.00,0.00
23,24.86,0.00
24,24.48,0.00
25,25.24,0.00
26,25.45,0.00
27,25.29,0.00
28,24.07,0.00
29,24.45,0.00
30,25.03,0.00
31,27.48,0.00
32,28.47,0.00
33,28.02,0.00
34,27.43,0.00
35,26.34,0.00
36,28.09,0.00
37,27.29,0.00
38,27.81,0.00
39,28.12,0.00
40,27.93,0.00
41,28.47,0.00
42,29.17,0.00
43,29.10,0.00
44,29.62,0.00
45,30.07,0.00
46,30.88,0.00
47,30.29,0.00
48,29.17,0.00
49,30.07,0.00
50,29.97,0.00
51,30.71,0.00
52,31.38,0.00
53,31.41,0.00
54,32.03,0.03
55,31.59,0.00
56,32.16,0.16
57,32.97,0.97
58,33.71,1.71
59,33.21,1.21
60,32.81,0.81
61,32.50,0.50
62,33.76,1.76
63,33.48,1.48
64,33.14,1.14
65,32.81,0.81
66,33.22,1.22
67,33.98,1.98
68,34.74,2.74
69,35.22,3.22
70,36.03,4.03
71,35.83,3.83
72,35.59,3.59
73,35.71,3.71
74,36.14,4.14
75,36.14,4.14
76,36.52,4.52
77,36.59,4.59
78,36.64,4.64
79,37.21,5.21
80,37.19,5.19
81,37.16,5.16
82,36.98,4.98
83,37.76,5.76
84,38.48,6.48
85,38.22,6.22
86,39.55,7.55
87,39.78,7.78
88,39.40,7.40
89,39.88,7.88
90,39.84,7.84
91,40.02,8.02
92,40.55,8.55
93,40.57,8.57
94,40.66,8.66
95,40.40,8.40
96,41.05,9.05
97,40.95,8.95
98,40.91,8.91
99,41.36,9.36
100,41.38,9.38
101,41.86,9.86
102,41.95,9.95
103,42.09,10.09
104,42.76,10.76
105,43.26,11.26
106,43.40,11.40
107,43.02,11.02
108,42.93,10.93
109,43.98,11.98
110,42.97,10.97
111,43.67,11.67
112,43.97,11.97
113,44.40,12.40
114,44.47,12.47
115,44.60,12.60
116,45.00,13.00
117,45.12,13.12
118,45.05,13.05
119,44.72,12.72
120,45.09,13.09
121,45.07,13.07
