# SITKA_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,36.92,4.92
1,36.72,4.72
2,35.57,3.57
3,34.75,2.75
4,35.13,3.13
5,35.53,3.53
6,35.72,3.72
7,35.48,3.48
8,35.88,3.88
9,36.35,4.35
10,36.69,4.69
11,37.15,5.15
12,37.56,5.56
13,36.61,4.61
14,36.74,4.74
15,36.95,4.95
16,37.52,5.52
17,37.05,5.05
18,38.20,6.20
19,38.87,6.87
20,38.62,6.62
21,39.38,7.38
22,38.90,6.90
23,38.80,6.80
24,39.97,7.97
25,39.75,7.75
26,39.20,7.20
27,40.05,8.05
28,40.43,8.43
29,39.78,7.78
30,39.18,7.18
31,39.72,7.72
32,39.27,7.27
33,39.68,7.68
34,40.53,8.53
35,41.32,9.32
36,41.20,9.20
37,41.04,9.04
38,40.78,8.78
39,40.92,8.92
40,41.30,9.30
41,41.47,9.47
42,41.95,9.95
43,41.80,9.80
44,42.57,10.57
45,42.92,10.92
46,43.48,11.48
47,42.78,10.78
48,42.67,10.67
49,43.82,11.82
50,43.55,11.55
51,43.83,11.83
52,44.68,12.68
53,45.27,13.27
54,45.20,13.20
55,45.53,13.53
56,45.02,13.02
57,45.05,13.05
58,45.17,13.17
59,44.95,12.95
60,45.02,13.02
61,45.90,13.90
62,46.52,14.52
63,45.67,13.67
64,45.82,13.82
65,45.53,13.53
66,45.50,13.50
67,45.72,13.72
68,46.63,14.63
69,47.33,15.33
70,47.22,15.22
71,48.25,16.25
72,47.72,15.72
73,48.07,16.07
74,47.62,15.62
75,47.28,15.28
76,48.12,16.12
77,47.98,15.98
78,48.52,16.52
79,48.63,16.63
80,49.68,17.68
81,50.08,18.08
82,49.38,17.38
83,49.42,17.42
84,50.20,18.20
85,49.93,17.93
86,49.75,17.75
87,50.27,18.27
88,51.10,19.10
89,50.08,18.08
90,50.63,18.63
91,50.22,18.22
92,50.78,18.78
93,50.92,18.92
94,51.90,19.90
95,51.93,19.93
96,51.73,19.73
97,51.52,19.52
98,51.48,19.48
99,51.75,19.75
100,52.28,20.28
101,52.67,20.67
102,51.73,19.73
103,52.77,20.77
104,52.45,20.45
105,52.70,20.70
106,53.37,21.37
107,53.13,21.13
108,53.32,21.32
109,53.20,21.20
110,53.95,21.95
111,53.95,21.95
112,53.98,21.98
113,54.28,22.28
114,54.57,22.57
115,54.50,22.50
116,53.78,21.78
117,53.88,21.88
118,54.83,22.83
119,55.10,23.10
120,54.98,22.98
121,55.18,23.18
