# SKAGWAY_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 1992, 1993, 1994, 1995, 1996, 1997
#
d_since_march1,Tavg_F,tdd
0,30.31,0.00
1,30.35,0.00
2,30.48,0.00
3,29.35,0.00
4,28.58,0.00
5,29.58,0.00
6,29.85,0.00
7,29.69,0.00
8,30.83,0.00
9,30.88,0.00
10,30.98,0.00
11,30.75,0.00
12,31.06,0.00
13,30.88,0.00
14,32.31,0.31
15,32.88,0.88
16,34.02,2.02
17,33.23,1.23
18,33.04,1.04
19,34.27,2.27
20,34.85,2.85
21,35.25,3.25
22,36.42,4.42
23,35.73,3.73
24,37.31,5.31
25,37.58,5.58
26,37.42,5.42
27,37.65,5.65
28,37.58,5.58
29,38.08,6.08
30,37.23,5.23
31,37.29,5.29
32,37.54,5.54
33,37.85,5.85
34,37.79,5.79
35,37.77,5.77
36,39.17,7.17
37,40.02,8.02
38,39.79,7.79
39,39.31,7.31
40,39.94,7.94
41,40.69,8.69
42,40.40,8.40
43,42.25,10.25
44,41.88,9.88
45,41.12,9.12
46,41.35,9.35
47,41.29,9.29
48,41.81,9.81
49,42.52,10.52
50,43.48,11.48
51,43.23,11.23
52,43.83,11.83
53,44.65,12.65
54,44.33,12.33
55,45.52,13.52
56,45.67,13.67
57,45.29,13.29
58,45.00,13.00
59,45.44,13.44
60,45.83,13.83
61,46.69,14.69
62,47.35,15.35
63,46.67,14.67
64,46.23,14.23
65,46.50,14.50
66,46.58,14.58
67,46.75,14.75
68,48.42,16.42
69,49.05,17.05
70,49.40,17.40
71,49.83,17.83
72,50.03,18.03
73,49.92,17.92
74,49.48,17.48
75,49.94,17.94
76,49.77,17.77
77,51.08,19.08
78,51.29,19.29
79,50.98,18.98
80,51.44,19.44
81,51.56,19.56
82,51.08,19.08
83,51.94,19.94
84,52.69,20.69
85,52.46,20.46
86,53.00,21.00
87,53.35,21.35
88,54.81,22.81
89,54.02,22.02
90,53.06,21.06
91,52.94,20.94
92,53.08,21.08
93,53.54,21.54
94,53.46,21.46
95,53.12,21.12
96,53.81,21.81
97,55.25,23.25
98,54.29,22.29
99,54.65,22.65
100,54.94,22.94
101,54.27,22.27
102,55.08,23.08
103,55.27,23.27
104,55.04,23.04
105,55.67,23.67
106,56.92,24.92
107,56.96,24.96
108,56.35,24.35
109,56.83,24.83
110,56.60,24.60
111,57.17,25.17
112,56.92,24.92
113,56.92,24.92
114,57.15,25.15
115,57.90,25.90
116,57.06,25.06
117,57.33,25.33
118,58.48,26.48
119,57.42,25.42
120,56.98,24.98
121,56.92,24.92
