# TANANA_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# Excluded years (more than 5 days of missing data): 1995
#
d_since_march1,Tavg_F,tdd
0,0.74,0.00
1,0.41,0.00
2,2.22,0.00
3,1.97,0.00
4,2.47,0.00
5,4.45,0.00
6,4.64,0.00
7,4.84,0.00
8,4.81,0.00
9,3.59,0.00
10,4.12,0.00
11,4.34,0.00
12,6.21,0.00
13,6.53,0.00
14,7.55,0.00
15,6.22,0.00
16,6.71,0.00
17,7.10,0.00
18,7.62,0.00
19,8.95,0.00
20,9.99,0.00
21,11.40,0.00
22,13.61,0.00
23,13.28,0.00
24,15.52,0.00
25,12.17,0.00
26,10.12,0.00
27,10.12,0.00
28,12.43,0.00
29,14.66,0.00
30,15.79,0.00
31,17.60,0.00
32,17.41,0.00
33,17.83,0.00
34,19.81,0.00
35,21.02,0.00
36,21.55,0.00
37,21.90,0.00
38,21.95,0.00
39,23.33,0.00
40,25.14,0.00
41,23.97,0.00
42,23.83,0.00
43,24.84,0.00
44,27.66,0.00
45,26.98,0.00
46,27.17,0.00
47,27.84,0.00
48,30.09,0.00
49,31.48,0.00
50,33.03,1.03
51,33.93,1.93
52,35.03,3.03
53,35.86,3.86
54,36.31,4.31
55,35.24,3.24
56,36.72,4.72
57,37.67,5.67
58,37.60,5.60
59,38.97,6.97
60,39.52,7.52
61,38.38,6.38
62,37.86,5.86
63,38.07,6.07
64,37.88,5.88
65,39.38,7.38
66,41.05,9.05
67,42.12,10.12
68,42.16,10.16
69,43.93,11.93
70,44.93,12.93
71,44.90,12.90
72,45.74,13.74
73,44.95,12.95
74,45.43,13.43
75,47.02,15.02
76,47.22,15.22
77,47.24,15.24
78,47.57,15.57
79,49.24,17.24
80,49.62,17.62
81,51.09,19.09
82,50.86,18.86
83,52.45,20.45
84,51.97,19.97
85,53.07,21.07
86,53.69,21.69
87,53.28,21.28
88,52.52,20.52
89,54.45,22.45
90,54.66,22.66
91,54.24,22.24
92,53.69,21.69
93,54.55,22.55
94,54.71,22.71
95,55.52,23.52
96,56.78,24.78
97,56.84,24.84
98,57.66,25.66
99,57.24,25.24
100,56.14,24.14
101,57.14,25.14
102,57.31,25.31
103,57.64,25.64
104,59.00,27.00
105,59.10,27.10
106,58.64,26.64
107,60.24,28.24
108,60.67,28.67
109,60.36,28.36
110,60.40,28.40
111,60.62,28.62
112,60.55,28.55
113,60.21,28.21
114,60.03,28.03
115,60.59,28.59
116,60.91,28.91
117,60.31,28.31
118,59.86,27.86
119,60.79,28.79
120,61.50,29.50
121,61.88,29.88
