# YAKUTAT_AIRPORT
# 1991-2020 climatology of T_avg and TDD for ACIS station
# No years excluded (all years had 5 or fewer days of missing data)
#
d_since_march1,Tavg_F,tdd
0,30.87,0.00
1,29.60,0.00
2,28.48,0.00
3,27.95,0.00
4,28.52,0.00
5,28.62,0.00
6,29.12,0.00
7,29.87,0.00
8,29.85,0.00
9,30.35,0.00
10,30.47,0.00
11,30.45,0.00
12,31.05,0.00
13,30.50,0.00
14,31.28,0.00
15,31.82,0.00
16,31.45,0.00
17,31.08,0.00
18,31.62,0.00
19,32.02,0.02
20,32.70,0.70
21,33.17,1.17
22,33.22,1.22
23,33.65,1.65
24,33.95,1.95
25,34.43,2.43
26,34.63,2.63
27,34.47,2.47
28,34.53,2.53
29,34.15,2.15
30,33.52,1.52
31,33.58,1.58
32,33.82,1.82
33,34.68,2.68
34,34.97,2.97
35,36.13,4.13
36,36.50,4.50
37,36.78,4.78
38,35.95,3.95
39,35.95,3.95
40,36.12,4.12
41,37.12,5.12
42,37.70,5.70
43,37.85,5.85
44,37.73,5.73
45,38.68,6.68
46,38.43,6.43
47,37.90,5.90
48,38.40,6.40
49,39.17,7.17
50,39.37,7.37
51,39.83,7.83
52,40.65,8.65
53,41.05,9.05
54,41.20,9.20
55,42.02,10.02
56,41.63,9.63
57,41.37,9.37
58,41.13,9.13
59,41.02,9.02
60,41.55,9.55
61,42.48,10.48
62,42.78,10.78
63,42.40,10.40
64,41.52,9.52
65,41.47,9.47
66,42.25,10.25
67,42.98,10.98
68,43.43,11.43
69,43.82,11.82
70,43.78,11.78
71,44.42,12.42
72,44.08,12.08
73,44.50,12.50
74,45.00,13.00
75,44.70,12.70
76,44.43,12.43
77,45.03,13.03
78,45.82,13.82
79,45.77,13.77
80,46.15,14.15
81,47.10,15.10
82,46.78,14.78
83,47.10,15.10
84,48.32,16.32
85,47.82,15.82
86,47.18,15.18
87,47.48,15.48
88,49.23,17.23
89,49.05,17.05
90,48.28,16.28
91,48.08,16.08
92,48.23,16.23
93,48.73,16.73
94,49.20,17.20
95,49.77,17.77
96,49.68,17.68
97,50.12,18.12
98,49.65,17.65
99,48.83,16.83
100,50.68,18.68
101,51.58,19.58
102,50.58,18.58
103,50.95,18.95
104,51.27,19.27
105,51.42,19.42
106,52.35,20.35
107,52.62,20.62
108,52.42,20.42
109,52.38,20.38
110,52.17,20.17
111,52.58,20.58
112,52.32,20.32
113,52.92,20.92
114,52.78,20.78
115,52.75,20.75
116,53.18,21.18
117,53.10,21.10
118,53.22,21.22
119,53.83,21.83
120,53.82,21.82
121,53.85,21.85
