# JUNEAU_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,2.50,4.50,0.00,2.50,7.50,3.50,3.00,0.00,7.00,0.00,1.00,0.00,3.00,5.00,6.00,0.00,0.00,0.00,2.00,0.50,6.50,5.50,4.50,5.00,0.00,8.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,5.00,0.00,3.50,3.00,0.00,0.00,0.00,5.50,4.00,6.00
1,2.50,12.00,0.00,3.50,15.00,6.00,5.00,0.00,13.00,0.00,6.50,0.00,3.00,7.50,10.50,0.00,2.00,0.00,2.50,2.50,12.00,6.50,10.50,11.50,0.00,17.50,0.00,0.00,5.50,0.00,15.50,0.00,2.50,6.00,0.00,4.00,6.50,0.00,0.00,0.00,9.50,8.50,10.50
2,2.50,15.50,0.00,3.50,20.00,11.50,10.50,0.00,15.50,0.00,12.50,0.00,3.00,10.00,17.50,1.00,2.00,0.00,2.50,3.50,17.00,9.00,13.00,18.50,0.00,24.00,0.00,0.00,12.50,0.00,19.00,0.00,3.50,6.00,0.00,8.50,6.50,0.00,0.00,0.00,12.00,13.50,12.50
3,2.50,19.00,0.00,3.50,28.50,11.50,13.50,0.00,19.00,0.00,21.50,0.00,3.00,16.00,21.50,1.00,2.00,0.00,2.50,3.50,21.00,9.00,13.00,20.50,0.50,30.50,0.00,0.00,17.00,0.00,22.50,0.00,3.50,6.00,0.00,15.00,12.50,0.00,0.00,0.00,14.00,19.50,14.00
4,2.50,21.50,0.00,3.50,36.00,11.50,13.50,0.00,25.00,0.00,28.50,3.00,3.00,24.00,21.50,1.00,2.00,0.00,2.50,3.50,21.50,9.50,13.00,20.50,2.50,39.00,0.00,0.00,20.50,0.00,24.00,0.00,3.50,6.00,0.00,19.50,20.00,0.00,0.00,0.00,14.00,24.00,19.00
5,2.50,22.50,2.50,3.50,44.00,11.50,13.50,0.00,28.50,0.00,32.00,5.50,3.00,31.00,21.50,1.00,2.00,0.00,2.50,3.50,22.00,15.00,13.00,20.50,5.00,44.50,0.00,0.00,27.00,0.00,28.00,0.00,6.00,6.00,0.00,27.00,26.00,0.00,0.00,0.00,14.00,28.50,26.50
6,2.50,23.50,6.50,4.00,52.50,14.00,13.50,0.00,34.00,0.00,32.00,10.00,5.50,36.00,25.00,1.00,2.00,2.00,2.50,3.50,22.00,22.00,13.00,20.50,12.50,51.50,3.00,3.50,35.00,0.00,28.00,0.00,9.00,6.00,0.00,35.50,32.50,0.00,0.00,0.00,14.00,33.50,28.00
7,6.00,29.00,9.00,4.00,59.50,16.50,13.50,0.00,42.00,0.00,32.00,11.50,14.50,39.50,32.00,1.00,2.00,3.00,2.50,3.50,22.00,28.50,13.00,20.50,20.50,61.50,4.00,6.50,43.00,0.00,28.00,0.00,13.50,6.50,1.00,42.50,38.50,0.00,1.50,0.00,15.00,33.50,28.00
8,12.50,37.50,10.50,7.00,67.50,21.00,15.50,0.00,47.50,0.00,34.50,11.50,21.00,43.00,40.50,1.00,5.50,3.50,2.50,3.50,22.00,34.00,13.00,20.50,22.00,71.00,4.00,6.50,49.50,0.00,30.00,0.00,18.00,8.50,5.50,46.00,42.50,0.00,4.50,5.00,18.50,33.50,28.00
9,15.50,46.00,11.00,17.00,77.50,24.50,20.00,0.00,54.00,0.00,36.50,11.50,30.00,44.00,46.00,1.00,16.50,3.50,2.50,9.00,22.00,40.00,13.00,20.50,26.50,79.00,4.00,6.50,52.50,0.00,32.00,0.00,21.00,12.50,11.50,46.00,47.00,0.00,8.50,9.50,21.50,33.50,30.00
