# KENAI_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,0.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.50,0.00,0.00,0.00,0.00,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,0.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.50,2.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,0.00,4.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,14.00,2.50,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,5.00,4.00,0.00,2.00,3.50,0.00,0.00,0.00,3.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,14.50,2.50,0.50,0.00,0.00,3.50,0.00,15.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50
4,7.00,7.50,0.00,2.00,7.50,0.00,0.00,0.00,3.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,1.00,0.00,14.50,2.50,1.00,0.00,0.00,8.50,0.00,15.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50
5,10.50,9.00,0.00,2.00,11.50,0.00,0.00,0.00,3.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,1.00,0.00,14.50,2.50,1.00,0.00,0.00,14.50,0.00,15.00,0.00,0.00,0.00,0.00,7.50,2.00,0.00,0.00,0.00,0.00,0.00,3.50
6,10.50,10.50,0.00,2.00,12.00,0.00,0.00,0.00,4.50,0.00,2.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,1.00,0.00,14.50,2.50,9.00,0.00,0.00,18.50,0.00,15.00,0.00,0.00,3.50,0.00,10.50,2.00,0.00,0.00,0.00,0.00,0.00,3.50
7,10.50,13.00,0.00,2.00,14.00,0.00,0.00,0.00,4.50,0.00,2.50,0.50,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,2.50,1.00,0.00,14.50,2.50,15.50,0.00,0.00,20.00,0.00,15.00,0.00,0.00,5.00,0.00,10.50,2.00,0.00,0.00,4.00,0.00,0.00,3.50
8,10.50,18.50,0.00,2.00,22.50,1.00,0.00,0.00,4.50,0.00,2.50,0.50,3.50,0.00,11.00,0.00,0.00,0.00,0.00,0.00,2.50,3.50,0.00,14.50,2.50,20.00,0.00,0.00,28.50,0.00,15.00,0.00,0.00,8.00,0.00,10.50,3.50,0.00,0.00,6.50,0.00,0.00,3.50
9,10.50,26.00,0.00,2.00,32.00,2.00,0.00,0.00,7.50,0.00,2.50,0.50,5.50,0.00,13.00,0.00,0.00,0.00,0.00,0.00,2.50,6.50,0.00,14.50,4.00,25.50,0.00,0.00,32.00,0.00,15.00,0.00,0.00,8.00,0.00,10.50,3.50,0.00,0.00,12.50,0.00,0.00,3.50
10,10.50,33.50,0.00,2.00,38.50,2.00,0.00,0.00,10.50,0.00,2.50,0.50,7.00,0.50,13.00,0.00,0.00,0.00,0.00,0.00,2.50,11.00,0.00,14.50,7.00,31.50,0.00,0.00,32.00,0.50,15.00,0.00,0.00,8.00,2.00,10.50,7.00,0.00,0.00,15.00,0.00,0.00,6.00
11,10.50,41.00,0.00,6.50,41.50,2.00,0.50,0.00,14.00,0.00,2.50,0.50,7.00,1.50,13.00,0.00,0.00,0.00,0.00,0.00,2.50,13.50,0.00,14.50,7.00,33.50,0.00,0.00,32.00,1.50,15.00,0.00,0.00,8.00,2.00,10.50,10.00,0.00,0.00,15.00,0.00,0.00,7.50
12,10.50,47.50,0.00,16.00,43.00,2.00,5.50,0.00,16.50,0.00,3.00,0.50,7.00,1.50,13.00,0.00,0.00,0.00,0.00,0.00,4.00,14.00,0.00,14.50,7.00,37.50,0.00,0.00,32.00,1.50,15.00,0.00,0.00,8.00,5.00,10.50,10.00,0.00,0.50,15.50,0.00,0.00,7.50
13,10.50,54.50,0.00,25.50,47.00,2.00,8.00,0.00,16.50,0.00,3.00,0.50,7.00,1.50,13.50,0.00,1.00,0.00,3.00,0.00,7.50,15.50,0.00,14.50,7.00,37.50,0.00,0.00,32.00,1.50,15.00,0.00,0.00,8.00,5.00,10.50,10.00,0.00,0.50,19.50,0.00,0.00,7.50
14,10.50,60.50,0.00,32.00,47.50,2.00,8.00,0.00,16.50,0.00,3.00,0.50,7.00,1.50,13.50,0.00,1.50,0.00,8.00,0.00,9.00,17.50,0.00,14.50,7.00,37.50,0.00,0.00,32.00,1.50,15.00,0.00,0.00,8.00,5.00,10.50,10.00,0.00,0.50,19.50,0.00,0.00,7.50
15,10.50,65.00,0.00,37.50,52.00,2.00,10.50,0.00,16.50,0.00,3.00,0.50,7.00,1.50,13.50,0.00,1.50,0.00,12.00,0.00,12.00,17.50,0.00,19.50,7.00,37.50,0.00,0.00,32.00,1.50,15.00,0.00,0.00,8.00,5.00,10.50,10.00,0.00,2.50,27.00,0.00,0.00,7.50
16,10.50,74.00,3.50,41.00,54.00,2.00,10.50,0.00,16.50,0.00,3.00,0.50,7.00,1.50,13.50,0.00,1.50,0.00,18.00,0.00,12.00,17.50,0.00,22.00,7.00,37.50,0.00,0.00,32.00,1.50,15.00,1.00,0.00,8.00,5.00,13.00,10.00,0.00,5.50,32.50,0.00,0.00,7.50
17,10.50,85.00,10.50,43.00,54.00,2.00,10.50,0.00,16.50,0.00,3.00,0.50,7.00,1.50,13.50,0.00,1.50,0.00,24.50,0.00,12.00,17.50,0.00,22.00,7.00,37.50,0.00,0.00,32.00,1.50,15.00,1.00,0.00,8.00,5.00,20.50,10.00,0.00,9.00,41.00,0.00,0.00,7.50
18,10.50,91.00,16.00,45.00,54.00,2.00,10.50,0.00,16.50,0.00,3.00,0.50,13.50,2.50,13.50,0.00,1.50,0.00,34.50,1.00,12.00,17.50,0.00,22.00,7.00,37.50,0.00,0.00,32.00,1.50,19.00,1.00,0.00,8.00,5.00,25.00,10.00,0.00,13.00,42.50,0.00,0.00,7.50
19,10.50,95.50,20.50,47.50,54.00,2.00,10.50,3.00,16.50,1.50,3.00,0.50,16.00,2.50,13.50,0.00,1.50,0.00,44.50,2.00,15.50,17.50,0.00,22.00,7.00,37.50,0.00,0.00,32.00,1.50,19.00,1.00,0.00,8.00,5.00,29.00,10.00,0.00,13.00,50.00,1.50,0.00,7.50
20,13.50,100.50,25.50,53.00,54.00,2.00,10.50,9.00,16.50,1.50,3.00,0.50,16.00,2.50,13.50,0.00,1.50,0.00,49.50,2.00,16.00,17.50,0.00,22.00,7.00,37.50,2.00,0.00,34.00,1.50,20.00,1.50,0.00,8.00,5.00,29.50,16.00,0.00,13.00,58.50,1.50,0.00,7.50
21,13.50,101.00,27.00,57.50,54.00,2.00,10.50,14.00,16.50,1.50,3.00,0.50,16.00,3.00,13.50,0.00,1.50,0.00,51.50,2.00,17.00,17.50,0.00,22.00,7.00,37.50,2.00,0.00,35.50,1.50,20.00,6.00,0.00,8.00,5.00,33.00,28.00,0.00,13.00,69.50,1.50,0.00,7.50
22,13.50,101.00,27.00,60.50,54.00,2.50,10.50,20.00,16.50,2.50,3.00,0.50,22.50,3.00,13.50,0.00,1.50,0.00,56.00,6.00,21.50,17.50,0.00,22.00,7.00,37.50,2.00,0.00,35.50,1.50,22.00,9.00,0.00,8.00,5.00,33.50,38.50,0.00,13.00,75.50,1.50,0.00,8.00
23,17.50,105.00,27.00,67.00,54.00,2.50,11.00,26.00,16.50,4.00,3.00,0.50,28.00,3.00,17.50,0.00,3.50,0.00,63.50,8.50,21.50,17.50,0.00,22.00,7.00,37.50,2.00,0.00,37.50,1.50,23.50,13.00,0.00,8.00,5.00,35.50,49.00,0.00,13.00,80.50,1.50,0.00,8.00
24,18.50,107.00,27.00,72.50,56.50,2.50,11.00,26.00,16.50,10.00,6.00,2.50,29.50,3.00,24.50,0.00,6.00,0.00,66.50,13.00,21.50,17.50,0.50,23.00,7.00,41.50,5.00,0.00,37.50,6.00,25.50,15.00,0.00,8.00,5.00,40.50,53.50,0.00,13.00,86.00,3.50,0.00,15.00
25,20.50,112.50,27.00,81.00,60.00,2.50,11.00,28.00,16.50,15.00,11.00,6.50,29.50,3.00,24.50,0.00,11.00,0.00,67.50,14.00,21.50,23.50,0.50,23.50,7.00,42.50,8.00,0.00,37.50,11.00,26.00,17.00,0.00,8.00,5.00,50.00,55.00,0.00,13.00,91.00,3.50,0.00,15.50
26,22.00,120.50,27.00,87.00,65.50,2.50,11.00,30.00,16.50,15.00,16.00,7.00,29.50,3.50,24.50,0.00,12.50,0.00,68.00,18.50,21.50,23.50,0.50,23.50,7.00,42.50,8.50,0.00,37.50,11.00,29.00,17.00,0.00,8.00,5.00,58.00,55.00,0.00,13.00,97.00,3.50,0.00,15.50
27,22.00,125.00,27.00,94.00,69.00,2.50,11.00,31.50,16.50,15.00,19.50,7.00,29.50,7.50,27.00,6.00,12.50,0.00,68.00,18.50,21.50,23.50,0.50,23.50,7.00,42.50,8.50,0.00,37.50,11.00,33.50,17.00,3.50,8.00,5.00,63.50,60.00,0.00,13.00,100.00,3.50,0.00,16.50
28,22.00,130.00,27.00,101.50,71.50,2.50,11.00,37.50,16.50,15.00,24.50,7.00,29.50,10.50,30.50,8.50,12.50,0.00,70.00,18.50,23.00,23.50,0.50,23.50,7.00,42.50,8.50,0.00,37.50,12.00,41.50,23.00,7.00,8.00,5.00,69.00,67.00,0.00,13.00,105.00,3.50,0.00,23.00
29,28.00,137.00,27.00,107.00,72.50,2.50,11.00,44.50,18.00,15.00,27.50,7.00,29.50,12.00,36.00,16.00,12.50,0.00,70.00,18.50,24.50,23.50,0.50,23.50,7.00,42.50,8.50,0.00,39.50,12.00,45.50,32.00,7.00,10.00,5.00,77.00,73.50,0.00,13.00,110.50,3.50,0.00,24.00
30,35.00,140.50,27.00,113.50,77.50,2.50,11.00,47.50,19.50,15.50,29.50,7.00,29.50,20.00,42.00,24.00,12.50,0.00,70.00,18.50,24.50,23.50,0.50,23.50,7.00,47.50,14.50,0.00,43.50,12.00,50.50,32.50,8.00,10.00,5.00,81.50,83.00,1.00,13.00,116.00,3.50,0.00,26.50
31,41.50,141.00,27.00,121.00,83.00,2.50,11.00,48.00,20.00,18.00,31.00,7.00,31.50,27.50,49.50,28.50,12.50,0.00,71.50,21.00,24.50,23.50,0.50,23.50,7.00,47.50,19.00,0.00,51.00,12.00,58.00,32.50,8.00,10.00,5.00,86.00,95.00,9.00,13.00,119.00,3.50,0.00,32.50
