# KETCHIKAN_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# Excluded years (more than 10 days of missing data): 1981, 1982, 1985, 1986, 1987, 1988
#
d_since_march1,1980,1983,1984,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,12.00,4.50,10.50,0.00,10.50,0.00,5.50,7.00,13.50,5.50,0.50,4.50,4.50,6.50,7.50,7.00,5.50,7.00,4.50,12.50,1.50,0.00,8.00,3.50,11.00,0.00,0.00,7.50,0.00,9.50,10.00,0.00,7.50,2.00,7.00,4.00,6.50
1,22.00,8.00,18.00,0.00,20.00,0.00,7.50,14.50,25.50,10.00,8.00,6.50,9.50,10.50,16.00,13.00,12.50,15.00,7.00,23.50,4.50,6.50,12.50,11.00,21.00,0.00,4.00,11.00,0.00,18.00,18.50,3.00,10.00,2.00,13.00,8.50,17.00
2,30.00,11.50,26.50,4.50,30.00,0.00,11.00,27.50,37.00,16.00,13.00,6.50,16.00,16.50,22.50,19.50,16.00,25.00,11.50,34.00,7.50,14.00,18.50,17.50,31.00,0.00,9.50,15.50,0.00,26.00,29.50,3.00,12.00,2.00,16.50,13.00,23.00
3,30.00,15.00,35.00,12.50,41.50,0.00,14.00,36.00,40.50,16.00,13.00,6.50,19.50,19.00,25.00,23.50,16.00,35.00,16.50,43.50,11.50,20.00,24.00,21.00,35.50,3.00,9.50,22.50,0.00,32.00,42.00,5.51,12.00,2.00,18.50,20.00,30.50
4,32.00,17.50,44.00,19.50,51.50,4.50,16.00,44.50,43.00,16.00,13.00,10.50,19.50,21.00,30.50,26.50,16.00,38.00,19.00,52.50,16.50,30.50,28.00,23.50,40.50,8.00,9.50,26.50,0.00,42.50,51.50,5.51,15.50,2.00,21.50,29.00,38.50
5,33.00,18.50,55.00,23.50,55.00,9.00,19.00,52.00,47.50,16.00,13.00,15.00,19.50,22.00,32.50,35.00,16.00,38.00,24.00,62.00,24.00,44.00,37.00,27.50,46.50,10.00,11.00,29.00,0.00,53.50,65.50,5.51,18.00,5.00,23.00,35.50,48.00
6,37.00,22.50,65.00,26.50,57.00,17.50,25.50,55.50,53.50,16.00,13.00,18.00,20.50,24.50,34.50,41.00,16.00,38.00,33.50,74.50,25.00,50.50,44.50,27.50,49.50,10.00,18.00,32.00,6.00,64.50,77.00,5.51,20.00,6.00,24.50,44.00,54.00
7,43.50,32.00,76.50,27.00,57.00,21.50,36.50,55.50,65.00,16.50,19.50,22.50,20.50,24.50,36.00,45.50,16.00,38.00,42.50,87.50,25.50,55.50,51.50,27.50,51.00,11.50,26.50,34.50,17.00,77.00,84.50,5.51,20.50,8.50,24.50,48.50,59.00
8,50.00,42.00,87.50,27.00,60.00,25.50,43.50,57.50,75.50,17.50,33.50,26.00,22.00,25.50,40.00,50.50,16.00,38.00,47.00,101.50,25.50,57.50,57.00,27.50,54.00,16.50,32.00,40.50,26.00,85.50,93.00,5.51,27.50,12.50,29.50,54.50,59.50
9,55.00,54.50,100.50,27.00,64.00,25.50,55.50,60.50,81.00,24.50,46.50,27.50,29.00,26.00,48.50,59.00,16.00,38.00,54.50,114.50,26.50,60.50,61.50,27.50,57.00,20.00,36.00,45.50,36.00,94.00,103.50,5.51,36.50,18.00,36.00,58.50,63.50
10,59.50,66.00,113.50,29.00,69.50,27.00,65.00,66.00,90.50,34.50,56.50,32.50,41.00,31.00,57.50,72.50,18.50,38.00,60.50,124.50,28.00,62.50,66.00,27.50,61.50,23.50,38.50,49.00,48.00,105.50,117.50,5.51,50.50,24.50,40.50,62.50,73.00
11,64.00,81.50,125.50,34.00,75.00,27.00,73.00,76.50,104.50,39.50,63.00,32.50,52.50,38.00,67.50,78.00,22.50,38.00,66.50,134.00,28.00,63.50,69.00,33.00,66.50,30.50,38.50,53.50,57.50,122.00,127.00,9.51,68.50,29.50,44.50,65.00,81.00
12,65.50,94.50,134.00,39.00,81.50,29.50,88.00,82.50,115.50,48.00,73.00,32.50,65.50,41.00,81.00,85.50,26.00,48.50,69.50,148.00,28.00,66.50,75.00,37.00,73.50,39.00,40.00,57.50,65.50,135.00,137.00,16.51,87.50,36.50,44.50,65.00,86.00
13,71.65,105.00,139.00,43.00,91.00,34.00,101.00,88.50,126.50,61.50,84.00,32.50,78.00,45.00,92.00,91.00,26.00,56.00,76.00,159.50,28.00,67.00,82.50,41.50,82.50,47.50,43.50,61.50,75.00,138.50,147.00,20.51,99.50,43.50,46.50,65.00,96.50
