# SITKA_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,10.00,9.00,2.00,1.50,7.50,5.50,7.00,0.00,12.00,2.00,2.50,1.50,3.50,6.50,10.50,2.00,5.00,4.50,7.00,7.00,10.50,6.50,6.50,10.50,6.00,13.50,5.00,0.00,3.50,2.50,11.50,0.00,2.00,7.50,3.00,9.50,11.00,1.50,0.00,5.00,6.00,5.50,9.50
1,18.00,16.00,6.00,3.50,13.50,14.00,10.50,0.00,17.50,5.00,11.50,2.50,5.00,14.00,19.00,7.50,13.50,4.50,13.00,8.50,20.00,12.50,13.50,21.50,9.50,25.50,9.00,0.00,12.50,9.00,19.50,0.00,5.00,16.00,3.00,16.50,20.00,3.50,1.00,9.50,11.50,10.50,15.00
2,23.00,19.50,7.50,3.50,21.00,21.50,19.00,0.00,22.00,5.00,22.50,2.50,5.50,26.50,28.50,15.50,16.50,4.50,16.50,11.00,25.50,17.50,16.50,33.50,14.50,34.50,12.50,0.00,18.50,10.00,24.50,0.00,6.00,21.00,3.00,27.50,30.50,3.50,2.00,13.50,14.00,15.00,20.00
3,25.50,24.50,7.50,5.50,33.00,23.00,22.50,0.00,32.00,8.50,32.50,2.50,7.50,39.00,33.00,18.50,17.50,4.50,18.50,11.50,28.00,20.00,16.50,41.00,19.50,45.00,17.00,2.00,24.50,13.50,28.00,2.50,6.00,24.50,3.00,37.00,43.50,3.50,3.50,15.50,15.50,21.00,25.50
4,33.00,29.50,13.00,5.50,45.00,23.00,25.00,0.00,39.50,10.50,40.00,8.00,10.00,51.00,33.50,23.00,18.00,9.50,19.50,11.50,31.00,25.00,16.50,44.00,25.00,53.50,23.50,11.00,34.00,15.50,31.50,9.00,6.00,27.00,3.00,45.50,55.50,3.50,3.50,18.00,18.50,28.50,35.00
5,40.50,36.00,20.00,6.50,58.50,23.00,32.00,2.00,46.50,10.50,43.50,12.50,12.50,58.50,39.50,26.00,18.00,14.50,21.50,11.50,32.50,35.50,16.50,44.00,31.50,60.50,28.50,22.00,45.00,20.50,35.50,14.00,8.50,29.00,3.00,55.50,68.50,3.50,6.50,20.50,19.50,35.50,42.00
6,48.50,49.00,26.50,12.50,70.00,28.00,40.50,7.50,55.00,10.50,45.50,19.00,24.50,66.00,50.50,27.50,19.00,18.00,24.00,11.50,37.00,45.00,16.50,44.00,40.50,73.50,32.50,27.00,55.00,20.50,35.50,17.00,11.00,32.00,8.00,67.00,82.00,3.50,10.50,23.50,21.00,46.00,49.50
7,56.00,60.50,31.00,23.50,81.00,32.50,50.50,15.50,61.50,10.50,46.00,23.50,36.00,71.00,62.50,27.50,24.00,22.00,27.00,11.50,39.50,52.00,16.50,44.00,49.50,86.00,35.00,29.50,62.50,20.50,37.50,21.50,16.00,38.00,18.00,75.00,93.00,3.50,14.50,26.50,25.50,49.00,56.00
8,63.00,72.50,35.50,34.00,96.00,39.50,58.00,25.50,67.00,10.50,53.50,28.00,45.00,75.00,73.50,27.50,38.50,25.00,30.50,16.00,41.50,58.50,16.50,44.00,53.50,99.50,38.00,29.50,69.00,20.50,42.00,27.50,19.50,44.00,25.00,80.00,103.00,3.50,20.00,35.50,32.00,51.50,60.50
9,67.00,81.50,37.00,44.50,112.50,45.00,68.00,35.50,77.00,10.50,59.50,29.00,56.00,81.00,81.00,30.50,50.50,28.50,39.50,24.00,47.00,67.50,18.50,44.00,61.50,111.50,39.00,31.50,73.50,20.50,45.00,27.50,22.50,49.00,31.50,82.00,110.50,3.50,26.50,43.00,36.50,57.50,70.00
