# YAKUTAT_AIRPORT
# Cumulative thawing degree days starting March 1 from ACIS, gaps filled from climatology
# No years excluded (all years had 10 or fewer days of missing data)
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,1.00,7.00,0.00,0.00,6.50,0.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,1.50,6.50,0.00,0.00,0.00,0.00,7.00,6.00,2.00,2.00,6.00,2.50,8.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,3.50,0.00,4.00,3.50,0.00,0.00,0.00,4.50,1.50,2.00
1,2.00,13.50,0.00,0.00,11.00,2.00,0.00,0.00,9.50,0.00,1.00,0.00,0.00,1.50,11.50,0.00,1.00,0.00,0.00,7.00,9.00,2.50,6.50,11.00,5.50,16.50,0.00,0.00,3.00,0.00,14.00,0.00,2.50,5.50,0.00,7.50,5.50,0.00,0.00,0.00,7.00,4.00,3.00
2,5.00,14.50,0.00,0.00,14.50,2.00,0.00,0.00,9.50,0.00,9.50,0.00,0.00,1.50,15.00,0.00,1.00,0.00,0.00,7.00,12.00,2.50,6.50,18.50,6.50,21.50,0.00,0.00,7.00,0.00,18.00,0.00,2.50,5.50,0.00,12.50,7.00,0.00,0.00,3.00,7.00,5.00,4.50
3,5.00,14.50,0.00,0.00,21.00,2.00,0.50,0.00,9.50,0.00,14.50,0.00,0.00,7.50,15.00,0.00,1.00,0.00,0.00,7.00,12.00,2.50,6.50,20.00,7.00,26.50,0.00,0.00,11.50,0.00,20.00,0.00,2.50,5.50,0.00,19.00,10.50,0.00,0.00,3.00,7.00,5.00,6.50
4,10.00,20.00,0.50,0.00,27.00,2.00,0.50,0.00,14.00,0.00,19.50,0.00,0.00,12.50,15.00,0.00,1.00,0.00,0.00,7.00,12.00,5.00,6.50,20.00,7.00,33.00,0.00,0.00,19.00,0.00,22.50,4.00,2.50,5.50,0.00,26.00,16.50,0.00,0.00,3.00,7.00,5.00,11.50
5,15.00,20.00,0.50,0.00,36.00,2.00,0.50,0.00,17.50,0.00,23.00,0.00,0.00,17.00,15.00,0.00,1.00,0.00,0.00,7.00,12.00,10.00,6.50,20.00,7.00,40.00,1.50,1.50,24.50,0.00,22.50,5.00,2.50,5.50,0.00,32.00,21.50,0.00,0.00,3.00,7.00,6.00,14.00
6,21.00,21.50,2.50,0.00,45.50,5.50,1.50,0.00,22.50,0.00,23.00,4.00,4.00,17.50,18.00,0.00,1.00,1.00,0.00,7.00,12.00,15.00,6.50,20.00,10.50,49.00,3.00,2.00,33.00,0.00,22.50,5.00,2.50,5.50,0.00,38.50,29.50,0.00,0.50,3.00,8.00,6.00,14.50
7,27.00,30.00,4.00,1.00,53.00,9.00,1.50,0.00,26.00,0.00,23.00,4.00,11.50,21.50,23.50,0.00,1.00,2.00,0.00,7.00,12.00,19.50,6.50,20.00,11.50,59.00,4.00,2.00,37.00,0.00,22.50,5.00,4.50,7.00,2.00,43.00,38.00,0.00,0.50,6.00,8.50,6.00,14.50
8,32.00,38.50,4.00,5.50,58.00,14.50,3.50,0.00,29.00,0.00,23.00,4.00,18.00,21.50,29.50,0.00,7.00,2.00,0.00,7.00,12.00,22.00,6.50,20.00,12.50,68.00,4.00,2.00,41.50,0.00,22.50,5.00,5.00,9.00,4.50,43.00,44.50,0.00,3.50,11.50,10.50,6.00,14.50
9,32.50,46.50,4.00,14.00,68.00,17.00,8.50,0.00,34.00,0.00,23.00,4.00,28.00,21.50,35.00,0.00,13.50,2.00,3.00,10.00,12.00,27.00,6.50,20.00,17.00,78.00,4.00,2.00,43.00,0.00,22.50,5.00,5.00,9.50,8.50,43.00,50.50,0.00,6.00,17.50,12.00,6.50,17.50
