# Cumulative DD25 averaged for Buckland River at Buckland
# Sites: NOME_AP, NENANA_MUN_AP, KOTZEBUE_AP, MCKINLEY_PARK
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0.00,5.17,0.00,0.00,0.00,0.00,0.00,0.00,2.17,0.00,0.00,0.00,0.00,2.00,0.00,2.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,2.67,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.88,0.00,0.00,1.33,0.00,0.00,0.00,0.00
1,0.00,8.67,0.00,0.00,0.00,0.00,0.00,0.00,5.83,0.00,0.00,0.00,0.00,2.50,0.00,3.88,3.17,0.00,0.00,0.00,0.12,0.00,0.00,7.83,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,1.75,0.00,0.00,1.67,0.00,0.00,0.00,0.00
2,0.00,8.67,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,2.50,0.00,0.00,2.50,0.00,6.88,5.67,0.00,0.00,0.00,0.12,0.00,0.00,7.83,3.62,0.00,0.00,0.00,0.00,0.00,1.12,0.00,0.00,0.00,0.50,0.00,1.75,0.00,0.00,1.67,0.00,0.00,0.75,0.00
3,1.33,8.67,0.00,0.00,0.38,0.00,0.00,0.00,8.83,0.00,4.17,0.00,0.00,2.50,0.00,7.75,5.67,0.00,0.00,0.00,0.62,0.38,0.00,9.67,3.62,0.00,0.00,0.00,0.00,0.00,1.12,0.00,0.00,0.00,0.50,2.62,1.75,0.00,0.00,2.83,0.00,0.00,3.38,0.00
4,4.00,8.67,0.17,0.00,2.88,1.67,0.00,0.00,8.83,0.00,4.17,0.00,0.00,2.50,0.00,7.75,5.67,0.00,0.00,0.00,2.38,1.00,0.00,9.67,3.62,0.00,0.00,0.00,2.12,0.00,1.12,0.00,0.00,1.62,0.50,5.88,1.75,0.00,0.75,4.33,0.00,0.00,3.50,1.33
5,6.50,9.67,1.33,0.67,8.88,1.67,0.00,0.00,8.83,0.00,4.17,0.00,0.00,2.50,0.00,7.75,5.67,0.00,0.00,0.00,4.62,1.75,0.00,9.67,3.62,1.00,0.00,0.00,5.62,0.00,1.50,0.00,0.00,2.50,0.50,6.38,1.75,0.00,1.50,4.67,0.00,0.00,3.50,4.33
6,8.17,9.67,3.67,0.67,14.62,1.67,0.00,0.00,9.00,0.00,4.17,0.00,0.00,2.50,0.00,7.75,5.67,0.00,0.00,0.00,5.50,2.25,0.00,9.67,3.62,3.25,0.00,0.00,11.00,0.00,1.50,0.00,0.00,3.50,0.50,7.38,1.75,0.00,1.62,5.67,0.00,0.00,4.00,7.83
7,8.17,9.67,4.83,0.67,17.25,1.67,0.00,0.17,10.17,0.00,4.17,0.00,0.00,2.50,0.00,7.75,5.67,0.00,0.50,0.00,6.12,2.25,0.00,9.83,3.62,5.00,0.00,0.00,13.75,0.00,1.50,0.00,0.00,4.75,0.50,7.38,1.75,0.00,1.62,9.17,0.00,0.12,4.12,10.00
8,8.17,11.50,4.83,0.67,23.12,1.67,0.00,1.17,11.00,0.00,4.17,0.00,1.50,2.50,0.00,7.75,5.67,0.00,0.50,0.00,6.38,3.12,0.00,11.33,3.62,7.25,0.00,0.00,14.88,0.12,1.50,0.00,0.00,6.12,0.50,7.38,1.75,0.00,1.62,16.83,0.00,0.12,4.12,12.33
9,8.17,12.67,4.83,0.67,30.62,1.67,0.00,2.83,13.17,0.00,4.17,0.00,6.25,2.50,1.33,7.75,5.67,0.00,0.50,0.00,6.38,3.88,0.00,11.33,3.62,9.38,0.00,0.00,16.38,0.62,1.50,0.00,0.00,6.62,0.50,7.38,1.75,0.00,1.62,23.50,0.00,0.12,4.12,12.33
