# Cumulative DD25 averaged for Gulkana River nr Gakona
# Sites: TALKEETNA_AP, NENANA_MUN_AP, NORTHWAY_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,4.25,0.00,0.00,2.50,0.00,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.75,0.00,4.50,2.12,0.00,0.00,0.00,0.00,0.00,1.88,0.00,0.00,0.00,1.12,0.00,1.12,0.00,0.00,0.00,0.00,0.00,1.12,0.00,0.00
1,0.75,3.25,0.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,2.25,2.50,0.00,3.75,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.75,0.00,8.50,4.88,0.00,0.00,0.00,0.38,0.00,3.75,0.00,0.00,0.00,1.88,0.12,2.38,0.00,0.00,0.00,0.00,0.00,2.25,0.00,0.00
2,2.75,4.00,0.00,0.00,3.75,0.00,0.00,0.00,7.50,0.00,7.00,2.50,0.00,3.75,0.00,0.50,0.00,0.00,0.00,0.00,3.17,0.75,0.00,12.33,7.62,0.88,0.00,0.00,1.00,0.00,5.88,0.00,0.00,0.00,1.88,2.00,2.38,0.00,0.00,0.00,0.00,0.00,4.38,0.00,0.00
3,6.00,4.00,0.00,0.00,8.75,0.00,0.00,0.00,8.75,0.00,7.00,2.50,0.00,4.50,0.00,0.50,0.00,0.00,0.00,0.00,5.17,1.00,0.00,15.17,7.62,3.38,0.00,0.00,2.62,0.00,5.88,0.00,0.00,0.00,1.88,6.25,3.38,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00
4,8.75,4.25,0.00,0.00,16.00,0.00,0.00,0.00,8.75,0.00,7.00,2.50,0.00,4.75,0.00,0.50,1.25,0.00,0.00,0.00,7.00,3.12,0.00,18.00,7.62,5.88,0.75,0.00,5.12,0.00,6.12,0.00,0.00,0.25,1.88,10.62,4.00,0.00,0.00,0.00,0.00,0.00,9.88,0.00,0.25
5,10.00,4.75,1.50,0.00,25.25,1.00,0.00,0.00,11.50,0.00,7.00,4.50,0.00,4.75,0.00,0.50,1.25,0.75,0.00,0.00,7.00,5.50,0.00,20.17,7.62,7.38,0.75,0.00,8.62,0.00,6.50,0.00,0.12,0.25,1.88,12.88,5.12,0.00,0.00,0.62,0.00,0.00,11.25,0.00,0.50
6,12.00,5.50,3.25,0.00,34.25,1.00,0.00,0.00,14.75,0.00,7.00,4.50,0.00,6.50,1.75,0.50,1.25,2.50,0.00,0.00,7.00,6.88,0.17,21.83,7.62,9.00,0.75,0.00,14.00,0.00,6.50,0.00,0.12,2.38,1.88,17.88,6.50,0.00,0.00,3.00,0.00,0.00,12.12,0.00,2.25
7,15.50,5.50,3.25,0.00,43.00,1.00,0.00,1.00,16.75,0.00,7.00,4.50,4.50,6.50,7.75,0.50,1.25,2.50,0.00,0.00,7.00,8.62,0.17,22.83,7.62,12.12,0.75,0.00,18.12,0.00,6.50,1.38,0.12,4.25,1.88,17.88,8.75,0.00,0.00,7.38,0.00,0.00,12.50,0.50,2.25
8,16.25,8.25,3.25,0.00,48.75,6.00,0.00,1.00,19.75,0.00,7.00,4.50,9.75,6.50,11.75,0.50,1.25,2.50,0.00,0.00,7.00,11.25,0.17,22.83,7.62,14.12,0.75,0.00,21.88,0.00,6.50,1.38,0.12,6.62,1.88,17.88,10.12,0.00,1.12,12.88,0.00,0.38,13.62,0.50,2.25
9,16.25,10.25,3.25,0.00,56.00,11.50,2.75,2.00,28.25,0.00,7.00,4.50,15.75,6.50,15.25,0.50,4.25,2.50,0.00,0.00,7.00,13.62,0.17,22.83,9.62,18.38,0.75,0.00,24.00,0.88,6.50,1.75,0.12,7.12,2.25,17.88,12.38,0.00,1.12,18.25,0.00,1.50,15.62,1.33,2.25
