# Cumulative DD25 averaged for Kobuk River at Ambler
# Sites: NOME_AP, NENANA_MUN_AP, KOTZEBUE_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.00,4.75,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00
1,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,6.50,2.50,0.00,0.00,0.00,0.17,0.00,0.00,2.17,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.75,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00
2,0.00,6.25,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,10.25,6.25,0.00,0.00,0.00,0.17,0.00,0.00,2.17,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.75,0.00,0.00,1.67,0.00,0.00,0.75,0.00,0.00
3,0.50,6.25,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,10.25,6.25,0.00,0.00,0.00,0.17,0.38,0.00,2.17,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.75,0.00,0.00,2.83,0.00,0.00,3.38,0.00,0.62
4,3.00,6.25,0.25,0.00,0.00,2.50,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,10.25,6.25,0.00,0.00,0.00,2.17,1.38,0.00,2.17,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,0.00,2.88,1.75,0.00,0.75,4.33,0.00,0.00,3.38,1.33,1.00
5,5.75,6.25,2.00,1.00,5.00,2.50,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,10.25,6.25,0.00,0.00,0.00,5.17,1.38,0.00,2.17,1.38,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.12,2.50,0.00,2.88,1.75,0.00,1.50,4.67,0.00,0.00,3.38,4.33,1.00
6,8.25,6.25,5.50,1.00,11.00,2.50,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,10.25,6.25,0.00,0.00,0.00,6.33,1.38,0.00,2.17,1.38,1.25,0.00,0.00,3.25,0.00,0.00,0.00,0.12,3.50,0.00,3.88,1.75,0.00,1.62,5.67,0.00,0.00,3.88,7.83,1.00
7,8.25,6.25,7.25,1.00,11.75,2.50,0.00,0.25,1.50,0.00,0.00,0.00,0.00,0.00,0.00,10.25,6.25,0.00,0.50,0.00,7.17,1.38,0.00,2.33,1.38,1.25,0.00,0.00,4.50,0.00,0.00,0.00,0.12,4.75,0.00,3.88,1.75,0.00,1.62,9.17,0.00,0.12,4.00,7.83,1.00
8,8.25,6.25,7.25,1.00,17.75,2.50,0.00,1.75,1.50,0.00,0.00,0.00,0.00,0.00,0.00,10.25,6.25,0.00,0.50,0.00,7.50,1.38,0.00,3.83,1.38,1.25,0.00,0.00,4.75,0.12,0.00,0.00,0.12,4.75,0.00,3.88,1.75,0.00,1.62,14.50,0.00,0.12,4.00,7.83,1.00
9,8.25,6.25,7.25,1.00,24.75,2.50,0.00,4.00,1.50,0.00,0.00,0.00,0.25,0.00,0.00,10.25,6.25,0.00,0.50,0.00,7.50,1.38,0.00,3.83,1.38,1.38,0.00,0.00,4.75,0.62,0.00,0.00,0.12,4.75,0.00,3.88,1.75,0.00,1.62,19.17,0.00,0.12,4.00,7.83,1.00
10,8.25,6.25,7.25,1.00,28.25,2.50,0.00,5.75,1.50,0.00,0.00,0.00,0.25,0.00,0.00,10.25,6.25,0.00,0.50,0.00,7.50,1.38,0.00,3.83,2.50,1.38,0.00,0.00,4.75,0.62,0.00,0.00,0.12,4.75,0.00,3.88,1.75,0.00,1.62,19.67,0.00,0.12,4.25,7.83,1.00
11,8.25,6.25,7.25,1.00,28.50,2.50,0.00,5.75,1.50,0.00,0.00,0.00,0.25,0.00,0.00,10.25,6.25,0.00,1.17,0.00,7.50,1.38,0.00,3.83,3.38,2.38,0.00,0.00,4.75,0.62,0.00,0.00,0.12,4.75,0.00,3.88,1.75,0.00,1.62,21.17,0.00,0.12,4.25,7.83,1.00
12,8.25,6.25,7.25,1.00,33.50,2.50,0.00,5.75,1.50,0.00,0.00,0.00,0.25,0.00,0.00,10.25,6.25,0.00,2.67,0.00,7.50,1.38,0.00,3.83,3.38,3.12,0.00,0.00,4.75,0.62,0.00,0.00,0.12,4.75,1.50,3.88,1.75,0.00,1.62,21.50,0.00,0.12,4.25,7.83,1.00
13,8.25,6.25,7.25,1.00,34.00,2.50,0.00,5.75,1.50,0.00,0.00,0.00,0.25,0.00,0.00,10.25,6.25,0.00,3.67,0.00,7.50,1.38,0.00,3.83,3.38,5.88,0.00,0.00,4.75,0.62,0.00,0.00,0.12,4.75,3.12,3.88,1.75,0.00,2.12,21.50,1.38,0.12,4.25,7.83,1.00
