# Cumulative DD25 averaged for Kuskokwim River at Aniak
# Sites: MCGRATH_AP, CHICKEN, BETHEL_AP, MCKINLEY_PARK
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.00,8.33,0.00,0.00,0.00,0.00,0.00,0.00,3.50,0.83,0.00,0.00,0.00,2.00,0.00,4.33,7.50,0.00,0.00,0.00,0.25,0.00,0.25,6.50,2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,1.88,0.00,0.00,2.12,0.00,0.00,0.00,0.00,0.00
1,0.00,11.50,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.83,0.00,0.00,0.00,2.50,0.00,6.83,11.17,0.00,0.00,0.00,0.25,0.00,0.25,15.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.12,2.38,3.62,0.00,1.12,3.00,0.00,0.00,0.12,0.00,0.00
2,2.83,11.50,0.00,0.00,0.00,0.83,0.00,0.00,8.83,0.83,2.50,0.67,0.00,2.50,0.00,8.67,15.00,0.00,0.00,0.00,0.25,0.00,0.25,20.00,8.25,0.00,0.00,0.00,0.00,0.00,1.12,0.00,0.00,0.00,2.12,5.00,3.88,0.00,1.12,3.38,0.00,0.00,1.75,0.00,0.00
3,6.00,11.50,0.33,0.00,0.50,3.83,0.00,0.00,10.00,0.83,4.17,0.67,0.00,2.50,0.00,8.67,18.33,0.00,0.00,0.00,2.12,2.00,0.25,21.38,8.62,0.00,0.00,0.00,1.38,0.50,1.12,0.00,0.00,1.38,2.12,8.88,3.88,0.00,2.25,6.25,0.00,0.00,5.75,0.00,0.38
4,8.50,11.50,1.50,0.00,7.17,6.00,0.00,0.00,10.00,0.83,4.17,0.67,0.00,2.50,0.00,8.67,19.50,0.00,2.00,0.00,4.62,3.38,0.25,21.38,8.62,0.00,0.00,0.00,7.62,1.88,1.12,0.00,0.00,3.38,2.12,12.12,3.88,0.00,3.62,7.88,0.00,0.00,5.88,2.38,0.50
5,10.50,13.33,3.17,0.67,18.00,6.00,0.00,0.00,10.00,0.83,4.17,4.67,0.00,2.50,0.00,8.67,19.67,0.00,3.75,0.00,7.12,6.00,0.25,21.38,8.62,2.00,0.00,0.00,11.88,1.88,1.50,0.00,0.00,4.62,2.12,14.38,3.88,0.00,6.12,9.00,0.00,0.00,5.88,5.62,0.50
6,12.67,13.33,6.33,0.67,26.17,6.00,0.00,0.00,10.17,1.17,4.17,5.33,0.00,2.50,0.00,8.67,20.83,0.00,6.00,0.00,9.38,6.50,0.25,21.38,8.62,3.38,0.00,0.00,15.25,1.88,1.50,0.00,0.00,8.62,2.12,15.00,3.88,0.00,7.62,11.12,0.00,1.75,6.50,8.38,0.50
7,14.67,13.33,9.50,0.67,33.50,7.83,0.00,2.33,11.33,1.83,4.17,5.33,0.00,2.50,0.00,8.67,21.67,0.00,7.88,0.00,12.00,7.38,0.25,21.50,8.62,5.12,0.00,0.00,20.38,4.25,1.50,0.00,0.00,12.00,2.12,15.00,3.88,0.00,7.62,14.25,0.00,2.00,10.12,12.25,0.50
8,15.33,16.33,12.67,0.67,44.67,9.67,0.00,5.83,12.17,3.50,4.17,5.33,2.00,2.50,0.00,8.67,21.67,0.00,8.12,0.00,14.12,8.62,0.25,21.50,8.62,8.75,0.00,0.00,21.25,6.00,1.50,0.00,0.00,13.62,2.12,15.00,3.88,0.00,7.62,19.38,0.00,2.00,13.00,14.00,0.50
9,15.33,17.67,13.33,0.67,52.50,11.00,0.00,8.00,19.67,3.50,4.17,5.33,7.67,2.50,3.67,8.67,21.67,0.00,8.12,0.00,14.12,9.38,0.25,21.50,9.25,10.75,0.00,0.00,22.75,7.38,1.50,0.00,0.00,14.12,2.12,15.00,3.88,0.00,7.62,25.00,0.00,2.00,14.00,14.00,0.50
10,15.33,19.33,13.33,0.67,54.33,13.00,0.00,8.00,27.67,3.50,4.17,6.17,10.50,2.50,6.83,8.67,21.67,0.00,8.12,0.00,14.12,10.25,0.25,21.50,11.50,15.00,0.00,0.00,23.25,7.38,1.50,0.00,0.00,14.12,2.12,15.00,3.88,0.00,7.62,29.88,0.00,2.00,14.00,14.00,0.50
11,15.33,26.17,13.33,0.67,59.50,14.00,0.00,8.00,32.50,3.50,4.17,7.67,11.50,2.50,7.17,8.67,22.33,0.00,9.00,0.00,15.00,12.88,0.25,21.50,11.50,20.12,0.00,0.00,23.25,7.38,1.50,0.00,0.00,14.12,3.00,15.00,4.12,0.00,7.62,33.25,0.00,2.00,14.00,14.00,0.50
