# Cumulative DD25 averaged for Kuskokwim River at Bethel
# Sites: MCGRATH_AP, CHICKEN, BETHEL_AP, NENANA_MUN_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.00,9.50,0.00,0.00,0.00,0.00,0.00,0.00,2.75,1.25,0.00,0.00,0.00,0.00,0.00,4.33,9.00,0.00,0.00,0.00,0.25,0.00,0.25,6.00,2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.88,0.00,0.00,2.12,0.00,0.00,0.00,0.00,0.00
1,0.00,10.50,0.00,0.00,0.00,0.00,0.00,0.00,2.75,1.25,0.00,0.00,0.00,0.00,0.00,7.67,14.50,0.00,0.00,0.00,0.25,0.00,0.25,15.50,5.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,2.38,3.62,0.00,1.12,3.00,0.00,0.00,0.12,0.00,0.00
2,4.25,10.50,0.00,0.00,0.00,1.25,0.00,0.00,2.75,1.25,0.00,1.00,0.00,0.00,0.00,11.00,20.25,0.00,0.00,0.00,0.25,0.00,0.25,21.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,5.00,3.88,0.00,1.12,3.38,0.00,0.00,2.50,0.00,0.00
3,7.50,10.50,0.50,0.00,0.00,5.75,0.00,0.00,3.25,1.25,0.00,1.00,0.00,0.00,0.00,12.17,25.25,0.00,0.00,0.00,1.62,2.00,0.25,21.00,6.38,0.00,0.00,0.00,1.38,0.50,0.00,0.00,0.00,1.38,1.62,9.25,3.88,0.00,2.25,6.25,0.00,0.00,8.00,0.00,0.38
4,9.75,10.50,2.25,0.00,3.33,9.00,0.00,0.00,3.25,1.25,0.00,1.00,0.00,0.00,0.00,12.17,27.00,0.00,2.67,0.00,3.88,3.38,0.25,21.00,6.38,0.00,0.00,0.00,5.50,1.88,0.00,0.00,0.00,3.38,1.62,12.00,3.88,0.00,3.62,7.88,0.00,0.00,8.00,3.17,0.50
5,11.75,11.75,4.75,1.00,10.17,9.00,0.00,0.00,3.25,1.25,0.00,7.00,0.00,0.00,0.00,12.17,27.25,0.00,5.00,0.00,6.38,5.25,0.25,21.00,6.38,1.00,0.00,0.00,7.12,1.88,0.00,0.00,0.00,4.62,1.62,13.75,3.88,0.00,6.12,9.00,0.00,0.00,8.00,7.50,0.50
6,15.00,11.75,9.50,1.00,14.67,9.00,0.00,0.00,3.25,1.75,0.00,8.00,0.00,0.00,0.00,12.17,29.00,0.00,8.00,0.00,8.62,5.25,0.25,21.00,6.38,1.38,0.00,0.00,9.62,1.88,0.00,0.00,0.00,8.62,1.62,15.38,3.88,0.00,7.62,11.88,0.00,1.75,8.62,11.17,0.50
7,18.00,11.75,14.25,1.00,19.00,11.75,0.00,3.50,3.25,2.75,0.00,8.00,0.00,0.00,0.00,12.17,30.25,0.00,10.50,0.00,11.25,6.12,0.25,21.17,6.38,1.38,0.00,0.00,12.00,4.25,0.00,0.00,0.00,12.00,1.62,15.38,3.88,0.00,7.62,17.25,0.00,2.00,12.38,14.17,0.50
8,19.00,13.50,19.00,1.00,26.33,14.50,0.00,8.75,3.25,5.25,0.00,8.00,0.00,0.00,0.00,12.17,30.25,0.00,10.83,0.00,13.38,6.50,0.25,21.17,6.38,2.75,0.00,0.00,12.25,6.00,0.00,0.00,0.00,12.25,1.62,15.38,3.88,0.00,7.62,23.75,0.00,2.00,15.25,14.17,0.50
9,19.00,13.75,20.00,1.00,28.83,16.50,0.00,11.75,11.25,5.25,0.00,8.00,6.17,0.00,3.50,12.17,30.25,0.00,10.83,0.00,13.38,6.50,0.25,21.17,7.00,2.88,0.00,0.00,12.25,7.38,0.00,0.00,0.00,12.25,1.62,15.38,3.88,0.00,7.62,30.38,0.00,2.00,16.25,14.17,0.50
10,19.00,13.75,20.00,1.00,30.67,16.50,0.00,11.75,19.25,5.25,0.00,9.25,7.83,0.00,7.25,12.17,30.25,0.00,10.83,0.00,13.38,6.88,0.25,21.17,9.25,4.38,0.00,0.00,12.75,7.38,0.00,0.00,0.00,12.25,1.62,15.38,3.88,0.00,7.62,33.88,0.00,2.00,16.25,14.17,0.50
11,19.00,19.25,20.00,1.00,33.50,18.00,0.00,11.75,24.50,5.25,0.00,11.50,9.00,0.00,7.25,12.17,31.25,0.00,12.00,0.00,14.25,6.88,0.25,21.17,9.25,7.62,0.00,0.00,12.75,7.38,0.00,0.00,0.00,12.25,1.62,15.38,3.88,0.00,7.62,37.50,0.00,2.00,16.25,14.17,0.50
12,19.00,27.00,20.00,1.00,36.17,18.00,0.00,11.75,24.50,5.25,0.00,11.50,9.00,0.00,7.25,12.17,36.75,0.00,15.17,0.00,14.25,6.88,0.25,21.17,10.00,12.88,0.00,0.00,12.75,7.38,0.00,0.00,0.00,12.25,5.62,15.38,3.88,0.00,7.62,40.25,0.00,2.00,16.25,14.17,0.50
13,19.00,35.75,20.00,1.00,38.33,18.00,0.50,11.75,24.50,5.25,0.00,11.50,9.50,0.00,7.25,12.17,44.25,0.00,16.83,0.38,15.12,7.62,1.25,21.17,10.00,20.12,0.00,0.00,12.75,7.38,0.00,0.00,0.00,12.25,7.25,15.38,3.88,0.00,8.12,40.38,0.75,2.00,16.25,14.17,0.50
14,19.00,43.00,20.00,1.00,40.33,18.00,3.00,12.50,24.50,5.25,0.50,11.50,10.67,0.00,7.25,12.17,44.25,0.00,19.17,0.38,15.12,7.62,3.75,21.17,10.88,23.88,0.00,0.00,12.75,7.38,0.00,0.00,0.00,12.25,7.25,15.38,3.88,0.00,8.62,41.38,2.38,2.00,16.25,14.17,0.50
15,19.00,50.75,20.00,1.00,42.67,18.00,8.50,12.50,24.50,5.25,1.00,11.50,13.33,1.25,7.25,12.17,44.25,0.00,26.33,0.38,15.88,7.62,7.00,21.17,10.88,25.12,0.00,0.00,12.75,7.38,0.00,0.00,0.00,12.25,7.25,15.38,3.88,0.00,8.62,47.62,4.00,2.00,16.25,14.17,0.50
16,19.00,61.25,22.25,3.00,43.67,18.00,14.25,12.50,24.50,5.25,1.00,11.50,14.33,5.00,7.25,12.17,44.25,0.00,36.67,0.38,16.88,7.62,11.25,21.17,10.88,26.50,0.00,0.00,12.75,7.38,0.00,0.00,0.00,12.38,8.12,15.88,3.88,0.00,11.25,52.88,6.75,2.00,16.25,14.17,0.50
17,19.00,75.50,32.50,4.25,43.67,18.00,15.75,12.50,24.50,5.25,1.00,11.50,16.17,10.75,7.25,12.17,44.25,0.00,44.83,0.38,17.12,7.62,14.12,21.17,10.88,28.00,0.00,0.00,12.75,7.38,0.00,0.00,0.00,12.38,8.12,19.62,3.88,0.00,15.50,56.38,9.50,2.00,16.25,14.17,0.50
