# Cumulative DD25 averaged for Kuskokwim River at Red Devil
# Sites: MCGRATH_AP, NORTHWAY_AP, BETHEL_AP, NENANA_MUN_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.00,6.33,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.83,0.00,0.00,0.00,0.00,0.00,3.25,6.00,0.00,0.00,0.00,0.25,0.00,0.25,6.00,2.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.88,0.00,0.00,2.12,0.00,0.00,0.25,0.00,0.00
1,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,1.83,0.83,0.00,0.00,0.00,0.00,0.00,5.75,9.67,0.00,0.00,0.00,0.25,0.00,0.25,15.50,5.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,2.38,3.62,0.00,1.12,3.00,0.00,0.00,0.38,0.00,0.00
2,2.83,7.00,0.00,0.00,0.00,1.25,0.00,0.00,1.83,0.83,0.00,0.67,0.00,0.00,0.00,8.50,13.50,0.00,0.00,0.00,0.25,0.00,0.25,21.33,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,5.00,3.88,0.00,1.12,3.38,0.00,0.00,2.75,0.00,0.00
3,5.00,7.00,0.33,0.00,0.00,5.75,0.00,0.00,2.17,0.83,0.00,0.67,0.00,0.00,0.00,9.38,16.83,0.00,0.00,0.00,1.62,2.00,0.25,21.33,6.38,0.00,0.00,0.00,1.38,0.50,0.00,0.00,0.00,1.38,1.62,9.25,3.88,0.00,2.25,6.25,0.00,0.00,8.25,0.00,0.38
4,6.50,7.00,1.50,0.00,2.50,9.00,0.00,0.00,2.17,0.83,0.00,0.67,0.00,0.00,0.00,9.38,18.00,0.00,2.67,0.00,3.88,3.38,0.25,21.33,6.38,0.00,0.00,0.00,5.50,1.88,0.00,0.00,0.00,3.38,1.62,12.00,3.88,0.00,3.62,7.88,0.00,0.00,8.25,3.17,0.50
5,7.83,7.83,3.17,0.67,8.88,9.00,0.00,0.00,2.17,0.83,0.00,4.67,0.00,0.00,0.00,9.38,18.17,0.00,5.00,0.00,6.38,5.25,0.25,21.33,6.38,1.00,0.00,0.00,7.12,1.88,0.00,0.00,0.00,4.62,1.62,13.75,3.88,0.00,6.12,9.00,0.00,0.00,8.25,7.50,0.50
6,10.00,7.83,6.33,0.67,13.50,9.00,0.00,0.00,2.17,1.17,0.00,5.33,0.00,0.00,0.00,9.38,19.33,0.00,8.00,0.00,8.62,5.25,0.25,21.33,6.38,1.38,0.00,0.00,9.62,1.88,0.00,0.00,0.00,8.62,1.62,17.12,3.88,0.00,7.62,11.88,0.00,1.75,8.88,11.17,0.50
7,12.00,7.83,9.50,0.67,16.75,11.75,0.00,2.33,2.17,1.83,0.00,5.33,0.00,0.00,0.00,9.38,20.17,0.00,10.50,0.00,11.25,6.12,0.25,21.50,6.38,1.38,0.00,0.00,10.75,4.25,0.00,0.00,0.00,12.00,1.62,17.12,3.88,0.00,7.62,17.25,0.00,2.00,12.62,14.17,0.50
8,12.67,9.00,12.67,0.67,22.25,14.50,0.00,5.83,2.17,3.50,0.00,5.33,0.00,0.00,0.00,9.38,20.17,0.00,10.83,0.00,13.38,6.62,0.25,21.50,6.38,2.75,0.00,0.00,11.00,6.00,0.00,0.00,0.00,12.25,1.62,17.12,3.88,0.00,7.62,23.75,0.00,2.00,15.50,14.17,0.50
9,12.67,9.17,13.33,0.67,24.12,16.50,0.00,7.83,8.17,3.50,0.00,5.33,4.62,0.00,2.33,9.38,20.17,0.00,10.83,0.00,13.38,6.62,0.25,21.50,7.00,2.88,0.00,0.00,11.00,7.38,0.00,0.00,0.00,12.25,1.62,17.12,3.88,0.00,7.62,30.38,0.00,2.00,16.50,14.17,0.50
10,12.67,9.17,13.33,0.67,25.50,16.50,0.00,7.83,14.17,3.50,0.00,6.17,5.88,0.00,4.83,9.38,20.17,0.00,10.83,0.00,13.38,7.00,0.25,21.50,9.25,4.38,0.00,0.00,11.50,7.38,0.00,0.00,0.00,12.25,1.62,17.12,3.88,0.00,7.62,33.88,0.00,2.00,16.50,14.17,0.50
11,12.67,12.83,13.33,0.67,27.62,18.00,0.00,7.83,17.67,3.50,0.00,7.67,7.88,0.00,4.83,9.38,20.83,0.00,12.00,0.00,14.25,7.25,0.25,21.50,9.25,7.62,0.00,0.00,11.50,7.38,0.00,0.00,0.00,12.25,1.62,17.12,3.88,0.00,7.62,37.50,0.00,2.00,16.50,14.17,0.50
12,12.67,18.00,13.33,0.67,29.62,18.00,0.00,7.83,17.67,3.50,0.00,7.67,9.50,0.00,4.83,9.38,24.50,0.00,15.17,0.00,14.25,7.25,0.25,21.50,10.00,14.25,0.00,0.00,11.50,7.38,0.00,0.00,0.00,12.25,5.62,17.12,3.88,0.00,7.62,40.25,0.00,2.00,16.50,14.17,0.50
13,12.67,23.83,13.33,0.67,31.25,18.00,0.33,7.83,17.67,3.50,0.00,7.67,9.88,0.00,4.83,9.38,29.50,0.00,16.83,0.38,15.12,8.00,1.25,21.50,10.00,19.88,0.00,0.00,11.50,7.38,0.00,0.00,0.00,12.25,7.25,17.12,3.88,0.00,8.12,40.38,0.75,2.00,16.50,14.17,0.50
14,12.67,28.67,13.33,0.67,32.75,18.00,2.00,8.33,17.67,3.50,0.33,7.67,10.75,0.00,4.83,9.38,29.50,0.00,19.17,0.38,15.12,8.00,3.75,21.50,10.88,23.62,0.00,0.00,11.50,7.38,0.00,0.00,0.00,12.25,7.25,17.12,3.88,0.00,8.12,41.38,2.38,2.00,16.50,14.17,0.50
15,12.67,33.83,13.33,0.67,34.50,18.00,5.83,8.33,17.67,3.50,0.67,7.67,12.75,0.83,4.83,9.38,29.50,0.00,26.33,0.38,15.88,8.00,7.00,21.50,10.88,24.88,0.00,0.00,11.50,7.38,0.00,0.00,0.00,12.25,7.25,17.12,3.88,0.00,8.12,47.62,4.00,2.00,16.50,14.17,0.50
