# Cumulative DD25 averaged for Kuskokwim River at Tuluksak
# Sites: NOME_AP, NENANA_MUN_AP, BETHEL_AP, MCGRATH_AP
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.00,7.67,0.00,0.00,0.00,0.00,0.00,0.00,2.33,0.83,0.00,0.00,0.00,0.00,0.00,7.00,6.17,0.00,0.00,0.00,0.33,0.00,0.33,6.00,3.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.75,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00
1,0.00,9.33,0.00,0.00,0.00,0.00,0.00,0.00,2.83,0.83,0.00,0.00,0.00,0.00,0.00,11.17,11.33,0.00,0.00,0.00,0.50,0.00,0.33,17.67,6.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,2.38,5.38,0.00,1.12,4.25,0.00,0.00,0.12,0.00,0.00
2,2.83,9.33,0.00,0.00,0.00,0.83,0.00,0.00,2.83,0.83,0.00,0.67,0.00,0.00,0.00,14.50,17.00,0.00,0.00,0.00,0.50,0.00,0.33,23.17,7.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,5.00,5.62,0.00,1.12,4.62,0.00,0.00,2.50,0.00,0.00
3,5.33,9.33,0.33,0.00,0.00,3.83,0.00,0.00,3.17,0.83,0.00,0.67,0.00,0.00,0.00,14.50,20.33,0.00,0.00,0.00,2.33,2.38,0.33,23.17,7.75,0.00,0.00,0.00,1.38,0.50,0.00,0.00,0.00,1.38,1.62,9.25,5.62,0.00,2.25,8.38,0.00,0.00,8.88,0.00,1.00
4,8.50,9.33,1.67,0.00,3.33,7.67,0.00,0.00,3.17,0.83,0.00,0.67,0.00,0.00,0.00,14.50,21.50,0.00,2.67,0.00,7.33,4.75,0.33,23.17,7.75,0.00,0.00,0.00,5.50,1.88,0.00,0.00,0.00,4.88,1.62,12.00,5.62,0.00,4.38,11.12,0.00,0.00,8.88,4.50,1.50
5,11.67,10.17,4.50,1.33,13.17,7.67,0.00,0.00,3.17,0.83,0.00,4.67,0.00,0.00,0.00,14.50,21.67,0.00,5.00,0.00,13.00,6.62,0.33,23.17,7.75,1.00,0.00,0.00,7.25,1.88,0.00,0.00,0.12,7.00,1.62,13.75,5.62,0.00,7.62,12.50,0.00,0.00,8.88,11.33,1.50
6,15.50,10.17,10.00,1.33,21.67,7.67,0.00,0.00,3.17,1.17,0.00,5.33,0.00,0.00,0.00,14.50,22.83,0.00,8.00,0.00,17.17,6.62,0.33,23.17,7.75,2.62,0.00,0.00,10.75,1.88,0.00,0.00,0.12,12.00,1.62,15.38,5.62,0.00,9.25,15.38,0.00,1.75,10.00,16.83,1.50
7,17.50,10.17,14.33,1.33,26.50,9.50,0.00,2.50,3.17,1.83,0.00,5.33,0.00,0.00,0.00,14.50,23.67,0.00,11.00,0.00,21.50,7.50,0.33,23.50,7.75,2.62,0.00,0.00,11.88,4.25,0.00,0.00,0.12,16.25,1.62,15.38,5.62,0.00,9.25,21.12,0.00,2.00,13.75,19.83,1.50
8,18.17,11.33,17.50,1.33,37.83,11.33,0.00,7.00,3.17,3.50,0.00,5.33,0.00,0.00,0.00,14.50,23.67,0.00,11.33,0.00,24.67,7.88,0.33,25.00,7.75,4.00,0.00,0.00,12.12,6.12,0.00,0.00,0.12,16.50,1.62,15.38,5.62,0.00,9.25,28.50,0.00,2.00,16.62,19.83,1.50
9,18.17,11.50,18.17,1.33,44.33,12.67,0.00,10.50,8.50,3.50,0.00,5.33,3.00,0.00,2.33,14.50,23.67,0.00,11.33,0.00,24.67,7.88,0.33,25.00,8.38,4.12,0.00,0.00,12.12,8.00,0.00,0.00,0.12,16.50,1.62,15.38,5.62,0.00,9.25,36.12,0.00,2.00,17.62,19.83,1.50
10,18.17,11.50,18.17,1.33,48.33,12.67,0.00,11.67,13.83,3.50,0.00,6.17,3.00,0.00,4.83,14.50,23.67,0.00,11.33,0.00,24.67,8.25,0.33,25.00,11.75,5.62,0.00,0.00,12.62,8.00,0.00,0.00,0.12,16.50,1.62,15.38,5.62,0.00,9.25,39.62,0.00,2.00,17.88,19.83,1.50
11,18.17,15.17,18.17,1.33,51.33,13.67,0.00,11.67,17.33,3.50,0.00,7.67,3.00,0.00,4.83,14.50,24.33,0.00,13.17,0.00,25.83,8.25,0.33,25.00,12.62,9.88,0.00,0.00,12.62,8.00,0.00,0.00,0.12,16.50,1.62,15.38,5.62,0.00,9.25,43.25,0.00,2.00,17.88,19.83,1.50
12,18.17,20.33,18.17,1.33,57.33,13.67,0.00,11.67,17.33,3.50,0.00,7.67,3.00,0.00,4.83,14.50,28.00,0.00,17.83,0.00,25.83,8.25,0.33,25.00,13.38,14.50,0.00,0.00,12.62,8.00,0.00,0.00,0.12,16.50,5.62,15.38,5.62,0.00,9.25,46.25,0.00,2.00,17.88,19.83,1.50
13,18.17,26.17,18.17,1.33,59.83,13.67,0.33,11.67,17.33,3.50,0.00,7.67,3.00,0.00,4.83,14.50,33.00,0.00,20.50,0.00,26.33,9.00,1.67,25.00,13.38,20.25,0.00,0.00,12.62,8.00,0.00,0.00,0.12,16.50,7.25,15.38,5.62,0.00,9.75,46.38,2.12,2.00,17.88,19.83,1.50
14,18.17,32.50,18.17,1.33,61.83,13.67,2.00,12.17,17.33,3.50,0.33,7.67,4.00,0.00,4.83,14.50,33.00,0.00,22.83,0.00,26.33,9.00,5.67,25.00,14.25,24.62,0.00,0.00,12.62,8.00,0.00,0.00,0.12,16.50,7.25,15.38,5.62,0.00,9.75,47.38,4.12,2.00,17.88,19.83,1.50
15,18.17,40.83,18.17,1.33,64.17,13.67,7.67,12.17,17.33,3.50,2.33,7.67,6.67,0.83,4.83,14.50,33.00,0.00,30.00,0.00,27.33,9.00,11.67,25.00,14.25,26.00,0.00,0.00,12.62,8.00,0.00,0.00,0.12,16.50,7.25,15.38,5.62,0.00,9.75,53.62,6.12,2.00,17.88,19.83,1.50
16,18.17,50.33,19.67,5.67,66.00,13.67,11.50,12.17,17.33,3.50,3.00,7.67,7.67,3.33,4.83,14.50,33.00,0.00,41.17,0.00,30.00,9.00,19.33,25.00,14.25,27.50,0.00,0.00,12.62,8.00,0.00,0.00,0.12,16.62,8.12,15.88,5.62,0.00,12.38,58.88,9.62,2.00,17.88,19.83,1.50
17,18.17,62.00,26.50,6.83,66.00,13.67,12.50,12.17,17.33,3.50,3.00,7.67,9.50,7.17,4.83,14.50,33.00,0.00,52.33,0.00,30.33,9.00,23.50,25.00,14.25,29.25,0.00,0.00,12.62,8.00,0.00,0.00,0.12,16.62,8.12,19.62,5.62,0.00,16.12,62.12,13.00,2.00,17.88,19.83,1.50
18,19.33,70.50,33.83,8.00,66.00,16.17,12.50,12.17,17.33,3.50,3.50,7.67,15.00,14.00,4.83,14.50,33.00,0.00,65.17,0.83,31.33,9.00,28.00,25.00,14.25,30.38,0.00,0.00,12.62,8.00,1.12,3.00,0.12,16.62,8.12,22.12,5.62,0.00,17.88,62.62,19.12,2.00,17.88,19.83,3.62
19,22.67,78.83,40.00,10.17,66.00,16.17,12.50,12.17,17.33,3.50,3.50,7.67,16.50,19.00,4.83,14.50,33.50,0.00,78.33,1.83,34.17,9.00,31.83,25.00,14.25,30.38,0.00,0.00,12.62,8.00,1.12,7.38,0.12,16.62,8.12,27.50,5.62,0.00,18.25,62.62,26.62,2.00,17.88,21.00,8.25
20,29.00,85.17,47.17,13.00,66.00,16.17,12.50,14.00,17.33,3.50,3.50,7.67,16.50,21.50,4.83,14.50,37.33,0.00,84.50,1.83,35.83,9.00,36.83,25.00,14.25,30.38,0.00,0.00,12.62,8.00,1.12,12.50,0.12,16.62,8.12,27.88,5.62,0.00,18.75,67.75,29.38,2.00,17.88,22.00,16.88
21,31.83,86.17,47.17,16.83,66.00,16.17,12.50,23.00,17.33,3.50,5.00,9.50,16.50,21.50,4.83,14.50,40.67,0.00,88.17,6.00,39.83,9.00,37.83,25.00,14.25,30.38,0.00,0.00,12.62,8.00,1.12,15.62,0.12,16.62,8.12,27.88,7.75,0.00,18.75,79.12,29.50,2.00,17.88,22.00,22.62
22,34.67,86.17,47.17,18.33,66.00,16.17,12.50,28.67,17.33,3.50,8.67,15.33,21.83,21.50,4.83,14.50,43.50,0.00,93.00,7.50,43.17,9.00,39.33,25.00,14.25,30.38,0.00,0.00,12.62,8.00,1.12,17.00,0.12,16.62,9.88,28.88,9.62,0.00,18.75,89.25,34.25,2.00,17.88,22.00,27.38
23,41.33,87.50,47.17,19.17,66.00,16.17,12.50,36.17,17.33,5.17,9.67,23.17,28.33,21.50,6.83,14.50,45.83,0.00,100.50,13.83,43.17,9.00,43.83,25.00,14.25,31.00,0.00,0.00,12.62,8.00,1.12,19.00,0.12,16.62,11.75,30.88,11.62,0.00,18.75,100.38,43.25,3.38,17.88,22.00,37.88
24,46.50,88.67,47.17,19.17,66.00,16.17,12.50,42.83,17.33,6.17,12.67,28.33,30.17,21.50,6.83,14.50,54.00,0.00,103.50,24.50,43.17,9.00,48.00,25.00,14.25,32.12,0.00,0.00,12.62,8.00,1.62,19.00,0.12,16.62,13.38,34.00,18.12,0.00,19.00,113.00,52.00,4.62,18.50,22.00,44.62
25,47.33,91.17,47.17,19.17,66.00,16.17,12.50,46.50,17.33,6.83,20.33,32.00,30.17,22.50,6.83,14.50,58.33,0.00,103.67,26.00,43.17,9.00,49.50,25.00,14.25,32.12,0.00,0.00,12.62,8.88,1.62,19.00,0.12,16.62,14.88,38.75,22.00,0.00,21.25,123.25,52.88,4.62,18.50,27.83,50.38
26,48.33,97.17,47.17,19.17,66.17,16.17,12.50,52.83,17.33,6.83,30.83,34.67,30.17,29.00,8.17,14.50,60.33,0.00,103.67,26.00,43.17,9.00,49.83,25.00,14.25,32.12,0.00,0.00,12.62,8.88,1.62,19.00,1.25,16.62,14.88,48.50,25.00,0.00,23.25,129.62,54.12,4.62,19.88,29.67,52.88
27,51.00,103.33,48.67,19.17,71.67,16.17,12.50,58.00,17.33,6.83,39.83,35.67,30.17,36.33,17.00,16.17,65.17,0.00,103.83,26.00,43.17,9.00,49.83,25.00,14.25,32.12,0.00,0.00,12.62,8.88,1.62,19.00,2.38,17.12,14.88,55.62,28.12,0.00,23.50,137.00,54.12,4.62,23.00,29.67,55.62
28,53.17,111.50,48.67,19.17,76.83,16.17,12.50,65.83,17.33,6.83,46.50,35.67,30.17,45.83,22.50,19.50,70.00,0.00,103.83,26.00,43.17,9.00,49.83,25.00,14.25,32.12,0.00,0.00,12.62,9.38,1.62,20.88,3.25,18.25,14.88,60.62,31.88,0.00,23.50,145.00,54.12,10.50,25.88,31.50,60.25
29,62.50,117.00,48.67,19.17,79.33,16.17,12.50,72.50,17.33,6.83,50.33,35.67,30.17,53.67,26.83,26.50,72.83,0.00,103.83,26.00,43.33,9.00,49.83,25.00,14.25,32.12,1.75,0.25,16.00,9.38,1.62,20.88,3.25,20.38,14.88,65.00,34.75,0.00,24.12,153.75,54.12,12.50,30.50,33.67,65.75
30,71.67,121.33,48.67,19.17,82.83,16.17,12.50,78.33,18.00,6.83,52.83,35.67,30.17,66.17,32.83,29.83,75.83,0.00,105.50,26.00,43.33,9.00,49.83,25.00,14.25,32.12,4.88,2.12,25.62,9.38,2.25,20.88,3.25,22.50,14.88,67.88,39.75,1.00,26.12,163.75,54.12,12.50,34.12,33.67,69.62
