# Cumulative DD25 averaged for Susitna River at Sunshine
# Sites: TALKEETNA_AP, BIG_DELTA_AP, CHICKEN, NORTH_POLE
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00,5.33,0.00,0.00,2.50,0.00,1.75,0.00,0.00,0.83,0.00,0.00,0.00,0.25,0.75,0.00,4.12,2.12,0.00,0.00,0.00,0.00,0.00,1.88,0.00,0.00,0.00,1.12,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00
1,0.50,6.83,0.00,0.00,0.00,0.00,0.00,0.00,11.50,0.00,2.25,2.50,0.00,3.75,0.00,1.83,3.67,0.00,0.00,0.00,0.25,0.75,0.00,9.75,4.88,0.00,0.00,0.00,0.50,0.00,3.75,0.00,0.00,0.00,1.88,0.12,2.38,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00
2,1.83,8.17,0.00,0.00,2.50,0.00,0.00,0.00,16.67,0.00,8.50,2.50,0.00,3.75,0.00,2.67,3.67,0.00,0.00,0.00,2.50,0.75,0.00,16.38,7.62,0.88,0.00,0.00,1.33,0.00,6.62,0.00,0.00,0.00,1.88,2.25,2.38,0.00,0.00,0.00,0.00,0.00,3.38,0.00,0.00
3,4.00,8.17,0.00,0.00,8.50,0.00,0.00,0.00,19.33,0.00,8.50,2.50,0.00,4.50,0.00,3.00,3.67,0.00,0.00,0.00,5.50,1.00,0.00,18.75,7.62,3.38,0.00,0.00,5.67,0.00,6.62,0.00,0.00,0.00,1.88,6.38,3.38,0.00,0.00,0.00,0.00,0.00,6.50,0.00,0.00
4,5.83,8.33,0.00,0.00,15.17,0.00,0.00,0.00,20.00,0.00,8.50,2.50,0.00,4.75,0.00,3.00,4.50,0.00,0.00,0.00,6.88,2.75,0.00,20.88,7.62,5.88,0.75,0.00,13.83,0.00,6.88,0.00,0.00,0.25,1.88,10.75,4.00,0.00,0.00,0.00,0.00,0.00,8.38,0.00,0.25
5,6.67,8.67,1.00,0.00,23.67,0.33,0.00,0.00,21.83,0.00,8.50,4.50,0.00,4.75,0.00,3.00,4.50,0.50,0.00,0.00,6.88,5.12,0.00,22.50,7.62,8.00,0.75,0.00,22.83,0.00,7.25,0.00,0.00,0.25,1.88,14.25,5.12,0.00,0.00,0.62,0.00,0.00,9.75,0.00,0.50
6,8.00,9.17,2.17,0.00,32.83,0.33,0.00,0.00,26.50,0.00,8.50,4.50,0.00,6.50,1.17,3.00,4.50,1.67,0.00,0.00,7.00,6.50,0.12,23.75,7.62,13.25,0.75,0.00,31.67,0.00,7.25,0.00,0.00,2.38,1.88,18.50,6.50,0.00,0.00,2.38,0.00,0.00,10.62,1.38,2.25
7,14.17,9.17,2.17,0.00,40.67,0.33,0.00,0.67,29.50,0.00,8.50,4.50,4.50,6.50,5.17,3.00,4.50,1.67,0.00,0.00,7.00,8.25,0.12,24.50,7.62,19.12,0.75,0.00,40.17,0.00,7.25,1.38,0.00,7.88,1.88,18.50,8.88,0.00,0.00,5.75,0.00,0.00,10.88,1.75,2.25
8,15.50,15.17,2.17,0.00,49.50,2.17,0.00,0.67,31.50,0.00,8.50,4.50,9.75,6.50,10.50,3.00,4.50,1.67,0.00,0.00,7.00,11.62,0.12,24.50,7.62,24.25,0.75,0.00,47.50,0.00,7.25,1.38,0.00,13.62,1.88,18.50,10.25,0.00,1.62,11.75,0.00,0.38,12.00,1.75,2.25
9,15.50,19.67,2.17,0.00,61.83,9.50,1.83,1.33,46.83,0.00,8.50,4.50,21.00,6.50,14.17,3.00,6.50,1.67,0.00,0.00,7.00,14.00,0.12,24.50,11.88,32.88,0.75,0.00,52.83,0.88,7.25,1.75,0.00,14.50,2.25,18.50,12.50,0.00,2.00,19.38,0.00,1.50,14.00,2.38,2.25
10,15.50,27.83,2.17,1.33,70.50,15.17,2.00,1.33,58.50,0.00,8.50,4.50,29.25,9.50,17.17,3.00,7.67,1.67,0.00,1.75,7.00,17.00,0.12,24.50,14.38,41.62,0.75,0.00,52.83,2.25,7.25,1.75,0.00,14.50,6.62,18.50,15.00,0.25,2.00,25.75,0.00,1.50,16.50,2.38,2.25
11,15.50,42.00,2.17,4.33,75.50,19.00,3.17,1.33,68.83,0.00,11.25,4.50,33.75,13.00,19.83,3.00,8.50,3.50,1.75,3.12,8.88,19.62,0.12,24.50,17.25,47.62,0.75,0.00,54.33,2.38,7.25,1.75,0.00,14.75,10.38,18.50,18.38,0.25,2.50,29.62,0.00,1.50,18.12,2.38,4.50
12,15.50,48.83,2.17,6.00,79.00,19.67,6.00,1.33,74.17,0.00,11.25,4.50,33.75,13.00,20.33,3.00,9.50,3.50,2.62,3.12,10.88,21.88,0.12,24.50,19.75,55.50,0.75,0.00,54.33,2.38,7.25,1.75,0.00,14.75,14.38,18.50,19.12,0.25,5.88,33.25,0.00,1.50,18.25,2.38,5.25
13,15.50,56.67,2.17,8.17,86.33,19.67,7.33,1.33,75.83,0.00,13.00,5.00,33.75,13.00,23.17,3.00,12.00,3.50,5.75,5.25,13.00,24.38,0.12,24.50,21.38,60.75,0.75,0.00,54.33,2.38,7.62,1.75,0.75,14.75,20.50,18.50,19.25,0.25,7.25,40.12,0.00,1.50,18.25,2.38,5.25
14,15.50,60.17,2.33,10.50,90.50,19.67,7.33,1.33,76.67,0.00,13.00,5.00,37.25,13.00,23.83,3.00,17.67,3.50,10.38,5.88,17.62,30.38,0.12,25.88,22.38,62.75,0.75,0.00,54.33,2.38,7.88,1.75,1.25,14.75,20.50,18.50,20.62,0.25,7.75,45.00,0.38,1.50,18.25,2.38,6.00
15,15.50,61.17,2.33,12.83,94.33,19.67,10.33,1.83,77.33,0.00,13.00,5.00,40.25,13.00,23.83,3.00,18.83,3.50,15.88,5.88,24.12,32.62,1.62,28.75,22.38,63.88,0.75,0.00,55.67,2.38,8.12,2.12,1.25,14.75,20.50,19.38,20.62,0.25,10.25,55.00,0.75,1.50,20.25,2.38,6.00
16,15.50,74.33,5.67,13.33,96.50,20.83,13.33,1.83,78.83,0.00,14.50,5.00,41.00,13.00,23.83,3.00,18.83,3.50,22.75,5.88,25.38,33.75,2.25,30.88,22.38,64.88,0.75,0.00,55.67,2.38,9.00,2.12,1.25,14.75,21.50,23.62,20.62,0.25,14.38,66.25,1.00,1.50,20.62,4.00,8.50
17,15.50,94.00,14.83,13.33,96.67,25.33,14.00,1.83,79.50,0.00,15.00,5.00,41.00,13.00,23.83,3.00,19.00,4.17,32.12,5.88,27.38,33.75,2.25,32.25,22.38,67.00,0.75,0.00,55.67,2.38,10.12,2.12,1.25,14.75,21.62,26.88,20.62,0.25,18.75,79.88,4.12,1.50,22.00,5.38,10.62
