# Cumulative DD25 averaged for Yukon River at Anvik
# Sites: MCKINLEY_PARK, NORTHWAY_AP, NENANA_MUN_AP, MCGRATH_AP
#
julian_day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
60,,5.83,0.00,0.00,,0.00,0.00,0.00,,0.83,0.00,0.00,,2.00,0.00,1.67,,0.00,0.00,0.00,,0.00,0.00,5.17,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.50,0.00,,0.00,0.00,0.00,,0.00,0.25,0.00,,1.38
61,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,0.83,0.00,0.00,0.00,2.50,0.00,2.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,13.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,2.75
62,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.83,2.50,0.00,0.00,2.50,0.00,2.33,6.17,0.00,0.00,0.00,0.00,0.00,0.00,17.50,0.62,0.00,0.00,0.00,0.00,0.00,1.12,0.00,0.00,0.00,0.50,1.50,0.25,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,7.50
63,0.00,9.00,0.00,0.00,0.00,1.50,0.00,0.00,8.83,0.83,4.17,0.00,0.00,2.50,0.00,2.33,7.33,0.00,0.00,0.00,0.00,0.00,0.00,19.33,2.25,0.00,0.00,0.00,0.00,0.00,1.12,0.00,0.00,0.00,0.50,6.75,0.25,0.00,0.00,0.00,0.00,0.00,4.62,0.00,0.00,11.00
64,1.00,9.00,0.00,0.00,0.50,1.50,0.00,0.00,10.00,0.83,4.17,0.00,0.00,2.50,0.00,2.33,8.83,0.00,0.00,0.00,0.67,0.38,0.00,19.33,2.25,0.00,0.00,0.00,0.00,0.75,1.12,0.00,0.00,0.00,0.50,11.12,0.25,0.00,0.12,0.00,0.00,0.00,4.75,0.00,0.00,18.50
65,2.00,10.00,0.00,0.00,5.50,1.50,0.00,0.00,10.00,0.83,4.17,2.00,0.00,2.50,0.00,2.33,8.83,0.00,0.00,0.00,1.00,1.12,0.00,19.33,2.25,1.00,0.00,0.00,4.25,0.75,1.50,0.00,0.00,0.00,0.50,12.00,0.25,0.00,1.12,0.00,0.00,0.00,4.75,0.00,0.00,22.75
66,2.67,10.00,0.00,0.00,14.83,1.50,0.00,0.00,10.00,0.83,4.17,2.67,0.00,2.50,0.00,2.33,8.83,0.00,0.00,0.00,1.33,1.62,0.00,19.33,2.25,2.00,0.00,0.00,7.62,0.75,1.50,0.00,0.12,1.00,0.50,15.12,0.25,0.00,1.88,0.75,0.00,0.00,4.75,0.00,0.00,22.75
67,4.50,10.00,1.67,0.00,21.67,1.50,0.00,0.00,10.17,0.83,4.17,2.67,0.00,2.50,0.00,2.33,8.83,0.00,0.00,0.00,1.33,1.62,0.00,19.33,2.25,3.75,0.00,0.00,12.75,0.75,1.50,0.00,0.12,3.62,0.50,15.12,0.25,0.00,1.88,3.75,0.00,0.00,5.75,4.33,0.00,22.75
68,5.83,11.83,2.83,0.00,27.67,4.25,0.00,0.00,11.33,0.83,4.17,2.67,0.00,2.50,0.00,2.33,8.83,0.00,0.00,0.00,1.33,2.62,0.00,19.33,2.25,6.00,0.00,0.00,16.38,0.75,1.50,0.00,0.12,5.25,0.50,15.12,0.25,0.00,1.88,9.50,0.00,0.00,6.62,6.67,0.00,22.75
69,6.00,13.00,2.83,0.00,35.17,6.25,0.00,0.17,12.17,0.83,4.17,2.67,2.00,2.50,1.33,2.33,8.83,0.00,0.00,0.00,1.33,3.38,0.00,19.33,2.25,8.12,0.00,0.00,17.50,0.75,1.50,0.00,0.12,5.75,0.50,15.12,0.25,0.00,1.88,14.88,0.00,0.00,6.62,6.67,0.00,22.75
70,6.00,14.67,2.83,0.00,40.50,9.25,0.00,0.17,19.50,0.83,4.17,2.67,7.67,2.50,2.00,2.33,8.83,0.00,0.00,0.00,1.33,3.88,0.00,19.33,2.25,11.38,0.00,0.00,19.00,0.75,1.50,0.00,0.12,5.75,0.50,15.12,0.25,0.00,1.88,18.88,0.00,0.00,6.62,6.67,0.00,22.75
71,6.00,20.33,2.83,0.00,40.50,10.75,0.00,0.17,28.17,0.83,4.17,2.67,10.50,2.50,2.33,2.33,8.83,0.00,0.00,0.00,1.33,6.75,0.00,19.33,3.00,14.88,0.00,0.00,19.50,0.75,1.50,0.00,0.12,5.75,1.38,15.12,0.25,0.00,1.88,22.00,0.00,0.00,6.62,6.67,0.00,22.75
72,6.00,23.50,2.83,0.00,43.33,10.75,0.00,0.17,33.00,0.83,4.17,2.67,13.00,2.50,2.33,2.33,8.83,0.00,0.33,0.00,1.33,7.62,0.00,19.33,3.00,21.25,0.00,0.00,19.50,0.75,1.50,0.00,0.12,5.75,6.62,15.12,0.50,0.00,1.88,22.12,0.00,0.00,6.62,6.67,0.00,22.75
73,6.00,28.00,2.83,0.00,44.33,10.75,0.00,0.17,34.50,0.83,4.17,2.67,15.17,2.50,2.33,2.33,8.83,0.00,1.17,0.00,1.33,8.38,0.00,19.33,3.75,25.88,0.00,0.00,19.50,0.75,1.50,0.00,0.12,5.75,10.62,15.12,0.50,0.00,3.62,22.25,0.00,0.00,6.62,6.67,0.00,22.75
74,6.00,30.00,2.83,0.00,45.83,10.75,0.00,0.17,34.50,0.83,4.17,2.67,15.17,2.50,2.33,2.33,11.17,0.00,2.33,0.00,1.33,10.00,0.00,19.33,3.75,28.00,0.00,0.00,19.50,0.75,1.50,0.00,0.12,5.75,11.75,15.12,0.50,0.00,3.62,24.75,0.00,0.00,6.62,6.67,0.00,22.75
75,6.00,32.50,2.83,0.00,47.00,10.75,0.17,0.17,34.50,0.83,4.33,2.67,15.17,2.50,2.33,2.33,12.50,0.00,7.50,0.00,1.33,10.00,0.83,19.33,4.38,29.00,0.00,0.00,19.50,0.75,1.50,0.00,0.12,5.75,11.75,15.12,0.50,0.00,3.62,32.75,0.00,0.00,6.62,6.67,0.00,22.75
76,6.00,38.67,2.83,0.33,47.00,10.75,0.17,0.17,34.50,0.83,5.33,2.67,17.00,2.50,2.33,2.33,12.50,0.00,16.33,0.00,3.00,10.00,5.50,19.33,4.38,29.00,0.00,0.00,19.50,0.75,1.50,0.00,0.12,5.75,12.62,16.50,0.50,0.00,5.50,41.25,0.75,0.00,6.62,6.67,0.00,22.75
77,6.00,50.33,8.33,0.33,47.00,11.50,0.17,0.17,34.50,0.83,5.33,2.67,17.00,3.83,2.33,2.33,12.50,0.00,24.00,0.00,4.17,10.00,5.50,19.33,4.38,29.62,0.00,0.00,19.50,0.75,1.50,0.00,0.12,5.75,12.62,19.25,0.50,0.00,9.25,49.62,2.12,0.00,6.62,6.67,0.00,22.75
78,6.00,58.67,15.17,0.33,47.00,14.00,0.17,0.17,34.50,0.83,5.33,2.67,17.00,7.33,2.33,2.33,12.50,0.00,32.50,0.00,4.50,10.00,7.17,19.33,4.38,30.00,0.00,0.00,19.50,0.75,1.50,0.00,0.12,5.75,12.62,21.38,0.50,0.00,12.75,56.00,4.75,0.00,6.62,6.67,1.25,22.75
