# Cumulative DD25 averaged for Yukon River at Beaver
# Sites: KENAI_AP, BETTLES_AP, CHICKEN, SITKA_AP
#
julian_day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
60,,9.00,3.00,5.83,,4.17,4.67,0.00,,3.00,3.17,3.17,,5.50,5.83,3.33,,3.83,3.50,3.50,,3.38,3.50,6.50,,5.12,3.00,0.38,,2.38,7.50,0.00,,3.62,4.25,4.50,,2.12,1.50,3.00,,3.12,4.12,3.38,,7.62
61,5.67,14.33,6.67,8.83,4.83,9.33,8.17,0.17,9.67,6.33,11.33,5.83,3.50,11.50,11.00,7.50,4.00,5.50,6.75,5.62,4.62,6.62,7.00,15.00,5.12,9.88,5.75,1.12,2.62,5.75,15.00,0.00,2.25,7.50,6.62,8.25,6.25,4.38,3.50,5.88,3.25,6.12,7.75,6.00,1.62,16.38
62,11.83,18.17,9.50,11.00,9.17,14.17,13.33,0.17,15.00,8.50,20.00,8.17,6.33,18.50,16.50,12.50,9.17,6.33,9.38,8.00,8.75,9.62,9.50,24.12,9.88,13.88,8.38,1.62,7.12,7.75,20.38,0.75,4.75,11.12,6.88,14.75,11.62,5.38,5.50,8.62,6.38,9.00,12.00,8.50,1.62,24.50
63,18.00,22.17,11.83,14.67,14.17,17.00,16.83,0.17,20.50,12.00,25.67,9.33,8.83,26.00,20.33,15.83,12.50,8.67,11.62,9.88,14.00,12.62,11.00,29.62,14.75,20.12,11.25,3.88,10.38,10.38,23.12,3.12,6.75,14.50,9.12,21.38,16.88,5.38,7.62,10.88,8.75,12.25,17.75,11.12,1.62,32.00
64,25.17,29.67,16.33,18.00,24.00,19.33,20.00,0.17,28.00,15.00,30.50,13.50,11.83,34.33,22.83,19.67,15.17,12.67,13.62,11.62,18.38,17.62,11.25,33.88,19.12,25.88,15.50,7.88,16.25,13.50,27.25,6.50,7.25,16.88,10.62,27.50,21.88,5.38,9.38,13.25,10.88,15.88,22.88,11.50,1.62,41.75
65,33.00,37.00,22.17,22.00,34.00,22.83,24.67,3.17,34.17,17.17,34.00,19.67,15.00,39.33,27.17,23.00,19.83,17.00,15.88,13.38,21.12,23.50,11.62,36.12,22.25,30.38,19.50,12.38,23.38,17.25,30.00,10.12,7.50,19.38,11.62,33.88,26.88,5.38,11.88,17.00,13.38,19.38,26.38,11.88,3.38,48.25
66,41.33,46.50,28.67,26.83,44.50,26.83,29.83,7.33,40.50,19.00,37.00,26.67,18.17,44.83,34.33,25.83,22.17,20.50,18.88,14.62,23.88,28.75,11.62,36.88,25.62,39.12,22.25,15.38,31.12,18.00,31.75,12.62,9.88,24.50,14.62,41.00,34.12,5.38,14.62,21.25,15.38,23.75,30.00,14.12,6.75,54.38
67,48.17,55.83,34.50,32.83,53.17,31.00,35.50,13.17,48.50,19.50,39.50,30.50,24.50,50.50,44.33,27.83,24.83,24.50,21.38,15.50,26.75,33.88,11.62,37.12,29.62,47.38,24.62,17.75,38.12,18.25,34.00,15.50,12.25,29.88,18.88,45.25,40.50,5.38,17.38,26.50,17.50,26.25,34.88,15.38,11.12,59.62
68,55.00,66.33,40.00,38.67,62.17,38.33,40.33,18.83,54.50,19.50,44.33,34.33,33.00,54.33,55.00,30.00,28.83,27.83,24.00,18.38,29.12,39.62,11.62,37.12,33.62,55.38,27.12,19.12,45.12,18.50,36.88,18.75,15.25,35.62,22.38,48.25,46.75,5.50,21.75,33.50,20.38,28.62,39.12,16.38,15.25,64.88
69,59.67,76.50,42.83,44.50,74.67,45.17,46.00,25.17,59.83,19.50,48.67,37.00,41.83,59.00,62.83,33.33,36.00,31.33,28.00,22.12,31.38,46.12,13.88,37.12,36.38,63.25,29.12,21.38,52.38,22.00,39.38,20.25,17.88,39.38,25.75,50.50,53.12,5.50,25.12,40.62,23.75,32.62,45.00,18.25,19.00,70.88
70,63.33,88.67,45.17,52.50,88.00,51.83,54.33,30.50,71.17,21.33,53.00,39.17,52.00,67.33,69.50,37.50,44.50,35.33,31.75,26.25,34.50,53.25,16.75,37.12,42.25,70.88,30.88,23.38,57.88,26.25,42.50,21.25,20.38,41.88,32.25,53.50,57.75,5.75,28.62,46.50,26.62,35.50,50.75,20.00,22.38,75.88
71,66.50,99.00,48.67,62.50,98.83,58.67,62.50,36.83,82.50,26.00,60.00,42.67,60.00,75.83,78.67,40.67,50.50,36.17,36.50,30.75,39.50,58.75,18.88,37.12,48.12,77.38,33.12,25.75,62.12,31.75,45.00,23.25,22.62,44.38,37.25,58.62,63.46,7.88,33.88,51.88,28.75,37.50,56.38,21.38,25.88,80.00
72,69.83,108.67,52.83,74.00,107.33,63.17,71.83,42.00,92.50,30.50,68.17,46.00,66.67,82.17,86.00,45.17,55.83,38.00,42.38,34.50,45.38,63.62,20.62,39.38,52.88,85.12,33.12,28.38,66.00,35.38,48.50,26.12,25.00,46.00,44.00,62.00,69.03,11.25,41.62,57.12,29.75,39.00,60.50,22.25,30.50,84.25
