# Cumulative DD25 averaged for Yukon River at Galena
# Sites: MCKINLEY_PARK, CHICKEN, NENANA_MUN_AP, MCGRATH_AP
#
julian_day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
60,,8.75,0.00,0.00,,0.00,0.00,0.00,,1.25,0.00,0.00,,3.00,0.00,2.50,,0.00,0.00,0.00,,0.00,0.00,5.17,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.50,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,1.38
61,0.00,13.50,0.00,0.00,0.00,0.00,0.00,0.00,5.25,1.25,0.00,0.00,0.00,3.75,0.00,3.00,6.75,0.00,0.00,0.00,0.00,0.00,0.00,13.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75
62,0.00,13.50,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.25,3.75,0.00,0.00,3.75,0.00,3.00,9.25,0.00,0.00,0.00,0.00,0.00,0.00,17.17,0.62,0.00,0.00,0.00,0.00,0.00,1.12,0.00,0.00,0.00,0.50,1.50,0.25,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,7.50
63,0.00,13.50,0.00,0.00,0.00,1.50,0.00,0.00,13.25,1.25,6.25,0.00,0.00,3.75,0.00,3.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,2.25,0.00,0.00,0.00,0.00,0.00,1.12,0.00,0.00,0.00,0.50,6.75,0.25,0.00,0.00,0.00,0.00,0.00,4.38,0.00,0.00,11.00
64,1.50,13.50,0.00,0.00,0.75,1.50,0.00,0.00,15.00,1.25,6.25,0.00,0.00,3.75,0.00,3.00,13.25,0.00,0.00,0.00,0.67,0.38,0.00,19.00,2.25,0.00,0.00,0.00,0.00,0.75,1.12,0.00,0.00,0.00,0.50,11.12,0.25,0.00,0.12,0.00,0.00,0.00,4.50,0.00,0.00,18.50
65,3.00,15.00,0.00,0.00,8.25,1.50,0.00,0.00,15.00,1.25,6.25,3.00,0.00,3.75,0.00,3.00,13.25,0.00,0.00,0.00,1.00,1.12,0.00,19.00,2.25,1.00,0.00,0.00,4.25,0.75,1.50,0.00,0.00,0.00,0.50,12.00,0.25,0.00,1.12,0.00,0.00,0.00,4.50,0.00,0.00,22.75
66,4.00,15.00,0.00,0.00,19.75,1.50,0.00,0.00,15.00,1.25,6.25,4.00,0.00,3.75,0.00,3.00,13.25,0.00,0.00,0.00,1.33,1.62,0.00,19.00,2.25,2.00,0.00,0.00,7.62,0.75,1.50,0.00,0.12,1.00,0.50,13.38,0.25,0.00,1.88,0.75,0.00,0.00,4.50,0.00,0.00,22.75
67,6.75,15.00,2.50,0.00,27.50,1.50,0.00,0.00,15.25,1.25,6.25,4.00,0.00,3.75,0.00,3.00,13.25,0.00,0.00,0.00,1.33,1.62,0.00,19.00,2.25,3.75,0.00,0.00,12.75,0.75,1.50,0.00,0.12,3.62,0.50,13.38,0.25,0.00,1.88,3.75,0.00,0.00,5.50,4.33,0.00,22.75
68,8.75,17.75,4.25,0.00,36.50,4.25,0.00,0.00,17.00,1.25,6.25,4.00,0.00,3.75,0.00,3.00,13.25,0.00,0.00,0.00,1.33,2.50,0.00,19.00,2.25,6.00,0.00,0.00,17.62,0.75,1.50,0.00,0.12,5.25,0.50,13.38,0.25,0.00,1.88,9.50,0.00,0.00,6.38,6.67,0.00,22.75
69,9.00,19.50,4.25,0.00,47.75,6.25,0.00,0.25,18.25,1.25,6.25,4.00,3.00,3.75,2.00,3.00,13.25,0.00,0.00,0.00,1.33,3.25,0.00,19.00,2.25,8.12,0.00,0.00,18.75,0.75,1.50,0.00,0.12,5.75,0.50,13.38,0.25,0.00,1.88,14.88,0.00,0.00,6.38,6.67,0.00,22.75
70,9.00,22.00,4.25,0.00,55.75,9.25,0.00,0.25,28.25,1.25,6.25,4.00,11.50,3.75,3.00,3.00,13.25,0.00,0.00,0.00,1.33,3.75,0.00,19.00,2.25,11.38,0.00,0.00,20.25,0.75,1.50,0.00,0.12,5.75,0.50,13.38,0.25,0.00,1.88,18.88,0.00,0.00,6.38,6.67,0.00,22.75
71,9.00,30.50,4.25,0.00,55.75,10.75,0.00,0.25,40.25,1.25,6.25,4.00,15.75,3.75,3.50,3.00,13.25,0.00,0.00,0.00,1.33,6.38,0.00,19.00,3.00,14.88,0.00,0.00,20.75,0.75,1.50,0.00,0.12,5.75,1.38,13.38,0.25,0.00,1.88,22.00,0.00,0.00,6.38,6.67,0.00,22.75
72,9.00,35.25,4.25,0.00,60.00,10.75,0.00,0.25,47.50,1.25,6.25,4.00,17.25,3.75,3.50,3.00,13.25,0.00,0.33,0.00,1.33,7.25,0.00,19.00,3.00,19.88,0.00,0.00,20.75,0.75,1.50,0.00,0.12,5.75,6.62,13.38,0.50,0.00,1.88,22.12,0.00,0.00,6.38,6.67,0.00,22.75
