# Cumulative DD25 averaged for Yukon River at Kaltag
# Sites: NOME_AP, MCGRATH_AP, BETTLES_AP, FAIRBANKS_INTL_AP
#
julian_day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
60,,5.25,0.00,0.00,,0.00,0.00,0.00,,0.62,0.00,0.00,,0.00,0.00,3.50,,0.00,0.00,0.00,,0.00,0.00,1.88,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,0.00,,0.00,0.00,1.00,,0.00,0.00,0.00,,0.00
61,0.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00,2.62,0.62,0.00,0.00,0.00,0.00,0.00,5.00,2.88,0.00,0.00,0.00,0.00,0.00,0.00,9.62,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,0.00
62,0.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00,4.12,0.62,1.00,0.00,0.00,0.00,0.00,6.50,5.88,0.00,0.00,0.00,0.12,0.00,0.00,15.75,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,2.00,0.00,0.00,1.25,0.00,0.00,0.00,0.00,0.00,1.38
63,0.00,6.50,0.00,0.00,0.00,0.75,0.00,0.00,4.38,0.62,1.00,0.00,0.00,0.00,0.00,7.12,8.12,0.00,0.00,0.00,0.12,0.38,0.00,15.75,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.88,2.00,0.00,0.00,2.12,0.00,0.00,3.00,0.00,0.00,1.88
64,0.25,6.50,0.12,0.00,0.00,2.00,0.00,0.00,4.62,0.62,1.00,0.00,0.00,0.00,0.00,7.12,9.25,0.00,0.00,0.00,0.12,1.00,0.00,15.75,1.38,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,1.50,0.00,6.88,2.00,0.00,0.88,3.25,0.00,0.00,3.00,1.00,0.62,6.00
65,1.50,6.50,1.00,0.50,1.25,2.00,0.00,0.00,4.62,0.62,1.00,1.50,0.00,0.00,0.00,7.12,9.25,0.00,0.00,0.00,1.62,1.00,0.00,15.75,1.38,0.00,0.00,0.00,2.75,0.75,0.00,0.00,0.00,2.38,0.00,7.25,2.00,0.00,2.62,3.50,0.00,0.00,3.00,2.88,1.00,7.62
66,2.88,6.50,2.75,0.50,6.75,2.00,0.00,0.00,4.62,0.62,1.00,2.00,0.00,0.00,0.00,7.12,9.25,0.00,0.00,0.00,3.62,1.00,0.00,15.75,1.38,1.38,0.00,0.00,3.62,0.75,0.00,0.00,0.00,4.38,0.00,8.25,2.00,0.00,3.50,3.50,0.00,0.00,3.50,4.25,1.00,8.12
67,5.50,6.50,4.88,0.50,12.38,2.00,0.00,0.12,5.75,0.62,1.00,2.00,0.00,0.00,0.00,7.12,9.25,0.00,0.38,0.00,4.50,1.00,0.00,15.88,1.38,1.38,0.00,0.00,7.38,0.75,0.00,0.00,0.00,8.62,0.00,8.25,2.00,0.00,3.50,5.00,0.00,0.00,4.38,5.88,1.00,8.38
68,6.50,7.00,5.75,0.50,15.38,3.38,0.00,0.88,5.75,0.62,1.00,2.00,0.00,0.00,0.00,7.12,9.25,0.00,0.38,0.00,5.12,1.00,0.00,17.00,1.38,1.38,0.00,0.00,9.25,0.88,0.00,0.00,0.00,8.88,0.00,8.25,2.00,0.00,3.50,8.25,0.00,0.00,5.25,6.12,1.00,8.38
69,6.62,7.00,5.75,0.50,23.88,6.12,0.00,2.00,5.75,0.62,1.00,2.00,0.00,0.00,0.00,7.12,9.25,0.00,0.38,0.00,5.38,1.00,0.00,17.00,1.38,2.25,0.00,0.00,10.00,1.38,0.00,0.00,0.00,8.88,0.00,8.25,2.00,0.00,3.50,12.00,0.00,0.00,5.25,6.12,1.00,8.50
70,6.62,7.62,5.75,0.50,29.38,6.25,0.00,2.88,14.62,0.62,1.00,2.00,5.12,0.00,0.00,7.12,9.25,0.00,0.38,0.00,5.38,1.00,0.00,17.00,1.38,4.25,0.00,0.00,10.38,1.38,0.00,0.00,0.00,8.88,0.00,8.25,2.00,0.00,3.50,13.88,0.00,0.00,5.50,6.12,1.00,8.50
