# Cumulative DD25 averaged for Yukon River at Koyukuk
# Sites: SITKA_AP, TANANA_AP, TALKEETNA_AP, KOTZEBUE_AP
#
julian_day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
60,,6.62,2.25,2.12,,3.12,3.50,0.00,,2.25,2.38,3.38,,4.25,4.38,3.00,,2.88,3.50,3.50,,4.12,3.38,7.75,,5.12,3.00,0.38,,2.38,6.50,0.00,,3.62,3.62,4.12,,2.12,1.50,4.00,,3.12,5.00,3.38,,6.62
61,4.25,10.75,5.00,4.38,3.62,7.00,6.12,0.12,6.88,4.75,7.50,5.38,2.62,8.88,8.25,7.17,5.88,4.12,6.75,5.62,4.62,7.38,6.88,16.75,5.38,9.88,5.75,1.12,2.62,5.75,12.12,0.00,2.25,7.50,5.88,7.75,5.62,4.38,3.50,7.83,3.25,6.12,9.25,6.00,1.62,14.50
62,8.38,13.75,7.12,6.00,6.88,10.62,10.00,0.12,11.12,6.38,14.38,7.12,4.75,13.75,12.38,13.17,11.00,4.75,9.38,8.00,8.75,10.38,9.38,24.62,10.75,14.75,8.38,1.62,7.00,7.75,17.25,0.75,4.75,10.50,6.12,14.12,10.88,5.38,5.50,11.50,6.38,9.00,13.62,8.50,1.62,21.88
63,12.38,16.75,8.88,8.25,12.38,12.75,12.62,0.12,15.12,9.00,18.62,8.00,6.62,19.00,15.25,16.50,14.00,6.50,11.62,9.88,14.00,13.00,10.88,30.38,16.50,21.62,11.25,3.88,10.88,10.38,19.88,3.12,6.75,13.12,6.62,21.00,15.25,5.38,7.62,14.50,8.75,12.25,19.12,11.12,1.62,29.88
64,16.38,19.88,12.00,9.75,19.62,14.50,15.00,0.12,20.00,11.25,22.25,11.12,8.88,23.88,17.12,20.33,16.00,9.50,13.62,11.62,17.88,17.75,11.12,35.00,19.50,28.00,15.38,7.88,15.75,12.62,22.75,6.50,7.25,15.88,7.38,28.25,21.25,5.38,9.38,17.67,10.88,15.88,25.12,11.50,1.62,39.12
65,21.38,23.50,16.25,11.75,28.00,16.25,18.50,2.38,23.62,12.88,24.88,15.00,11.25,27.50,20.38,23.67,18.50,12.88,15.88,13.38,21.75,24.50,11.50,37.12,22.62,33.00,18.38,12.38,22.38,15.62,25.88,9.50,7.50,18.12,8.38,34.88,26.62,5.38,11.88,21.67,13.38,19.38,30.00,12.25,3.62,45.75
66,25.62,28.88,20.50,15.00,36.50,19.25,22.38,5.50,28.50,14.25,27.12,18.38,13.62,32.00,25.75,26.50,20.25,16.38,18.25,14.62,24.38,30.00,11.62,38.38,26.00,39.62,21.12,15.38,30.00,16.38,27.62,12.00,9.88,22.75,11.38,41.88,32.75,5.38,14.62,27.17,15.38,23.75,34.50,15.75,6.75,51.25
67,30.38,33.50,23.38,19.50,44.38,22.12,26.62,9.75,34.00,14.62,29.00,21.25,18.38,35.00,33.50,28.50,22.25,19.12,20.75,15.50,27.25,35.25,11.62,39.12,30.00,47.62,23.50,17.75,37.88,16.62,29.88,16.25,12.25,28.25,15.62,45.62,39.25,5.38,17.38,33.33,17.50,26.38,38.12,17.38,12.12,56.12
68,35.75,39.62,26.25,23.88,53.25,26.88,30.25,14.00,38.38,14.62,32.62,24.12,25.25,37.75,40.00,30.67,25.25,21.62,23.38,18.38,29.62,41.12,11.62,39.12,34.00,54.75,26.00,19.12,44.38,16.62,32.75,19.50,15.25,33.88,19.12,48.62,46.00,5.50,21.62,41.83,20.38,29.12,42.12,18.38,16.25,61.75
69,39.62,44.62,28.38,28.25,61.62,31.38,35.88,18.75,43.00,14.62,35.88,26.12,31.88,41.00,45.38,34.00,30.62,24.25,27.38,22.12,31.88,47.50,13.88,39.12,36.75,63.62,28.00,21.38,51.25,19.25,35.25,21.38,17.88,37.38,22.88,50.88,51.62,5.50,25.00,50.67,23.75,33.50,48.25,20.88,20.00,67.00
