# Cumulative DD25 averaged for Yukon River at Mountain Village
# Sites: NOME_AP, BETHEL_AP, SITKA_AP, MCGRATH_AP
#
julian_day,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
60,,9.75,2.25,2.12,,3.12,3.50,0.00,,2.88,2.38,2.12,,3.38,4.38,7.50,,2.88,3.50,3.50,,3.38,3.62,8.88,,5.12,3.00,0.38,,2.38,4.62,0.00,,3.62,3.50,4.12,,2.12,1.50,6.12,,3.12,4.12,3.38,,4.88
61,4.25,14.50,5.00,4.38,3.62,7.00,6.12,0.12,6.50,5.38,6.38,4.12,2.62,7.00,8.25,13.75,7.62,4.12,6.75,5.62,4.62,6.62,7.12,22.12,7.12,9.88,5.75,1.12,2.62,5.75,8.38,0.00,2.25,7.50,5.62,10.00,7.25,4.38,4.62,10.12,3.25,6.12,7.38,6.00,1.62,9.38
62,8.00,17.12,7.12,6.00,6.88,11.25,10.00,0.12,10.00,7.00,10.88,6.38,4.75,11.88,12.38,20.00,15.38,4.75,9.38,8.00,8.88,9.62,9.62,31.00,12.50,13.88,8.38,1.62,6.62,7.75,11.38,0.75,4.75,10.50,5.88,17.12,13.88,5.38,6.62,13.25,6.38,9.00,12.00,8.50,1.62,15.00
63,13.12,20.12,9.12,8.25,10.50,15.62,12.62,0.12,12.88,9.62,15.12,7.25,6.62,16.75,15.25,22.50,22.12,6.50,11.62,9.88,12.00,14.38,11.12,34.62,16.25,18.25,11.25,3.88,9.88,10.88,14.00,3.12,6.75,14.50,6.38,24.00,18.50,5.38,9.88,19.25,8.75,12.25,20.00,11.12,1.62,20.25
64,17.38,23.12,13.25,9.75,15.25,20.25,15.00,0.12,17.38,11.88,18.75,10.38,8.88,21.50,17.12,25.38,26.62,9.50,15.62,11.62,15.75,19.38,11.38,37.12,19.62,22.12,14.62,7.88,14.50,14.50,16.62,6.50,7.25,20.38,7.12,29.25,23.50,5.38,13.75,24.38,10.88,15.88,24.12,14.88,2.62,30.88
65,23.38,27.12,18.88,12.75,22.50,21.75,18.50,2.38,21.00,13.50,21.38,16.25,11.25,25.12,20.38,27.88,29.38,12.50,19.62,13.38,22.00,25.62,11.75,37.62,22.75,26.62,17.62,12.38,22.75,17.50,19.38,9.50,7.50,24.75,8.12,35.25,28.25,5.38,19.50,28.12,13.38,19.38,27.62,20.38,4.88,37.62
66,29.38,32.12,26.38,16.00,35.00,24.75,22.38,5.50,24.50,15.12,23.62,20.12,13.62,28.75,24.88,30.00,31.25,15.12,24.25,14.62,28.38,29.75,11.75,37.62,26.12,33.25,20.38,15.38,28.62,18.25,21.12,12.00,9.88,32.25,11.12,40.50,33.25,5.38,23.88,32.75,15.38,25.50,32.38,26.75,7.75,42.00
67,36.00,36.75,32.50,20.50,46.00,29.00,26.62,11.12,28.38,16.00,25.50,23.00,18.38,31.75,29.62,31.50,34.12,17.88,29.00,15.50,34.38,34.12,11.75,37.88,30.12,38.12,22.75,17.75,34.62,20.88,23.38,14.88,12.25,39.75,15.38,44.25,38.38,5.38,26.62,38.75,17.50,28.25,39.38,30.25,11.38,46.50
68,41.12,42.38,37.75,24.88,54.12,33.88,30.25,18.75,31.75,17.25,29.12,25.88,23.00,34.50,34.12,33.12,37.75,20.38,31.88,18.38,40.00,37.88,11.75,39.00,34.12,44.62,25.25,19.12,39.38,22.75,26.25,18.12,15.25,43.25,18.88,47.25,42.88,5.50,29.75,47.00,20.38,30.62,45.12,31.25,15.50,51.00
69,45.12,46.50,40.38,29.25,68.12,38.00,34.50,25.62,34.88,17.25,32.38,27.88,27.00,37.75,39.50,35.62,43.12,23.00,35.88,22.12,44.62,41.88,14.00,39.00,36.88,49.38,27.25,21.38,42.75,26.38,28.75,19.62,17.88,46.25,22.25,49.50,47.12,5.50,33.12,55.75,23.75,33.88,50.25,33.12,19.25,54.88
70,47.88,52.00,42.12,34.12,78.88,41.62,39.75,30.50,43.12,18.62,35.62,30.12,33.75,42.12,45.12,38.75,47.88,25.38,39.62,26.25,47.75,46.50,16.88,39.00,41.25,55.25,29.00,23.38,45.62,28.75,31.88,20.62,20.38,48.75,26.50,52.50,50.75,5.75,36.62,62.38,26.62,36.75,53.88,34.88,22.62,58.25
71,50.25,58.88,44.75,38.75,86.62,46.38,44.00,35.25,51.25,22.12,39.62,33.88,37.62,46.50,50.38,41.12,51.25,26.00,44.38,29.75,52.25,49.62,19.00,39.00,48.00,63.75,31.25,25.75,49.00,32.25,34.38,22.62,22.62,51.12,30.38,57.62,53.83,7.88,41.62,68.62,28.75,38.75,57.38,36.25,26.12,61.25
72,52.75,66.62,47.88,43.25,92.75,49.75,48.00,39.12,57.75,25.50,43.88,36.38,41.38,50.50,54.62,44.50,55.12,27.38,52.88,32.50,57.75,52.62,20.75,41.25,52.00,72.25,31.25,28.38,51.75,35.12,37.88,25.50,25.00,52.75,37.12,61.00,56.90,11.25,47.50,75.00,29.75,40.25,61.00,37.12,29.88,64.12
73,55.38,75.88,50.62,47.12,100.50,52.88,51.62,43.00,60.75,28.62,47.75,39.12,46.12,53.88,58.38,47.25,62.25,28.75,59.50,35.50,62.88,56.62,22.38,44.50,55.88,80.88,34.22,30.25,54.62,38.12,42.00,29.38,26.75,55.00,40.75,62.38,59.87,14.38,53.25,78.00,30.88,41.12,65.50,39.50,34.50,67.25
74,57.50,85.00,53.88,51.50,106.38,56.25,57.00,47.62,63.62,31.88,52.12,42.38,50.00,56.00,62.00,50.12,69.38,30.00,65.25,37.75,67.12,60.38,26.12,49.62,58.62,87.75,34.22,31.88,57.00,41.00,46.12,33.75,29.38,58.00,44.25,64.75,62.74,17.00,57.12,83.00,35.12,43.88,70.12,42.75,39.50,69.88
75,59.62,95.38,56.62,56.50,112.25,59.50,64.25,51.38,67.50,36.25,58.38,45.62,54.50,58.88,65.12,54.50,73.00,31.88,74.38,39.75,71.50,63.75,31.62,53.75,62.75,92.38,34.22,33.62,58.50,43.88,50.25,36.88,32.88,60.25,47.25,68.38,65.73,19.62,61.00,90.38,40.12,47.00,74.62,47.75,44.62,72.00
76,63.50,106.75,60.88,63.62,118.50,62.50,70.75,54.88,71.00,39.00,63.75,48.50,60.12,62.88,68.50,59.25,77.12,35.50,86.12,41.88,76.12,67.12,38.12,57.38,66.00,97.88,34.22,35.38,61.75,46.25,53.75,40.50,35.00,62.62,51.50,74.62,69.73,21.62,67.00,97.50,44.00,50.50,78.75,52.50,50.50,75.00
77,66.25,120.75,69.00,69.38,124.12,65.88,75.12,58.62,75.38,41.88,68.75,51.25,65.50,68.00,71.50,61.50,81.25,39.25,99.00,43.75,81.88,70.38,42.00,61.12,68.88,101.88,34.34,37.50,64.50,47.88,57.50,43.88,36.88,65.00,54.50,81.00,73.98,23.12,73.62,104.25,49.25,53.12,83.25,57.50,55.38,78.06
78,69.38,131.50,78.38,75.00,128.75,71.00,78.88,62.38,79.38,45.62,72.25,53.75,71.12,77.00,74.62,64.12,85.38,43.12,114.12,48.12,85.62,71.38,46.25,65.00,71.50,105.25,37.22,39.00,67.25,49.88,62.38,50.00,38.00,66.75,57.38,87.00,78.60,26.00,78.38,111.50,54.00,55.25,86.62,61.00,60.25,81.24
79,73.25,141.88,86.38,81.00,133.00,74.12,82.75,66.38,83.12,49.75,74.75,56.25,79.62,85.38,78.38,66.50,90.62,46.38,129.75,53.38,90.00,71.38,51.12,68.88,73.62,106.88,41.59,40.75,69.88,52.50,66.38,57.12,39.00,68.00,60.00,94.88,84.85,29.00,81.75,118.75,63.25,57.50,90.38,65.38,67.50,84.65
80,80.25,150.75,95.38,87.25,136.75,77.50,86.12,71.50,86.88,54.12,78.25,58.75,86.00,92.00,81.25,68.62,94.62,50.12,140.00,57.75,96.12,71.38,57.88,73.12,77.25,109.75,46.47,44.12,72.88,54.88,70.12,65.50,40.62,69.50,63.12,99.38,91.73,32.00,85.00,127.75,71.75,61.00,95.50,69.00,77.50,88.14
81,89.50,157.12,99.12,93.50,140.25,80.75,89.38,82.75,90.75,57.25,83.25,62.50,89.62,96.75,84.88,71.25,100.50,53.50,149.00,65.50,100.62,71.88,62.00,76.50,82.62,113.38,50.59,47.50,75.88,57.25,74.25,71.62,41.62,71.00,66.50,103.62,97.73,35.88,88.75,142.88,76.38,64.50,100.00,73.50,89.62,91.71
82,95.62,162.38,102.88,97.62,145.00,83.88,94.38,91.25,94.75,60.62,89.88,69.12,93.25,100.12,88.00,72.38,105.62,56.75,156.88,71.00,107.12,73.38,66.50,79.50,86.88,117.00,55.22,50.75,79.25,60.88,79.00,76.62,44.00,73.75,69.88,108.88,105.23,38.88,91.62,156.62,80.75,68.12,103.62,77.00,97.38,95.17
