# Cumulative DD25 averaged for Yukon River nr Emmonak
# Sites: NOME_AP, NENANA_MUN_AP, BETHEL_AP, CHICKEN
#
d_since_march1,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,0.00,5.75,0.00,0.00,0.00,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,8.00,4.75,0.00,0.00,0.00,0.33,0.00,0.33,3.50,3.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.50,0.00,0.00,3.12,0.00,0.00,0.00,0.00,0.00
1,0.00,7.25,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,13.75,10.00,0.00,0.00,0.00,0.50,0.00,0.33,10.17,6.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,2.38,5.12,0.00,1.12,4.25,0.00,0.00,0.12,0.00,0.00
2,4.25,7.25,0.00,0.00,0.00,1.25,0.00,0.00,1.50,0.00,0.00,1.00,0.00,0.00,0.00,18.75,16.75,0.00,0.00,0.00,0.50,0.00,0.33,11.67,7.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.62,3.50,5.38,0.00,1.12,4.62,0.00,0.00,2.50,0.00,0.00
3,8.00,7.25,0.50,0.00,0.00,4.25,0.00,0.00,1.50,0.00,0.00,1.00,0.00,0.00,0.00,18.75,19.50,0.00,0.00,0.00,2.33,2.38,0.33,11.67,7.75,0.00,0.00,0.00,1.38,0.50,0.00,0.00,0.00,1.38,1.62,5.12,5.38,0.00,2.25,8.38,0.00,0.00,6.75,0.00,1.00
4,12.75,7.25,2.50,0.00,2.50,10.00,0.00,0.00,1.50,0.00,0.00,1.00,0.00,0.00,0.00,18.75,21.25,0.00,2.67,0.00,7.33,4.75,0.33,11.67,7.75,0.00,0.00,0.00,3.38,1.12,0.00,0.00,0.00,4.88,1.62,6.75,5.38,0.00,4.25,11.12,0.00,0.00,6.75,4.50,1.50
5,17.50,8.50,6.75,2.00,12.25,10.00,0.00,0.00,1.50,0.00,0.00,4.00,0.00,0.00,0.00,18.75,21.50,0.00,5.00,0.00,12.67,6.62,0.33,11.67,7.75,1.00,0.00,0.00,5.12,1.12,0.00,0.00,0.12,7.00,1.62,8.12,5.38,0.00,6.50,12.50,0.00,0.00,6.75,11.33,1.50
6,20.50,8.50,15.00,2.00,22.75,10.00,0.00,0.00,1.50,0.50,0.00,4.00,0.00,0.00,0.00,18.75,23.25,0.00,8.00,0.00,16.83,6.62,0.33,11.67,7.75,2.62,0.00,0.00,7.88,1.12,0.00,0.00,0.12,11.00,1.62,9.38,5.38,0.00,7.38,15.38,0.00,1.75,7.88,16.83,1.50
7,21.50,8.50,19.00,2.00,25.50,12.75,0.00,3.75,1.50,1.50,0.00,4.00,0.00,0.00,0.00,18.75,24.50,0.00,11.00,0.00,21.17,7.50,0.33,12.00,7.75,2.62,0.00,0.00,9.38,3.50,0.00,0.00,0.12,12.62,1.62,9.38,5.38,0.00,7.38,20.38,0.00,2.00,10.75,17.67,1.50
8,22.25,10.25,22.00,2.00,37.00,12.75,0.00,10.50,1.50,4.00,0.00,4.00,0.00,0.00,0.00,18.75,24.50,0.00,11.33,0.00,24.33,7.88,0.33,13.50,7.75,4.00,0.00,0.00,9.62,5.38,0.00,0.00,0.12,12.62,1.62,9.38,5.38,0.00,7.38,26.88,0.00,2.00,12.75,17.67,1.50
9,22.25,10.50,23.00,2.00,46.75,12.75,0.00,15.75,2.75,4.00,0.00,4.00,0.25,0.00,3.50,18.75,24.50,0.00,11.33,0.00,24.33,7.88,0.33,13.50,8.38,4.12,0.00,0.00,9.62,7.25,0.00,0.00,0.12,12.62,1.62,9.38,5.38,0.00,7.38,33.12,0.00,2.00,13.75,17.67,1.50
10,22.25,10.50,23.00,2.00,52.75,12.75,0.00,17.50,2.75,4.00,0.00,5.25,0.25,0.00,7.25,18.75,24.50,0.00,11.33,0.00,24.33,8.25,0.33,13.50,11.00,5.12,0.00,0.00,9.62,7.25,0.00,0.00,0.12,12.62,1.62,9.38,5.38,0.00,7.38,34.75,0.00,2.00,14.00,17.67,1.50
11,22.25,12.25,23.00,2.00,56.50,12.75,0.00,17.50,2.75,4.00,0.00,7.50,0.25,0.00,7.25,18.75,25.50,0.00,13.17,0.00,25.50,8.25,0.33,13.50,11.88,7.75,0.00,0.00,9.62,7.25,0.00,0.00,0.12,12.62,1.62,9.38,5.38,0.00,7.38,37.25,0.00,2.00,14.00,17.67,1.50
12,22.25,17.75,23.00,2.00,65.50,12.75,0.00,17.50,2.75,4.00,0.00,7.50,0.25,0.00,7.25,18.75,31.00,0.00,17.83,0.00,25.50,8.25,0.33,13.50,11.88,10.75,0.00,0.00,9.62,7.25,0.00,0.00,0.12,12.62,3.12,9.38,5.38,0.00,7.38,40.12,0.00,2.00,14.00,17.67,1.50
13,22.25,22.25,23.00,2.00,69.25,12.75,0.50,17.50,2.75,4.00,0.00,7.50,0.25,0.00,7.25,18.75,35.00,0.00,20.50,0.00,26.00,8.75,1.67,13.50,11.88,15.75,0.00,0.00,9.62,7.25,0.00,0.00,0.12,12.62,4.75,9.38,5.38,0.00,7.88,40.25,2.12,2.00,14.00,17.67,1.50
