ICAO,Weight,URL,Num,lat,lon
PABE,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70219026615.csv,70219026615,60.7833,-161.8
PAED,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70272026401.csv,70272026401,61.18,-149.97
PAMR,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70273526409.csv,70273526409,61.2167,-149.8333
PABR,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70026027502.csv,70026027502,71.2906,-156.7886
PAOT,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70133026616.csv,70133026616,66.8983,-162.54
PABT,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70174026533.csv,70174026533,66.9189,-151.5161
PATA,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70178026529.csv,70178026529,65.1719,-152.0789
PFYU,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70194026413.csv,70194026413,66.5673,-145.2513
PAEG,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70197526422.csv,70197526422,64.7881,-141.2
PAOM,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70200026617.csv,70200026617,64.5011,-165.4064
PAMC,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70231026510.csv,70231026510,62.9532,-155.596
PATK,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70251026528.csv,70251026528,62.3209,-150.1066
PAEN,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70259026523.csv,70259026523,60.5544,-151.2583
PANN,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70260026435.csv,70260026435,64.5639,-149.0931
PAFB,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70261526498.csv,70261526498,64.8278,-147.6429
PAFA,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70261026411.csv,70261026411,64.8378,-147.7164
PAGK,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70271026425.csv,70271026425,62.2086,-145.4515
PANC,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70273026451.csv,70273026451,61.2181,-149.9003
PAVD,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70275626479.csv,70275626479,61.1308,-146.3483
PACD,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70316025624.csv,70316025624,55.2045,-162.7184
PAPH,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70333025508.csv,70333025508,56.9492,-158.6269
PADQ,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70350025501.csv,70350025501,57.79,-152.4072
PAYA,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/70361025339.csv,70361025339,59.5469,-139.7272
MXYA2,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/99999999999.csv,99999999999,61.4333,-142.9217
KSEA,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/72793024233.csv,72793024233,47.6062,-122.3321
KMSP,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/72658014922.csv,72658014922,44.9778,-93.2650
KATL,0.9,https://www.ncei.noaa.gov/data/global-summary-of-the-day/access/2022/72219013874.csv,72219013874,33.749,-84.388
