,name,acisID,icao,longitude,latitude,elev_ft,valid_avgT_start,valid_avgT_end,valid_snowdepth_start,valid_snowdepth_end
0,ADAK AP,20427,PADK,-176.64999,51.88333,17.0,1942-10-01,2025-03-16,1942-11-01,1996-03-31
1,AKHIOK,106217,PAKH,-154.18333,56.93333,43.0,2022-10-20,2025-01-28,,
2,AKUTAN,21171,,-165.76666,54.13333,,1986-01-01,1990-02-22,1986-01-01,1990-02-22
3,ALASKA PACIFIC UNIVERSITY,21216,,-149.80556,61.18889,220.0,1993-07-01,2004-10-31,1993-07-01,2004-10-31
4,ALCAN HWY MI-1244 ALASKA,65647,,-141.46671,62.8167,1800.0,1990-06-18,2023-12-02,,
5,ALEKNAGIK 1 NNE,93859,,-158.6145,59.284,80.0,2019-10-11,2025-03-17,,
6,ALEXANDER LAKE,77630,,-150.89,61.75,160.0,2014-10-05,2025-03-15,,
7,ALPINE,67802,,-150.92821,70.3463,17.0,2011-01-01,2025-03-17,2011-01-01,2025-03-17
8,ALPINE CREEK LODGE,63988,,-147.24789,63.0429,3100.0,2004-06-24,2017-05-29,2005-09-13,2017-05-31
9,ALYESKA,20684,,-149.11079,60.9583,272.0,1963-11-07,2025-03-17,1963-11-07,2025-03-17
10,AMBER LAKE,33761,,-150.5033,62.1925,449.0,2001-03-01,2025-03-16,2001-03-22,2025-03-16
11,AMBLER,21170,,-157.85001,67.08333,120.0,1994-08-01,2017-12-19,1994-08-01,1995-10-31
12,AMBLER WEST,21040,,-157.86667,67.08333,120.0,1981-12-01,1992-03-31,1981-12-01,1992-03-31
13,AMCHITKA,20418,,179.28333,51.38333,223.0,1943-02-01,1993-08-31,1943-11-01,1993-08-31
14,AMERICAN CREEK,77590,,-141.23,64.79,1050.0,2011-08-15,2025-03-15,,
15,ANAKTUVUK AUTO,21055,PAKP,-151.76666,68.16667,2100.0,1953-07-11,2023-07-13,1953-07-09,1973-05-31
16,ANCHOR POINT 4 SE,31592,,-151.75444,59.74667,169.0,2002-10-21,2012-08-20,,
17,ANCHOR POINT-RIVER,21175,,-151.8364,59.77222,33.0,2003-04-18,2009-09-03,2003-05-04,2006-04-22
18,ANCHOR RIVER DIVIDE,77638,,-151.32001,59.86,1653.0,2004-06-18,2025-03-15,,
19,ANCHORAGE 5SE,34690,,-149.80722,61.16056,201.0,2007-01-23,2008-10-31,2007-01-23,2008-10-31
20,ANCHORAGE ARCTIC & INTERNATIONAL,32417,,-149.905,61.17472,117.0,2005-08-01,2009-10-25,2005-08-01,2009-10-31
21,ANCHORAGE CHESTER CREEK,31847,,-149.91055,61.20444,35.0,2004-07-01,2004-10-31,2004-07-01,2004-10-31
22,ANCHORAGE ELMENDORF AFB,20725,PAED,-149.79361,61.25306,212.0,1947-01-14,1997-09-30,1947-01-14,1997-09-30
23,ANCHORAGE FORECAST OFFICE,29119,,-149.9847,61.1561,131.0,1998-02-01,2025-03-16,1998-02-01,2025-03-16
24,ANCHORAGE HILLSIDE,77622,,-149.67,61.11,2080.0,2005-06-22,2025-03-15,,
25,ANCHORAGE HILLSIDE,21217,,-149.73334,61.11667,1000.0,1993-07-01,2014-05-21,1993-07-01,2014-04-08
26,ANCHORAGE LAKE HOOD SEA PLANE BASE,30951,PALH,-149.96509,61.1786,82.0,1998-02-01,2025-03-16,,
27,ANCHORAGE MERRILL FIELD,20717,PAMR,-149.85724,61.2163,126.0,1914-11-01,2025-03-16,1916-02-16,2005-02-20
28,ANCHORAGE MIDTOWN,31085,,-149.88583,61.19389,82.0,2000-10-12,2009-03-22,2000-10-12,2009-03-31
29,ANCHORAGE RABBIT CREEK #2,33105,,-149.7561,61.0882,913.0,2006-07-01,2021-01-03,2006-07-01,2021-01-03
30,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT,20705,PANC,-150.02771,61.16916,125.0,1952-04-01,2025-03-16,1953-02-01,2025-03-16
31,ANCHORAGE UPPER DEARMOUN,32955,,-149.7169,61.1025,1335.0,2005-12-01,2025-03-14,2005-12-01,2025-03-14
32,ANDERSON LAKE,20764,,-149.33971,61.6244,470.0,1971-01-29,2010-02-28,1971-01-29,2010-02-28
33,ANGEL CREEK ALASKA,65649,,-146.228,65.02,1100.0,1999-07-07,2025-03-16,,
34,ANGOON,20529,PAGN,-134.5864,57.49889,28.0,1932-04-01,2011-02-28,1932-04-01,2011-02-28
35,ANIAK AIRPORT,20756,PANI,-159.54305,61.58159,85.0,1920-11-08,2025-03-16,1920-08-01,1990-03-31
36,ANNETTE AIRPORT,20462,PANT,-131.5787,55.0389,109.0,1941-01-16,2019-10-01,1941-01-01,2018-04-30
37,ANNEX CREEK,20558,,-134.1003,58.3183,92.0,1917-01-01,2025-03-17,1917-01-01,2025-03-17
38,ANVIK AIRPORT,32033,PANV,-160.18333,62.65,88.0,2019-05-21,2025-03-16,,
39,ARCTIC VILLAGE,33129,PARC,-145.57944,68.11472,2092.0,2024-09-18,2025-03-16,,
40,ARCTIC VILLAGE,21053,,-145.53333,68.11667,2080.0,1962-08-24,1996-09-30,1962-08-01,1996-09-30
41,ASIK ALASKA,83084,,-162.2664,67.475,1329.0,2012-09-04,2025-03-16,,
42,ATIGUN PASS,77625,,-149.48,68.13,4800.0,2006-09-30,2025-03-15,,
43,ATKA AP,20431,PAAK,-174.20612,52.22028,56.0,1916-10-01,2025-03-16,1917-05-01,1949-10-31
44,ATTU,20441,PAAT,173.18333,52.83333,70.0,1917-07-01,1993-08-31,1917-11-14,1993-08-31
45,AUKE BAY,20560,,-134.645,58.3814,44.0,1963-02-01,2025-01-31,1963-02-01,2025-01-31
46,AURORA,31749,,-147.7216,64.8552,443.0,2002-10-17,2025-03-16,2002-10-17,2025-03-16
47,Anchorage Area,32645,,,,,1953-11-01,2025-03-16,1953-11-01,2025-03-16
48,Annette Area,32647,,,,,1941-01-16,2019-10-01,1941-01-01,2018-04-30
49,BARROW AIRPORT,21127,PABR,-156.73938,71.28703,27.0,1901-09-01,2025-03-16,1901-09-01,2025-02-24
50,BARROW ERL,94509,,-156.61227,71.32431,15.0,2018-12-11,2025-03-17,2019-03-05,2021-12-16
51,BARTER ISLAND WSO AP,21093,PABA,-143.57693,70.13389,2.0,1947-09-23,2025-03-16,1948-09-01,1988-12-31
52,BEAR MTN. ALASKA,65654,,-142.76939,66.0594,1925.0,1990-08-06,2003-07-29,,
53,BEAVER,21016,,-147.40138,66.35972,355.0,1996-12-01,2000-11-30,1971-06-29,2000-11-27
54,BEAVER (WBQ) ALASKA,65657,,-146.51669,66.2667,483.0,1990-05-29,2022-11-27,,
55,BEAVER FALLS,20473,,-131.69691,55.3574,35.0,1948-05-07,2017-12-02,1948-05-07,2010-12-31
56,BELUGA,20707,,-151.03333,61.18333,75.0,1973-08-01,1992-06-30,1973-08-01,1992-06-30
57,BEN CREEK ALASKA,65655,,-143.0667,65.2833,1850.0,1990-05-09,2023-12-12,,
58,BEN'S FARM,20752,,-149.15421,61.5632,127.0,1969-05-07,2025-01-31,1969-05-01,2002-08-31
59,BENTALIT ALASKA,65661,,-150.98579,61.9358,150.0,1999-07-13,2025-03-16,,
60,BENTALIT LODGE,77632,,-150.98,61.94,150.0,2006-01-14,2013-06-27,,
61,BERING GLACIER ALASKA,65656,,-143.28329,60.1186,75.0,1998-04-27,2015-06-24,,
