location,river,forecastdate,most likely breakup in (days),forecasted date,average breakup date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now
Buckland,Buckland River,2024-04-04,44,2024-05-16,05-15,0.35,0.00,0.00,0.00
Fairbanks,Chena River,2024-04-04,19,2024-04-21,04-24,0.41,0.00,0.04,0.40
Northway,Chisana River,2024-04-04,21,2024-04-23,04-23,0.56,0.00,0.00,0.44
Gakona,Gakona River,2024-04-04,29,2024-05-01,04-29,0.27,0.00,0.01,0.16
Gakona,Gulkana River,2024-04-04,28,2024-04-30,04-28,0.30,0.00,0.01,0.17
Kobuk,Kobuk River,2024-04-04,42,2024-05-14,05-13,0.40,0.00,0.00,0.00
Shungnak,Kobuk River,2024-04-04,43,2024-05-15,05-15,0.39,0.00,0.00,0.00
Ambler,Kobuk River,2024-04-04,43,2024-05-15,05-16,0.42,0.00,0.00,0.00
Bettles,Koyukuk River,2024-04-04,37,2024-05-09,05-07,0.41,0.00,0.00,0.01
Allakaket,Koyukuk River,2024-04-04,38,2024-05-10,05-08,0.42,0.00,0.00,0.00
Hughes,Koyukuk River,2024-04-04,38,2024-05-10,05-08,0.40,0.00,0.00,0.01
Nikolai,Kuskokwim River,2024-04-04,16,2024-04-18,04-20,0.43,0.01,0.07,0.41
Sleetmute,Kuskokwim River,2024-04-04,29,2024-05-01,05-02,0.39,0.00,0.00,0.11
Stony River,Kuskokwim River,2024-04-04,32,2024-05-04,05-02,0.41,0.00,0.00,0.05
Red Devil,Kuskokwim River,2024-04-04,31,2024-05-03,05-03,0.39,0.00,0.00,0.08
McGrath,Kuskokwim River,2024-04-04,32,2024-05-04,05-04,0.40,0.00,0.00,0.06
Crooked Creek,Kuskokwim River,2024-04-04,33,2024-05-05,05-04,0.40,0.00,0.00,0.04
Aniak,Kuskokwim River,2024-04-04,33,2024-05-05,05-05,0.37,0.00,0.00,0.05
Kalskag,Kuskokwim River,2024-04-04,32,2024-05-04,05-05,0.39,0.00,0.00,0.05
Tuluksak,Kuskokwim River,2024-04-04,35,2024-05-07,05-06,0.38,0.00,0.00,0.03
Akiak,Kuskokwim River,2024-04-04,35,2024-05-07,05-07,0.37,0.00,0.00,0.03
Bethel,Kuskokwim River,2024-04-04,36,2024-05-08,05-07,0.34,0.00,0.00,0.03
Sunshine,Susitna River,2024-04-04,28,2024-04-30,04-29,0.49,0.00,0.00,0.10
Nenana,Tanana River,2024-04-04,26,2024-04-28,04-29,0.44,0.00,0.00,0.19
Manley Hot Springs,Tanana River,2024-04-04,29,2024-05-01,05-01,0.39,0.00,0.00,0.12
Lake Creek,Yentna River,2024-04-04,27,2024-04-29,04-29,0.57,0.00,0.00,0.11
Dawson,Yukon River,2024-04-04,32,2024-05-04,05-03,0.56,0.00,0.00,0.01
Eagle,Yukon River,2024-04-04,31,2024-05-03,05-03,0.47,0.00,0.00,0.04
Circle,Yukon River,2024-04-04,37,2024-05-09,05-07,0.46,0.00,0.00,0.00
Tanana,Yukon River,2024-04-04,36,2024-05-08,05-07,0.46,0.00,0.00,0.01
Fort Yukon,Yukon River,2024-04-04,38,2024-05-10,05-08,0.47,0.00,0.00,0.00
Ruby,Yukon River,2024-04-04,38,2024-05-10,05-09,0.44,0.00,0.00,0.00
Galena,Yukon River,2024-04-04,39,2024-05-11,05-10,0.45,0.00,0.00,0.00
Kaltag,Yukon River,2024-04-04,40,2024-05-12,05-11,0.41,0.00,0.00,0.00
Holy Cross,Yukon River,2024-04-04,40,2024-05-12,05-12,0.41,0.00,0.00,0.00
Marshall,Yukon River,2024-04-04,42,2024-05-14,05-12,0.40,0.00,0.00,0.00
Russian Mission,Yukon River,2024-04-04,40,2024-05-12,05-12,0.39,0.00,0.00,0.00
Anvik,Yukon River,2024-04-04,41,2024-05-13,05-14,0.40,0.00,0.00,0.00
Mountain Village,Yukon River,2024-04-04,42,2024-05-14,05-14,0.37,0.00,0.00,0.00
Emmonak,Yukon River,2024-04-04,48,2024-05-20,05-18,0.35,0.00,0.00,0.00
Alakanuk,Yukon River,2024-04-04,49,2024-05-21,05-19,0.36,0.00,0.00,0.00
