location,forecastdate,most likely breakup in (days),forecasted date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now
,location,forecastdate,most likely breakup in (days),forecasted date,probability of breakup within ± 3 days around forecasted,probability of breakup within 1 or 2 days,probability of breakup within 3-7 days,probability of breakup within week 2 from now
0,Buckland,2024-04-11,36,2024-05-16,0.35,0.00,0.00,0.03
1,Fairbanks,2024-04-11,13,2024-04-23,0.45,0.03,0.16,0.31
2,Northway,2024-04-11,14,2024-04-24,0.61,0.00,0.05,0.43
3,Gakona,2024-04-11,21,2024-05-01,0.28,0.01,0.06,0.27
4,Gakona,2024-04-11,19,2024-04-29,0.31,0.01,0.06,0.30
5,Ambler,2024-04-11,36,2024-05-16,0.42,0.00,0.00,0.01
6,Kobuk,2024-04-11,34,2024-05-14,0.41,0.00,0.00,0.03
7,Shungnak,2024-04-11,35,2024-05-15,0.41,0.00,0.00,0.02
8,Allakaket,2024-04-11,30,2024-05-10,0.43,0.00,0.00,0.07
9,Bettles,2024-04-11,29,2024-05-09,0.42,0.00,0.00,0.10
10,Hughes,2024-04-11,29,2024-05-09,0.41,0.00,0.00,0.11
11,Akiak,2024-04-11,28,2024-05-08,0.43,0.00,0.00,0.13
12,Aniak,2024-04-11,26,2024-05-06,0.40,0.00,0.00,0.20
13,Bethel,2024-04-11,29,2024-05-09,0.38,0.00,0.00,0.13
14,Crooked Creek,2024-04-11,25,2024-05-05,0.42,0.00,0.00,0.24
15,Kalskag,2024-04-11,25,2024-05-05,0.46,0.00,0.00,0.26
16,McGr,2024-04-11,23,2024-05-03,0.44,0.00,0.00,0.32
17,Nikolai,2024-04-11,9,2024-04-19,0.55,0.06,0.32,0.12
18,Red Devil,2024-04-11,22,2024-05-02,0.43,0.00,0.01,0.34
19,Sleetmute,2024-04-11,21,2024-05-01,0.44,0.00,0.01,0.39
20,Stony River,2024-04-11,23,2024-05-03,0.45,0.00,0.00,0.32
21,Tuluksak,2024-04-11,27,2024-05-07,0.43,0.00,0.00,0.18
22,Sunshine,2024-04-11,21,2024-05-01,0.54,0.00,0.00,0.47
23,Nenana,2024-04-11,18,2024-04-28,0.50,0.00,0.02,0.50
24,Manley Hot Springs,2024-04-11,21,2024-05-01,0.45,0.00,0.01,0.40
25,Lake Creek,2024-04-11,20,2024-04-30,0.66,0.00,0.00,0.61
26,Alakanuk,2024-04-11,41,2024-05-21,0.39,0.00,0.00,0.00
27,Anvik,2024-04-11,32,2024-05-12,0.44,0.00,0.00,0.04
28,Circle,2024-04-11,28,2024-05-08,0.48,0.00,0.00,0.10
29,Dawson,2024-04-11,24,2024-05-04,0.59,0.00,0.00,0.25
30,Eagle,2024-04-11,24,2024-05-04,0.51,0.00,0.00,0.30
31,Fort Yukon,2024-04-11,29,2024-05-09,0.48,0.00,0.00,0.07
32,Galena,2024-04-11,31,2024-05-11,0.48,0.00,0.00,0.04
33,Holy Cross,2024-04-11,32,2024-05-12,0.45,0.00,0.00,0.03
34,Kaltag,2024-04-11,31,2024-05-11,0.44,0.00,0.00,0.05
35,Marshall,2024-04-11,34,2024-05-14,0.42,0.00,0.00,0.02
36,Mountain Village,2024-04-11,34,2024-05-14,0.40,0.00,0.00,0.03
37,Ruby,2024-04-11,30,2024-05-10,0.46,0.00,0.00,0.07
38,Russian Mission,2024-04-11,32,2024-05-12,0.43,0.00,0.00,0.03
39,Tanana,2024-04-11,28,2024-05-08,0.48,0.00,0.00,0.11
40,Emmonak,2024-04-11,41,2024-05-21,0.37,0.00,0.00,0.00
